MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,mode,model_name,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,signed_energy_error_MWh_36h,train_rows,weather_protocol,weather_source_package
98.512157666151,92.88695890062557,133.36554509580634,121.38731137362674,214.32271748616793,173.19394128536277,156.2533300542127,SE1,4.340370279283854,0.4238297937293859,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1024.0833333333333,L1_origin_known_fallback,P0056H_HGB_no_price,20250611T060000+0200,6,2,280.19144504586507,340.2059073845553,156.2533300542127,7903,actual_weather_proxy_LABB,P0056D
77.66197392283436,72.79167660781708,124.09854846905839,94.66765079438831,226.71229219154097,175.47438912620186,1041.3073034350673,SE1,28.925202873196625,2.8244969849325066,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1024.0833333333333,L2_recursive_lags,P0056H_HGB_no_price,20250611T060000+0200,6,2,280.4296553548079,339.2649301974764,1041.3073034350673,7903,actual_weather_proxy_LABB,P0056D
123.01514967167371,102.42040540222655,105.75052247435706,149.48935053564466,112.41075661861801,137.6963566709994,1586.3915245437893,SE1,44.06643123732752,4.438700404431419,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,36,992.7777777777778,L1_origin_known_fallback,P0056H_HGB_no_price,20250616T060000+0200,6,0,258.0166937843743,304.2767624089583,1586.3915245437893,7939,actual_weather_proxy_LABB,P0056D
70.86507160869589,62.77519758040713,82.05773081601778,65.06723890552729,120.62279728723907,112.26747013812455,195.09544020209432,SE1,-5.419317783391323,0.5458742031396036,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,36,992.7777777777778,L2_recursive_lags,P0056H_HGB_no_price,20250616T060000+0200,6,0,214.9130074475637,234.1850891509479,-195.09544020209432,7939,actual_weather_proxy_LABB,P0056D
115.71688615984486,134.0324168089746,134.8333241550048,196.20709377613846,136.4351388470652,168.90671726817484,1903.7802220149242,SE1,-52.88278394485907,5.014566632463912,2025-06-21T06:00:00+02:00,2025-06-21T04:00:00Z,36,1054.5833333333333,L1_origin_known_fallback,P0056H_HGB_no_price,20250621T060000+0200,6,5,221.738522310448,353.3243126960784,-1903.7802220149242,7975,actual_weather_proxy_LABB,P0056D
99.34276226629682,119.5828250359604,121.84039071157888,132.8448835463956,126.3555220628158,136.81839788622514,2955.5517606522626,SE1,-82.09866001811851,7.784938128940505,2025-06-21T06:00:00+02:00,2025-06-21T04:00:00Z,36,1054.5833333333333,L2_recursive_lags,P0056H_HGB_no_price,20250621T060000+0200,6,5,185.6621588744747,224.69867408092657,-2955.5517606522626,7975,actual_weather_proxy_LABB,P0056D
67.55112083341243,84.55787926857306,87.40472050586871,88.2451002708533,93.09840298045994,109.4448428809284,573.752710796347,SE1,15.937575299898445,1.5729163878508292,2025-06-26T06:00:00+02:00,2025-06-26T04:00:00Z,36,1013.25,L1_origin_known_fallback,P0056H_HGB_no_price,20250626T060000+0200,6,3,176.0837778042868,185.55572506856382,573.752710796347,8011,actual_weather_proxy_LABB,P0056D
56.6639894782723,71.642545820302,69.50860130438586,69.3366796075054,65.24071227255358,91.15832134181349,548.1808934694782,SE1,15.227247040818813,1.5028124392616666,2025-06-26T06:00:00+02:00,2025-06-26T04:00:00Z,36,1013.25,L2_recursive_lags,P0056H_HGB_no_price,20250626T060000+0200,6,3,131.27707424330134,172.58367044733183,548.1808934694782,8011,actual_weather_proxy_LABB,P0056D
108.05230062488984,97.92677771533108,104.31831410715287,120.87201308921387,117.10138689079645,117.56705499913127,1631.373262563764,SE1,-45.31592396010467,4.4540182449115795,2025-07-11T06:00:00+02:00,2025-07-11T04:00:00Z,36,1017.4166666666666,L1_origin_known_fallback,P0056H_HGB_no_price,20250711T060000+0200,7,4,188.4188894569699,192.01178228501237,-1631.373262563764,8117,actual_weather_proxy_LABB,P0056D
54.387256650802215,57.72861413348375,79.02001306267199,68.60694337282759,121.60281092104844,95.33811497804251,1839.8620578705886,SE1,-51.107279385294255,5.023239844569822,2025-07-11T06:00:00+02:00,2025-07-11T04:00:00Z,36,1017.4166666666666,L2_recursive_lags,P0056H_HGB_no_price,20250711T060000+0200,7,4,159.16517062587383,173.38483644787945,-1839.8620578705886,8117,actual_weather_proxy_LABB,P0056D
87.81035991588294,82.93687274139764,83.23398806906982,72.5390514126306,83.82821872441419,101.68370999580392,455.9355842291552,SE1,-12.664877339698892,1.2480444110072133,2025-07-21T06:00:00+02:00,2025-07-21T04:00:00Z,36,1014.7777777777778,L1_origin_known_fallback,P0056H_HGB_no_price,20250721T060000+0200,7,0,173.92862820066728,188.6345596416042,-455.9355842291552,8188,actual_weather_proxy_LABB,P0056D
54.38964234082644,52.02295972388674,76.29143992780939,25.53476380727231,124.82840033565469,98.90870227558436,617.3519340448111,SE1,-17.148664834578312,1.6898936112033587,2025-07-21T06:00:00+02:00,2025-07-21T04:00:00Z,36,1014.7777777777778,L2_recursive_lags,P0056H_HGB_no_price,20250721T060000+0200,7,0,163.32083819424207,219.2678019447403,-617.3519340448111,8188,actual_weather_proxy_LABB,P0056D
