area_code,available_forecast_rows,elapsed_seconds,expected_forecast_rows,forecast_origin_utc,forecast_rows,mode,note,origin,phase,reason,shared_model,status,timestamp
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-07-26T06:00:00+02:00,test,,,done,2026-06-08T10:47:46Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-07-26T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:46Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-07-26T06:00:00+02:00,test,,,done,2026-06-08T10:47:46Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-07-31T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:47Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-07-31T06:00:00+02:00,test,,,done,2026-06-08T10:47:47Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-07-31T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:47Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-07-31T06:00:00+02:00,test,,,done,2026-06-08T10:47:48Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-05T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:49Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-08-05T06:00:00+02:00,test,,,done,2026-06-08T10:47:49Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-05T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:49Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-08-05T06:00:00+02:00,test,,,done,2026-06-08T10:47:49Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-10T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:50Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-08-10T06:00:00+02:00,test,,,done,2026-06-08T10:47:50Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-10T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:50Z
