forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,weather_proxy_label,price_forecast_source,forecast_se1_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054h_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054h_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054h_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054h_price_forecast
2022-06-07T23:00:00Z,2022-06-09T22:00:00Z,48,train_fit,1079.552354,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.18823,,,,,,,,
2022-06-07T23:00:00Z,2022-06-10T22:00:00Z,72,train_fit,1061.442805,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.15182,,,,,,,,
2022-06-07T23:00:00Z,2022-06-11T22:00:00Z,96,train_fit,1008.773958,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.05676,,,,,,,,
2022-06-07T23:00:00Z,2022-06-12T22:00:00Z,120,train_fit,989.301177,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-07T23:00:00Z,2022-06-13T22:00:00Z,144,train_fit,1023.683545,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-07T23:00:00Z,2022-06-14T22:00:00Z,168,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-08T23:00:00Z,2022-06-08T23:00:00Z,1,train_fit,1033.932147,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.9863,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T01:00:00Z,3,train_fit,1037.584008,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.95795,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T04:00:00Z,6,train_fit,1147.161124,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.08168,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T10:00:00Z,12,train_fit,1198.34386,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.20499,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T22:00:00Z,24,train_fit,1079.552354,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.18823,,,,,,,,
2022-06-08T23:00:00Z,2022-06-10T22:00:00Z,48,train_fit,1061.442805,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.15182,,,,,,,,
2022-06-08T23:00:00Z,2022-06-11T22:00:00Z,72,train_fit,1008.773958,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.05676,,,,,,,,
2022-06-08T23:00:00Z,2022-06-12T22:00:00Z,96,train_fit,989.301177,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-08T23:00:00Z,2022-06-13T22:00:00Z,120,train_fit,1023.683545,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-08T23:00:00Z,2022-06-14T22:00:00Z,144,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-08T23:00:00Z,2022-06-15T22:00:00Z,168,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-09T23:00:00Z,2022-06-09T23:00:00Z,1,train_fit,1060.862605,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.12942,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T01:00:00Z,3,train_fit,1043.958942,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.12127,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T04:00:00Z,6,train_fit,1145.878758,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.49856,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T10:00:00Z,12,train_fit,1189.508753,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.40528,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T22:00:00Z,24,train_fit,1061.442805,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.15182,,,,,,,,
2022-06-09T23:00:00Z,2022-06-11T22:00:00Z,48,train_fit,1008.773958,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.05676,,,,,,,,
