forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE,pred_HGB_with_p0054h_price_forecast_MAE,pred_ExtraTrees_no_price_MAE,pred_ExtraTrees_with_p0054h_price_forecast_MAE,pred_LightGBM_no_price_MAE,pred_LightGBM_with_p0054h_price_forecast_MAE,pred_XGBoost_no_price_MAE,pred_XGBoost_with_p0054h_price_forecast_MAE
2025-06-01T23:00:00Z,168,12.583567366424223,13.936960324312386,12.2047358336057,12.43660025190113,12.06974496622233,13.124908214011871,11.690106249093187,13.374598932436976
2025-06-08T23:00:00Z,168,9.62110144231492,10.011985908206428,8.865456616901279,8.948834317723815,8.883997122600002,7.125834889059069,7.251108297212147,7.625626904325943
2025-06-15T23:00:00Z,168,12.399904793551347,8.801283071944656,13.102013291490735,12.145570091944737,14.71350978231869,10.986150945656266,10.417118491298131,11.207820298769999
2025-06-22T23:00:00Z,168,11.509638877622987,9.813268260638292,10.664755264161753,10.47701538161864,11.12775260259007,9.66023407153277,9.648369926554361,9.585778610636396
2025-06-29T23:00:00Z,168,8.38463725144137,10.222769356364083,7.877140329048617,8.315501661027099,8.23303816423136,9.437294787934032,9.231494746471586,10.576035749372211
2025-07-06T23:00:00Z,168,13.381874515332976,8.590355642851783,11.467790292919279,11.856548676554045,11.497514237684644,7.34438058172846,10.193929204421275,9.340277537411646
2025-07-13T23:00:00Z,168,15.936046792409725,10.349437174134112,11.799295266813877,11.72720303774877,12.100724928325448,8.505379687586261,10.104036654854914,9.777211888869514
2025-07-20T23:00:00Z,168,10.021707566494284,10.806697238112854,8.128173898449065,8.22629861714317,7.034172842431636,6.063482393067354,7.342316409662154,6.662551220935638
2025-07-27T23:00:00Z,168,12.6913198564349,13.166262674082857,11.632432878771972,12.154715505604262,11.42932400806514,11.28483614866603,12.875089141310918,11.53890555673944
2025-08-03T23:00:00Z,168,7.705802881792628,8.343822023500579,8.557466506644554,8.239281534286874,11.53883766350467,12.018688130484321,8.86290177395485,10.65732640275065
2025-08-10T23:00:00Z,168,19.555402804459113,18.700876843355005,10.941769390932576,10.573880231754377,12.58916565972504,11.756922931595872,10.082849633376352,10.130298575439458
2025-08-17T23:00:00Z,168,23.240370468985745,24.884815502262107,20.379203584525786,20.85863049557269,23.89834451729673,22.68204237534911,21.586399789597273,22.94210271790131
2025-08-24T23:00:00Z,168,8.873226315171722,9.412745045357848,9.24285404940172,9.01086389350119,12.31878755760635,13.319964186566072,8.492890238269624,8.670954486235122
2025-08-31T23:00:00Z,168,13.713117146228651,12.963068927954131,13.777314595459643,13.640271253704961,14.366234077106133,16.816946674671538,12.057675112990601,13.06605441195824
2025-09-07T23:00:00Z,168,11.56028638302889,11.651120278967532,10.240951495256056,10.181078290098004,10.647031109067424,10.753383726419017,9.943771111769902,10.63680738103376
