regime,prediction_column,row_count,MAE,RMSE,bias,R2
cold_hours,pred_HGB_no_price,2142,17.38306499822313,21.915550579475134,3.2581276789366154,0.5435110129945742
cold_hours,pred_HGB_with_p0054h_price_forecast,2142,16.47321071195555,20.83065021000034,1.8984208268949208,0.5875881026884681
cold_hours,pred_ExtraTrees_no_price,2142,17.22718809968323,21.320007360332244,-1.7219796876241473,0.5679836001992377
cold_hours,pred_ExtraTrees_with_p0054h_price_forecast,2142,17.13138206914574,21.26299249751318,-0.42726714810577177,0.5702911435550433
cold_hours,pred_LightGBM_no_price,2142,19.27407014131186,24.68825976999442,6.992087210435954,0.4206960501874347
cold_hours,pred_LightGBM_with_p0054h_price_forecast,2142,18.584980647545166,24.25704471280734,4.354207875314776,0.4407560296723465
cold_hours,pred_XGBoost_no_price,2142,17.217493080707285,21.742181605723786,7.215713608087504,0.5507048084248091
cold_hours,pred_XGBoost_with_p0054h_price_forecast,2142,16.930372268764398,21.386015667111874,5.450355786492071,0.5653043501012504
very_cold_hours,pred_HGB_no_price,857,17.618225889983293,21.881844402010127,1.2659959750888972,0.2745744322844379
very_cold_hours,pred_HGB_with_p0054h_price_forecast,857,16.77984236403853,21.052014861879716,-0.25388947919276356,0.32855206405784687
very_cold_hours,pred_ExtraTrees_no_price,857,17.77784388224249,22.0860193881265,-1.7175231016550032,0.2609736807239569
very_cold_hours,pred_ExtraTrees_with_p0054h_price_forecast,857,17.842076464551994,22.2634577141611,0.5135639749061406,0.2490513561035137
very_cold_hours,pred_LightGBM_no_price,857,18.354357935303096,22.86198262745426,4.783591119644429,0.2081320092942892
very_cold_hours,pred_LightGBM_with_p0054h_price_forecast,857,17.86160146135928,22.30006671487092,2.0071543151366975,0.2465796751409538
very_cold_hours,pred_XGBoost_no_price,857,17.015649642796912,21.65775571050858,7.732283159543196,0.28935630246698063
very_cold_hours,pred_XGBoost_with_p0054h_price_forecast,857,17.12064651288563,21.477193008602587,6.296183798866874,0.30115631145560406
weekday,pred_HGB_no_price,6120,14.01887899091748,18.020004208675854,-1.3825520064129044,0.8882036978462069
weekday,pred_HGB_with_p0054h_price_forecast,6120,13.63136376384436,17.63188351498043,-0.6409725123777885,0.8929676456196688
weekday,pred_ExtraTrees_no_price,6120,13.702486572501478,17.756567889352944,-4.4403971989903805,0.8914485285229825
weekday,pred_ExtraTrees_with_p0054h_price_forecast,6120,13.632724695282365,17.66263552766256,-3.9346269316212767,0.8925939668056828
weekday,pred_LightGBM_no_price,6120,14.159829586412949,18.667825919655726,0.9656296081296688,0.8800210249986211
weekday,pred_LightGBM_with_p0054h_price_forecast,6120,13.963983181766189,18.712261837936506,1.2173598073245917,0.8794491618136937
weekday,pred_XGBoost_no_price,6120,13.02579387334602,17.162492418254608,2.1996389985490485,0.8985905611817091
