MAE_0_12h,MAE_0_24h,MAE_0_6h,MAE_24_36h,MAE_full_36h,MAE_percent_of_mean_actual,RMSE_full_36h,absolute_daily_energy_error_MWh,bias_delivery_day,bias_full_36h,coverage_label,daily_energy_error_percent_of_actual,duration_seconds,evening_peak_MAE,hourly_MAE_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,hourly_RMSE_delivery_day,model,morning_ramp_MAE,offpeak_MAE,p90_absolute_error,p95_absolute_error,peak_hour_error_MW,peak_hour_timing_error_hours,prediction_column,price_mode,seed,signed_daily_energy_error_MWh,weather_mode
222.74192836389625,230.68480893341223,217.3832790519307,269.6603889392959,243.6766689353728,2.50061443653817,335.36683825907045,4381.407120292001,1.2033321927374583,-0.16936876821550026,primary_full_p0054r_coverage,1.9333789651384485,36.067,269.47068778074015,253.70062353819173,2.638782944935854,2.7640373535054734,347.2885262642112,M1_HorizonBiasCorrectedWeightedEnsemble,246.52695229354006,228.28191720263717,514.7814834813735,649.5539517116576,242.88699746529156,2.094972067039106,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,,28.879972625699565,W0_weatherProxy
236.51913190404804,243.07862954666345,217.99837138835457,281.0025207449374,255.7199266127539,2.624202567246718,346.6663404532812,4676.027979885131,-71.38092673484513,-76.57889064196449,primary_full_p0054r_coverage,2.0176464299017995,36.584,280.3588697253289,264.5816478952422,2.751958313196208,2.882584786885206,357.84179797802386,M2_WeightedEnsemble,246.67158519397742,254.06418928895656,540.6340918460774,676.7607958039644,269.3081504549963,2.2793296089385473,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,,-1713.1422416362843,W0_weatherProxy
239.80621756983456,248.27574868267698,221.17729638488998,278.1202698134899,258.2239223929479,2.6498986177727715,350.30732953166506,4656.51095268491,-70.69503738715885,-73.49237162145141,primary_full_p0054r_coverage,2.025690828367092,37.102,274.61487411982074,266.7441123806121,2.7744504707772264,2.9061445737309466,359.9627550604988,M3_XGBoost,249.01519366216394,263.49769822445654,544.96337890625,687.1702880859375,249.21792528660384,2.17877094972067,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,,-1696.6808972918125,W0_weatherProxy
216.66199766011349,226.129199874258,210.2225520755902,267.91461621575826,240.0576719880902,2.463476223628002,329.30373538082057,4314.368706103208,-7.047744187460511,-6.918244197816637,primary_full_p0054r_coverage,1.8921727384232059,36.136,265.24496579965376,251.2538036287934,2.613333158663343,2.7373795489933777,343.2446911854336,M1_HorizonBiasCorrectedWeightedEnsemble,243.92220297658713,224.7889568338448,506.92801092739955,643.822709989136,241.6191771392296,2.1815642458100557,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1000,-169.1458604990538,W1_tempNoise2C
229.38630404701865,238.07612530017272,210.83634335600848,277.94825552028124,251.36683537354125,2.579531065276909,341.05894210090617,4572.904887720618,-73.42808299929176,-78.47468489886208,primary_full_p0054r_coverage,1.9706691204496343,36.668,274.5526126471207,261.57738340287995,2.7207104518627947,2.849853691624616,354.13386694564554,M2_WeightedEnsemble,243.4696225825338,249.99822253748567,532.0884065138525,667.8241383260847,269.9576815088238,2.2709497206703912,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1000,-1762.273991983003,W1_tempNoise2C
233.09099457891983,242.35338919231216,214.51487528102078,273.8962061354581,252.86766150669393,2.594932570524384,341.20267702574904,4540.206990787216,-75.30895683530102,-78.88426563455023,primary_full_p0054r_coverage,1.9656020123648679,37.164,267.8573340389316,262.006504032791,2.725173807859864,2.8545289085542875,353.012575845682,M3_XGBoost,245.62440715200188,257.59487693403014,538.69970703125,671.849609375,253.50617762162477,2.2402234636871508,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1000,-1807.4149640472244,W1_tempNoise2C
217.8836752985414,225.70226105016653,211.95547089004984,266.34677093302946,239.25043101112036,2.4551923019477067,327.8647511140277,4275.357981954607,-8.600920429467278,-8.834477795945345,primary_full_p0054r_coverage,1.8739596103459903,36.248,264.4338484145055,249.4453036442506,2.594522645513737,2.7176761622165695,340.7287952026675,M1_HorizonBiasCorrectedWeightedEnsemble,241.2676282203608,223.90606919461308,506.71671677477207,637.299958789649,241.729331310459,2.2513966480446927,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1001,-206.4220903072127,W1_tempNoise2C
231.64989553215744,238.56741509559538,212.39494405572407,276.82573117404417,251.32018712174442,2.5790523600631845,340.1785840326355,4529.457783393566,-74.76414253798308,-79.71171198190981,primary_full_p0054r_coverage,1.9484406926613294,36.78,273.4927741641942,260.3592546028617,2.7080404889064784,2.8365823269047565,352.10896956933783,M2_WeightedEnsemble,241.31221708253423,250.00554394551406,533.9595765594067,663.4818024454548,266.85620337557145,2.1396648044692737,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1001,-1794.339420911592,W1_tempNoise2C
236.61184555225154,244.36786410632953,218.2436579062549,273.05810223030534,253.93127681432145,2.605847410278213,342.25985962413836,4545.600547747905,-76.9606007268753,-80.09560595896164,primary_full_p0054r_coverage,1.9634056178737596,37.273,266.90174935623253,261.78296978202843,2.7228487904425047,2.8520935301532466,352.3739729407393,M3_XGBoost,246.85091157199284,257.1220218367195,535.8955078125,668.83154296875,249.9962646939013,2.206703910614525,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1001,-1847.0544174450074,W1_tempNoise2C
216.5457431420565,225.48096190713278,211.12348400975227,267.05390832942504,239.33861071456468,2.4560972036783726,327.7108714055295,4287.757776134903,-5.4657173392941125,-6.48676943672757,primary_full_p0054r_coverage,1.8812231460760092,36.435,265.0688046852098,250.22738160650889,2.6026571702131083,2.7261968062374144,340.9433960575342,M1_HorizonBiasCorrectedWeightedEnsemble,241.1324413833191,225.6621875079607,506.6183261200831,636.669851050221,240.63934808096042,2.1927374301675977,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1002,-131.1772161430579,W1_tempNoise2C
