MAE_0_12h_max,MAE_0_12h_mean,MAE_0_12h_min,MAE_0_12h_std,MAE_0_24h_max,MAE_0_24h_mean,MAE_0_24h_min,MAE_0_24h_std,MAE_0_6h_max,MAE_0_6h_mean,MAE_0_6h_min,MAE_0_6h_std,MAE_24_36h_max,MAE_24_36h_mean,MAE_24_36h_min,MAE_24_36h_std,MAE_full_36h_max,MAE_full_36h_mean,MAE_full_36h_min,MAE_full_36h_std,absolute_daily_energy_error_MWh_max,absolute_daily_energy_error_MWh_mean,absolute_daily_energy_error_MWh_min,absolute_daily_energy_error_MWh_std,coverage_label,daily_energy_error_percent_of_actual_max,daily_energy_error_percent_of_actual_mean,daily_energy_error_percent_of_actual_min,daily_energy_error_percent_of_actual_std,evening_peak_MAE_max,evening_peak_MAE_mean,evening_peak_MAE_min,evening_peak_MAE_std,hourly_MAE_delivery_day_max,hourly_MAE_delivery_day_mean,hourly_MAE_delivery_day_min,hourly_MAE_delivery_day_std,hourly_MAE_percent_of_mean_actual_max,hourly_MAE_percent_of_mean_actual_mean,hourly_MAE_percent_of_mean_actual_min,hourly_MAE_percent_of_mean_actual_std,model,morning_ramp_MAE_max,morning_ramp_MAE_mean,morning_ramp_MAE_min,morning_ramp_MAE_std,offpeak_MAE_max,offpeak_MAE_mean,offpeak_MAE_min,offpeak_MAE_std,peak_hour_error_MW_max,peak_hour_error_MW_mean,peak_hour_error_MW_min,peak_hour_error_MW_std,peak_hour_timing_error_hours_max,peak_hour_timing_error_hours_mean,peak_hour_timing_error_hours_min,peak_hour_timing_error_hours_std,price_mode,seed_count,weather_mode
222.74192836389625,222.74192836389625,222.74192836389625,0.0,230.68480893341223,230.68480893341223,230.68480893341223,0.0,217.3832790519307,217.3832790519307,217.3832790519307,0.0,269.6603889392959,269.6603889392959,269.6603889392959,0.0,243.6766689353728,243.6766689353728,243.6766689353728,0.0,4381.407120292001,4381.407120292001,4381.407120292001,0.0,primary_full_p0054r_coverage,1.9333789651384485,1.9333789651384485,1.9333789651384485,0.0,269.47068778074015,269.47068778074015,269.47068778074015,0.0,253.70062353819173,253.70062353819173,253.70062353819173,0.0,2.638782944935854,2.638782944935854,2.638782944935854,0.0,M1_HorizonBiasCorrectedWeightedEnsemble,246.52695229354006,246.52695229354006,246.52695229354006,0.0,228.28191720263717,228.28191720263717,228.28191720263717,0.0,242.88699746529156,242.88699746529156,242.88699746529156,0.0,2.094972067039106,2.094972067039106,2.094972067039106,0.0,P0_noPrice_fullCoverage,1,W0_weatherProxy
698.3371609488878,698.3371609488878,698.3371609488878,0.0,640.3308400166422,640.3308400166422,640.3308400166422,0.0,749.9297796944779,749.9297796944779,749.9297796944779,0.0,725.4007144387252,725.4007144387252,725.4007144387252,0.0,668.6874648240021,668.6874648240021,668.6874648240021,0.0,13527.366545500427,13527.366545500427,13527.366545500427,0.0,safe_p0054l2_price_forecast_coverage,5.480401726358885,5.480401726358885,5.480401726358885,0.0,789.3407091529699,789.3407091529699,789.3407091529699,0.0,652.9415336489734,652.9415336489734,652.9415336489734,0.0,6.75843659517784,6.75843659517784,6.75843659517784,0.0,M1_HorizonBiasCorrectedWeightedEnsemble,699.3175709984544,699.3175709984544,699.3175709984544,0.0,478.12644629249553,478.12644629249553,478.12644629249553,0.0,860.6221025116362,860.6221025116362,860.6221025116362,0.0,3.2593659942363113,3.2593659942363113,3.2593659942363113,0.0,P1_p0054l2Price_matchedCoverage,1,W0_weatherProxy
219.25941334454214,217.31878471024373,216.24309410596516,1.1199297874870155,226.129199874258,225.55710836559084,224.37140595963874,0.6413486918365355,213.66969642142243,211.56231353906847,210.2225520755902,1.1920048788665414,267.91461621575826,266.7958744017621,266.05530391502043,0.6485846751292464,240.0576719880902,239.30336371098133,238.266038611434,0.589828884644406,4314.368706103208,4284.8191486997175,4272.081997627549,15.744471606739,primary_full_p0054r_coverage,1.8921727384232059,1.8791078948896094,1.8726524402091609,0.007157268636087149,266.24273676128706,264.96820725343446,263.8506806065162,0.8056731071453254,251.2538036287934,249.7844297821013,248.77507775795246,0.8725809853112665,2.613333158663343,2.5980499536309276,2.587551513108334,0.009075861895814677,M1_HorizonBiasCorrectedWeightedEnsemble,243.92220297658713,241.57122642951936,240.393425010673,1.2152853767076166,225.6621875079607,223.9329623193408,222.17463450273473,1.2210965835258627,245.51417385699725,242.25321825017863,240.63934808096042,1.682506998375122,2.2513966480446927,2.1927374301675977,2.164804469273743,0.03075164009949245,P0_noPrice_fullCoverage,5,W1_tempNoise2C
736.3920368637215,731.156605527467,723.9705278319536,4.171260603626608,682.4244641614144,678.2298673440171,673.382110980474,2.934574114286323,774.0805395042361,769.2516760598043,764.1086686229653,4.051053275843881,771.141845598434,767.4701047019022,760.8088047565548,3.680932021365296,710.4092227023533,707.9766131299776,702.524342239168,2.7980728538103152,15113.024496202454,15053.404395573021,14944.35909057294,57.251669079135944,safe_p0054l2_price_forecast_coverage,6.11216029264718,6.071146929416198,6.021055015954538,0.029142922578883738,829.0284469958845,824.0481099958903,815.7786758427809,4.717906528992987,697.8399102096784,695.9028477296208,691.4165933380468,2.2870211307926724,7.223168604973799,7.203118549528246,7.156682438034699,0.02367239103004259,M1_HorizonBiasCorrectedWeightedEnsemble,752.6330715687384,748.4815518864139,738.2300178801132,5.3170098364907314,534.9798742462904,532.0371668147462,526.3852717607641,3.222672235421011,896.3858127393713,886.5657774539616,881.4097315775844,5.298964434723629,3.2795389048991352,3.1994236311239197,3.1412103746397695,0.047612395223200835,P1_p0054l2Price_matchedCoverage,5,W1_tempNoise2C
236.51913190404804,236.51913190404804,236.51913190404804,0.0,243.07862954666345,243.07862954666345,243.07862954666345,0.0,217.99837138835457,217.99837138835457,217.99837138835457,0.0,281.0025207449374,281.0025207449374,281.0025207449374,0.0,255.7199266127539,255.7199266127539,255.7199266127539,0.0,4676.027979885131,4676.027979885131,4676.027979885131,0.0,primary_full_p0054r_coverage,2.0176464299017995,2.0176464299017995,2.0176464299017995,0.0,280.3588697253289,280.3588697253289,280.3588697253289,0.0,264.5816478952422,264.5816478952422,264.5816478952422,0.0,2.751958313196208,2.751958313196208,2.751958313196208,0.0,M2_WeightedEnsemble,246.67158519397742,246.67158519397742,246.67158519397742,0.0,254.06418928895656,254.06418928895656,254.06418928895656,0.0,269.3081504549963,269.3081504549963,269.3081504549963,0.0,2.2793296089385473,2.2793296089385473,2.2793296089385473,0.0,P0_noPrice_fullCoverage,1,W0_weatherProxy
698.3371609488878,698.3371609488878,698.3371609488878,0.0,640.3308400166422,640.3308400166422,640.3308400166422,0.0,749.9297796944779,749.9297796944779,749.9297796944779,0.0,725.4007144387252,725.4007144387252,725.4007144387252,0.0,668.6874648240021,668.6874648240021,668.6874648240021,0.0,13527.366545500427,13527.366545500427,13527.366545500427,0.0,safe_p0054l2_price_forecast_coverage,5.480401726358885,5.480401726358885,5.480401726358885,0.0,789.3407091529699,789.3407091529699,789.3407091529699,0.0,652.9415336489734,652.9415336489734,652.9415336489734,0.0,6.75843659517784,6.75843659517784,6.75843659517784,0.0,M2_WeightedEnsemble,699.3175709984544,699.3175709984544,699.3175709984544,0.0,478.12644629249553,478.12644629249553,478.12644629249553,0.0,860.6221025116362,860.6221025116362,860.6221025116362,0.0,3.2593659942363113,3.2593659942363113,3.2593659942363113,0.0,P1_p0054l2Price_matchedCoverage,1,W0_weatherProxy
232.85612552968834,230.89854585686066,229.38630404701865,1.2176942702692106,239.23011147483123,238.3181808599965,237.51159594530753,0.5684306473597779,214.3439903116339,212.20271656282753,210.83634335600848,1.1838415653178411,277.94825552028124,277.20219350958894,276.3883376020563,0.5503925935180342,251.90609505511884,251.2795184098599,250.4705098308901,0.4602902919961552,4572.904887720618,4552.450422937167,4529.457783393566,15.442865889613415,primary_full_p0054r_coverage,1.9706691204496343,1.9607921282760632,1.9484406926613294,0.00757730552911479,275.28647302695856,274.46652075147904,273.4927741641942,0.7317087737251012,261.57738340287995,260.67828861453125,259.718371719876,0.6408430240772292,2.7207104518627947,2.7113588154328667,2.701374558024092,0.0066655163031615556,M2_WeightedEnsemble,243.4696225825338,241.77049029965366,240.91596590347015,0.8834796208379606,251.69952064650099,250.01177050882376,248.32361450140743,1.0676142373483568,269.9576815088238,268.31587611678606,266.85620337557145,1.0271175616178214,2.2709497206703912,2.1670391061452516,2.064245810055866,0.06908877811606684,P0_noPrice_fullCoverage,5,W1_tempNoise2C
736.3920368637215,731.156605527467,723.9705278319536,4.171260603626608,682.4244641614144,678.2298673440171,673.382110980474,2.934574114286323,774.0805395042361,769.2516760598043,764.1086686229653,4.051053275843881,771.141845598434,767.4701047019022,760.8088047565548,3.680932021365296,710.4092227023533,707.9766131299776,702.524342239168,2.7980728538103152,15113.024496202454,15053.404395573021,14944.35909057294,57.251669079135944,safe_p0054l2_price_forecast_coverage,6.11216029264718,6.071146929416198,6.021055015954538,0.029142922578883738,829.0284469958845,824.0481099958903,815.7786758427809,4.717906528992987,697.8399102096784,695.9028477296208,691.4165933380468,2.2870211307926724,7.223168604973799,7.203118549528246,7.156682438034699,0.02367239103004259,M2_WeightedEnsemble,752.6330715687384,748.4815518864139,738.2300178801132,5.3170098364907314,534.9798742462904,532.0371668147462,526.3852717607641,3.222672235421011,896.3858127393713,886.5657774539616,881.4097315775844,5.298964434723629,3.2795389048991352,3.1994236311239197,3.1412103746397695,0.047612395223200835,P1_p0054l2Price_matchedCoverage,5,W1_tempNoise2C
239.80621756983456,239.80621756983456,239.80621756983456,0.0,248.27574868267698,248.27574868267698,248.27574868267698,0.0,221.17729638488998,221.17729638488998,221.17729638488998,0.0,278.1202698134899,278.1202698134899,278.1202698134899,0.0,258.2239223929479,258.2239223929479,258.2239223929479,0.0,4656.51095268491,4656.51095268491,4656.51095268491,0.0,primary_full_p0054r_coverage,2.025690828367092,2.025690828367092,2.025690828367092,0.0,274.61487411982074,274.61487411982074,274.61487411982074,0.0,266.7441123806121,266.7441123806121,266.7441123806121,0.0,2.7744504707772264,2.7744504707772264,2.7744504707772264,0.0,M3_XGBoost,249.01519366216394,249.01519366216394,249.01519366216394,0.0,263.49769822445654,263.49769822445654,263.49769822445654,0.0,249.21792528660384,249.21792528660384,249.21792528660384,0.0,2.17877094972067,2.17877094972067,2.17877094972067,0.0,P0_noPrice_fullCoverage,1,W0_weatherProxy
714.942035275765,714.942035275765,714.942035275765,0.0,654.6397216993446,654.6397216993446,654.6397216993446,0.0,770.6662341328248,770.6662341328248,770.6662341328248,0.0,739.8058216727684,739.8058216727684,739.8058216727684,0.0,683.0284216904856,683.0284216904856,683.0284216904856,0.0,13843.741293021285,13843.741293021285,13843.741293021285,0.0,safe_p0054l2_price_forecast_coverage,5.601152758762247,5.601152758762247,5.601152758762247,0.0,805.0927685593781,805.0927685593781,805.0927685593781,0.0,665.7937728388355,665.7937728388355,665.7937728388355,0.0,6.89146694964973,6.89146694964973,6.89146694964973,0.0,M3_XGBoost,710.177049444457,710.177049444457,710.177049444457,0.0,485.0900816170787,485.0900816170787,485.0900816170787,0.0,854.0519867089937,854.0519867089937,854.0519867089937,0.0,3.0922190201729105,3.0922190201729105,3.0922190201729105,0.0,P1_p0054l2Price_matchedCoverage,1,W0_weatherProxy
