DayAhead_RMSE,DayAhead_bias,DayAhead_hourly_MAE,MAE_percent_of_mean_actual,MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,area_code,daily_energy_error_percent_of_actual,dayahead_rows,fallback_used,forecast_origins,full36_rows,full_36h_MAE,full_36h_RMSE,full_36h_bias,holdout_rows,model_name,p90_absolute_error,p95_absolute_error,signed_daily_energy_error_MWh,status,target_rows,train_fit_rows,weather_fallback_proxy,weather_rows
198.37986012515708,4.106290447504884,126.49750824599175,10.030748352367755,10.532681785677916,1745.3769363480626,SE1,5.571184151084964,8184,,1448,12024,124.60891100032913,200.28344938755464,3.831791037504694,13002,HorizonBiasCorrected_WeightedEnsemble_no_price,270.9721156587286,342.1072347918439,98.55097074011721,full_model,35047,38892,False,35062
351.27104047873513,5.958240625252106,209.51872783683092,12.120426627933622,12.757057787462115,3400.5342395687526,SE2,7.891348406364274,8184,,1444,12096,201.82678388544215,343.99782206889046,5.526915543653349,13040,HorizonBiasCorrected_WeightedEnsemble_no_price,432.88645477589944,560.4007292570249,142.99777500605077,full_model,35072,38755,False,35062
353.3133628420443,-73.33592734262565,258.8688937044178,2.6888709867941847,2.815590322128727,4534.208887210545,SE3,1.9457209849148387,8496,,1448,12672,250.9280072609575,344.0982489728518,-74.4515008749001,13056,HorizonBiasCorrected_WeightedEnsemble_no_price,554.9786391580838,691.9472304682376,-1760.0622562230137,full_model,35171,38985,False,35062
167.95572307306153,31.41830190481085,116.55665980691249,4.717523858105143,4.948276790783804,1961.3642985615086,SE4,3.54342813840203,8208,,1445,12024,114.48522081356255,167.1063885041547,31.046077148134795,13070,HorizonBiasCorrected_WeightedEnsemble_no_price,243.34049107435916,306.10600976719263,754.0392457154599,full_model,35069,38724,False,35062
161.58224976163072,-62.54656108156661,121.12549958972903,2.9830865532464563,3.2311496100056263,2374.4078782880456,NO1,2.3729256563615033,8712,,1454,13104,117.2828496170747,155.89290666194907,-67.27845868980383,13138,HorizonBiasCorrected_WeightedEnsemble_no_price,275.3227754804346,342.00272384467536,-1501.117465957593,full_model,35217,39182,False,35062
202.1060559691273,-76.80698818949205,139.53066859931945,3.2477666540818317,3.3630012249797856,2648.8124086077246,NO2,2.488383463998196,8712,,1454,13104,135.37318019248684,196.2306841200209,-79.04029806068206,13138,HorizonBiasCorrected_WeightedEnsemble_no_price,290.3374746770477,372.90414309403604,-1843.367716547812,full_model,35216,39181,False,35062
110.74759761088795,-42.36019182782018,86.37660498155209,2.592087211424503,2.6694142187604832,1811.8503156893553,NO3,2.2412934929120336,8712,,1454,13104,83.28928023264983,106.54704893071906,-43.702442022406366,13138,HorizonBiasCorrected_WeightedEnsemble_no_price,176.61300760929294,219.5019503380392,-1016.6446038676802,full_model,35214,39176,False,35062
82.01875710773304,8.597967962126218,65.0895559695402,2.8406084033120798,2.871479820075358,1363.1667645192183,NO4,2.5979647444716822,8712,,1454,13104,60.93703753110787,77.56833482822111,7.782356652964876,13138,HorizonBiasCorrected_WeightedEnsemble_no_price,134.99946085648915,160.09153104403032,206.3512310910281,full_model,35217,39182,False,35062
84.58587265997723,-23.9753268252768,63.69079427866442,3.214023984320586,3.3407664825306647,1308.864296543166,NO5,2.766662905714462,8712,,1454,13104,59.68126802609401,79.86973269161466,-23.868545949905837,13138,HorizonBiasCorrected_WeightedEnsemble_no_price,138.21282568253343,174.8033905206706,-575.4078438066434,full_model,35217,39182,False,35062
215.6971843921174,-110.24510853406541,162.63511818539038,5.80778190137946,5.821039648536322,3389.376904099472,DK1,4.826290287026459,8640,,1452,12924,154.94825661081214,206.14865610491634,-107.62101722755516,13085,HorizonBiasCorrected_WeightedEnsemble_no_price,357.0966240228359,456.35796812413656,-2645.8826048175647,full_model,35161,39137,True,35062
