model,weather_mode,price_mode,seed_count,hourly_MAE_delivery_day_mean,hourly_MAE_delivery_day_std,hourly_MAE_delivery_day_min,hourly_MAE_delivery_day_max,hourly_MAE_percent_of_mean_actual_mean,hourly_MAE_percent_of_mean_actual_std,hourly_MAE_percent_of_mean_actual_min,hourly_MAE_percent_of_mean_actual_max,MAE_full_36h_mean,MAE_full_36h_std,MAE_full_36h_min,MAE_full_36h_max,absolute_daily_energy_error_MWh_mean,absolute_daily_energy_error_MWh_std,absolute_daily_energy_error_MWh_min,absolute_daily_energy_error_MWh_max,daily_energy_error_percent_of_actual_mean,daily_energy_error_percent_of_actual_std,daily_energy_error_percent_of_actual_min,daily_energy_error_percent_of_actual_max,robustness_score,noisy_mean_dayahead_percent_le_4
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P0_noPrice,5,657.9873224754929,4.891424487743269,652.3320986253358,665.9338006982604,6.810664309451293,0.050629927117311326,6.752128483725476,6.8929163434479666,669.598758559125,4.936791242789134,662.9122517284587,677.653253787107,14069.151951415883,122.63238827244842,13927.386849156523,14283.350266221034,5.722361232668101,0.06068703788097044,5.653863225476481,5.816940601849781,662.8787469632362,False
M2_WeightedEnsemble,W1_tempNoise2C,P0_noPrice,5,657.9873224754929,4.891424487743269,652.3320986253358,665.9338006982604,6.810664309451293,0.050629927117311326,6.752128483725476,6.8929163434479666,669.598758559125,4.936791242789134,662.9122517284587,677.653253787107,14069.151951415883,122.63238827244842,13927.386849156523,14283.350266221034,5.722361232668101,0.06068703788097044,5.653863225476481,5.816940601849781,662.8787469632362,False
M3_XGBoost,W1_tempNoise2C,P0_noPrice,5,672.6889872252617,10.987917101125722,653.2327239628675,684.1321737122697,6.962837611246934,0.11373321685636846,6.761450634218341,7.08128320910473,684.2147861469655,10.253957010796944,666.0413890697337,696.2135258099753,14384.534627536621,270.6898088568149,13936.012050368483,14653.87564400591,5.800533908900173,0.09912862605971567,5.621411908965912,5.894893043236967,683.6769043263874,False
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,5,695.0396524144162,3.3043029161144695,688.7549173413529,697.9124743174112,7.194183827954535,0.03420202361001375,7.129132086994796,7.223919698135936,709.2308207794634,4.250433566406614,701.6318679365953,713.1996753476063,15165.863781795118,87.04659447845756,15000.038408600922,15252.958027257904,6.135850239509492,0.03976742234382779,6.059350067279968,6.169663327948564,698.3439553305307,False
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,5,695.0396524144162,3.3043029161144695,688.7549173413529,697.9124743174112,7.194183827954535,0.03420202361001375,7.129132086994796,7.223919698135936,709.2308207794634,4.250433566406614,701.6318679365953,713.1996753476063,15165.863781795118,87.04659447845756,15000.038408600922,15252.958027257904,6.135850239509492,0.03976742234382779,6.059350067279968,6.169663327948564,698.3439553305307,False
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,5,706.8153112484176,6.9240993469577825,693.7530788259173,713.1804258631773,7.316070764984383,0.07166964269159848,7.180866822411472,7.381954494733485,722.2074147958391,6.885292961574745,709.9473252120863,729.7361189215145,15340.824534045532,144.21585448959573,15077.098564800215,15485.007796552287,6.175486062740053,0.039471453286656064,6.112416868056077,6.222393571626308,713.7394105953754,False
