model,weather_mode,price_mode,seed_count,hourly_MAE_delivery_day_mean,hourly_MAE_delivery_day_std,hourly_MAE_delivery_day_min,hourly_MAE_delivery_day_max,hourly_MAE_percent_of_mean_actual_mean,hourly_MAE_percent_of_mean_actual_std,hourly_MAE_percent_of_mean_actual_min,hourly_MAE_percent_of_mean_actual_max,MAE_full_36h_mean,MAE_full_36h_std,MAE_full_36h_min,MAE_full_36h_max,absolute_daily_energy_error_MWh_mean,absolute_daily_energy_error_MWh_std,absolute_daily_energy_error_MWh_min,absolute_daily_energy_error_MWh_max,daily_energy_error_percent_of_actual_mean,daily_energy_error_percent_of_actual_std,daily_energy_error_percent_of_actual_min,daily_energy_error_percent_of_actual_max
M1_HorizonBiasCorrectedWeightedEnsemble,W0_weatherProxy,P0_noPrice,1,624.3881907571396,0.0,624.3881907571396,624.3881907571396,6.462887993090327,0.0,6.462887993090327,6.462887993090327,639.3018518489251,0.0,639.3018518489251,639.3018518489251,12819.954733521994,0.0,12819.954733521994,12819.954733521994,5.245675157562151,0.0,5.245675157562151,5.245675157562151
M1_HorizonBiasCorrectedWeightedEnsemble,W0_weatherProxy,P1_p0054l2Price,1,650.3174535799811,0.0,650.3174535799811,650.3174535799811,6.73127539030266,0.0,6.73127539030266,6.73127539030266,668.5755495230051,0.0,668.5755495230051,668.5755495230051,13608.226647995272,0.0,13608.226647995272,13608.226647995272,5.533874439206134,0.0,5.533874439206134,5.533874439206134
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P0_noPrice,5,657.9873224754929,4.891424487743269,652.3320986253358,665.9338006982604,6.810664309451293,0.050629927117311326,6.752128483725476,6.8929163434479666,669.598758559125,4.936791242789134,662.9122517284587,677.653253787107,14069.151951415883,122.63238827244842,13927.386849156523,14283.350266221034,5.722361232668101,0.06068703788097044,5.653863225476481,5.816940601849781
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,5,695.0396524144162,3.3043029161144695,688.7549173413529,697.9124743174112,7.194183827954535,0.03420202361001375,7.129132086994796,7.223919698135936,709.2308207794634,4.250433566406614,701.6318679365953,713.1996753476063,15165.863781795118,87.04659447845756,15000.038408600922,15252.958027257904,6.135850239509492,0.03976742234382779,6.059350067279968,6.169663327948564
M2_WeightedEnsemble,W0_weatherProxy,P0_noPrice,1,624.3881907571396,0.0,624.3881907571396,624.3881907571396,6.462887993090327,0.0,6.462887993090327,6.462887993090327,639.3018518489251,0.0,639.3018518489251,639.3018518489251,12819.954733521994,0.0,12819.954733521994,12819.954733521994,5.245675157562151,0.0,5.245675157562151,5.245675157562151
M2_WeightedEnsemble,W0_weatherProxy,P1_p0054l2Price,1,650.3174535799811,0.0,650.3174535799811,650.3174535799811,6.73127539030266,0.0,6.73127539030266,6.73127539030266,668.5755495230051,0.0,668.5755495230051,668.5755495230051,13608.226647995272,0.0,13608.226647995272,13608.226647995272,5.533874439206134,0.0,5.533874439206134,5.533874439206134
M2_WeightedEnsemble,W1_tempNoise2C,P0_noPrice,5,657.9873224754929,4.891424487743269,652.3320986253358,665.9338006982604,6.810664309451293,0.050629927117311326,6.752128483725476,6.8929163434479666,669.598758559125,4.936791242789134,662.9122517284587,677.653253787107,14069.151951415883,122.63238827244842,13927.386849156523,14283.350266221034,5.722361232668101,0.06068703788097044,5.653863225476481,5.816940601849781
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,5,695.0396524144162,3.3043029161144695,688.7549173413529,697.9124743174112,7.194183827954535,0.03420202361001375,7.129132086994796,7.223919698135936,709.2308207794634,4.250433566406614,701.6318679365953,713.1996753476063,15165.863781795118,87.04659447845756,15000.038408600922,15252.958027257904,6.135850239509492,0.03976742234382779,6.059350067279968,6.169663327948564
M3_XGBoost,W0_weatherProxy,P0_noPrice,1,634.078904190088,0.0,634.078904190088,634.078904190088,6.563194175073583,0.0,6.563194175073583,6.563194175073583,648.0211775938925,0.0,648.0211775938925,648.0211775938925,13096.229517047164,0.0,13096.229517047164,13096.229517047164,5.344598700349216,0.0,5.344598700349216,5.344598700349216
M3_XGBoost,W0_weatherProxy,P1_p0054l2Price,1,665.7937728388355,0.0,665.7937728388355,665.7937728388355,6.89146694964973,0.0,6.89146694964973,6.89146694964973,683.0284216904856,0.0,683.0284216904856,683.0284216904856,13843.741293021285,0.0,13843.741293021285,13843.741293021285,5.601152758762247,0.0,5.601152758762247,5.601152758762247
M3_XGBoost,W1_tempNoise2C,P0_noPrice,5,672.6889872252617,10.987917101125722,653.2327239628675,684.1321737122697,6.962837611246934,0.11373321685636846,6.761450634218341,7.08128320910473,684.2147861469655,10.253957010796944,666.0413890697337,696.2135258099753,14384.534627536621,270.6898088568149,13936.012050368483,14653.87564400591,5.800533908900173,0.09912862605971567,5.621411908965912,5.894893043236967
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,5,706.8153112484176,6.9240993469577825,693.7530788259173,713.1804258631773,7.316070764984383,0.07166964269159848,7.180866822411472,7.381954494733485,722.2074147958391,6.885292961574745,709.9473252120863,729.7361189215145,15340.824534045532,144.21585448959573,15077.098564800215,15485.007796552287,6.175486062740053,0.039471453286656064,6.112416868056077,6.222393571626308
