model,weather_mode,price_mode,seed,prediction_column,hourly_MAE_delivery_day,hourly_RMSE_delivery_day,bias_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,MAE_full_36h,RMSE_full_36h,bias_full_36h,p90_absolute_error,p95_absolute_error,MAE_percent_of_mean_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,duration_seconds
M2_WeightedEnsemble,W1_tempNoise2C,P0_noPrice,1003,pred_WeightedEnsemble_P0_noPrice,653.5504039414952,893.1575630448937,-319.6859482576335,6.764738861237865,7.074013302032149,666.4037465735538,904.4573147617718,-367.22014887882875,1578.4952071142575,2020.2203019132644,6.8044351279735045,13984.156686717815,-7672.462758183203,5.659061129595905,5.624
M3_XGBoost,W1_tempNoise2C,P0_noPrice,1003,pred_XGBoost_P0_noPrice,653.2327239628675,891.392094394722,-334.5946201858254,6.761450634218341,7.070574741852171,666.0413890697337,901.2365077587722,-378.2581824588826,1588.4812500000003,2005.0357910156247,6.800735211608154,13936.012050368483,-8030.270884459809,5.621411908965912,5.955
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P0_noPrice,1004,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice,657.9390142366666,898.6340727698592,-294.5906609439915,6.810164282799125,7.121515510612005,670.066085012671,910.9200184410962,-342.5440019256183,1588.4665174026327,2040.6387604752817,6.841830092293241,14106.353467339502,-7070.175862655802,5.7472087270049785,5.31
M2_WeightedEnsemble,W1_tempNoise2C,P0_noPrice,1004,pred_WeightedEnsemble_P0_noPrice,657.9390142366666,898.6340727698592,-294.5906609439915,6.810164282799125,7.121515510612005,670.066085012671,910.9200184410962,-342.5440019256183,1588.4665174026327,2040.6387604752817,6.841830092293241,14106.353467339502,-7070.175862655802,5.7472087270049785,5.624
M3_XGBoost,W1_tempNoise2C,P0_noPrice,1004,pred_XGBoost_P0_noPrice,677.114893082354,930.3067286096878,-341.60826438686405,7.008649069960886,7.329074745851484,689.1306806399498,941.3577372601525,-383.3837456728269,1671.469921875,2121.6433105468745,7.036492569588523,14521.912716794996,-8198.598345284736,5.825623099091921,5.951
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1000,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,688.7549173413529,945.1630464349464,-342.8965751346676,7.129132086994796,7.455066078650822,701.6318679365953,954.7610600320013,-387.36381380447926,1680.953358465195,2133.2974852083125,7.164138187459135,15000.038408600922,-8229.517803231995,6.059350067279968,5.679
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1000,pred_WeightedEnsemble_P1_p0054l2Price,688.7549173413529,945.1630464349464,-342.8965751346676,7.129132086994796,7.455066078650822,701.6318679365953,954.7610600320013,-387.36381380447926,1680.953358465195,2133.2974852083125,7.164138187459135,15000.038408600922,-8229.517803231995,6.059350067279968,5.996
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,1000,pred_XGBoost_P1_p0054l2Price,706.2697113066425,960.7318525403294,-369.7157722153117,7.310423394702678,7.644645772497823,719.9067694704438,969.849474902566,-412.664049106993,1700.2862304687505,2131.7374999999993,7.350737351399235,15354.6598068076,-8873.17853316748,6.178902326701116,6.35
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1001,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,694.7722380965988,948.5262186308684,-340.9876538116526,7.191415888378826,7.520197408703545,707.8422691775252,958.0646719148032,-386.096793003115,1679.9346015505307,2140.1994584108706,7.227550604600953,15178.381960913872,-8183.703691479629,6.162999477617048,5.708
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1001,pred_WeightedEnsemble_P1_p0054l2Price,694.7722380965988,948.5262186308684,-340.9876538116526,7.191415888378826,7.520197408703545,707.8422691775252,958.0646719148032,-386.096793003115,1679.9346015505307,2140.1994584108706,7.227550604600953,15178.381960913872,-8183.703691479629,6.162999477617048,6.026
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,1001,pred_XGBoost_P1_p0054l2Price,693.7530788259173,940.0331389015486,-351.25590356343696,7.180866822411472,7.509166054129805,709.9473252120863,952.2822861728471,-396.43633529327263,1668.9781250000003,2098.5479492187496,7.2490446572703275,15077.098564800215,-8430.141685522487,6.112416868056077,6.358
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1002,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,696.8999605687854,953.5498880258916,-349.3914663799979,7.213439418326516,7.543227823772539,712.8156776274718,967.5952070216484,-396.7263861806137,1707.109613363256,2152.1966798070066,7.2783324847097886,15183.915290586412,-8385.395193119954,6.138430489863062,5.683
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1002,pred_WeightedEnsemble_P1_p0054l2Price,696.8999605687854,953.5498880258916,-349.3914663799979,7.213439418326516,7.543227823772539,712.8156776274718,967.5952070216484,-396.7263861806137,1707.109613363256,2152.1966798070066,7.2783324847097886,15183.915290586412,-8385.395193119954,6.138430489863062,6.0
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,1002,pred_XGBoost_P1_p0054l2Price,709.4235069037934,969.3568552372134,-376.58000639940826,7.343067554216284,7.678782377527191,725.606348940511,980.4880398966853,-421.20747476558284,1741.335546875,2167.885009765625,7.4089339311156746,15330.939037546523,-9037.920153585797,6.154299322770753,6.328
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1003,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,697.9124743174112,956.0198297644345,-354.5229546898395,7.223919698135936,7.55418724738099,713.1996753476063,968.0858900310442,-398.00262764040116,1705.4212629784333,2156.547492068016,7.282253362389994,15252.958027257904,-8508.550912556158,6.169663327948564,5.685
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1003,pred_WeightedEnsemble_P1_p0054l2Price,697.9124743174112,956.0198297644345,-354.5229546898395,7.223919698135936,7.55418724738099,713.1996753476063,968.0858900310442,-398.00262764040116,1705.4212629784333,2156.547492068016,7.282253362389994,15252.958027257904,-8508.550912556158,6.169663327948564,6.002
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,1003,pred_XGBoost_P1_p0054l2Price,711.4498333425579,970.5657254796049,-384.9038459809592,7.364041558857999,7.7007152844546924,725.8405114346402,980.7804263418886,-426.698083410913,1741.8873046875,2190.0304199218735,7.411324889313161,15456.417464521037,-9237.69230354302,6.20941822454601,6.333
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1004,pred_HorizonBiasCorrected_WeightedEnsemble_P1_p0054l2Price,696.8586717479326,954.8530479082114,-348.93130244887715,7.213012047936605,7.542780914603518,710.6646138081186,964.9799406506341,-392.3732427509013,1704.5153325478182,2151.7079829519457,7.2563686612916625,15214.025221616486,-8374.35125877305,6.148807834838818,5.79
M2_WeightedEnsemble,W1_tempNoise2C,P1_p0054l2Price,1004,pred_WeightedEnsemble_P1_p0054l2Price,696.8586717479326,954.8530479082114,-348.93130244887715,7.213012047936605,7.542780914603518,710.6646138081186,964.9799406506341,-392.3732427509013,1704.5153325478182,2151.7079829519457,7.2563686612916625,15214.025221616486,-8374.35125877305,6.148807834838818,6.108
M3_XGBoost,W1_tempNoise2C,P1_p0054l2Price,1004,pred_XGBoost_P1_p0054l2Price,713.1804258631773,974.5000492361328,-373.871188654489,7.381954494733485,7.71944717481453,729.7361189215145,988.0682598911959,-417.7381309652609,1758.6609375000007,2197.249609374999,7.451101689135757,15485.007796552287,-8972.908527707736,6.222393571626308,6.439
