model,group,delta_kind,delta_MAE,relative_delta_percent
M1_HorizonBiasCorrectedWeightedEnsemble,P0_noPrice,weather_noise_delta_noisy_minus_proxy,33.599131718353306,5.3811286337127315
M1_HorizonBiasCorrectedWeightedEnsemble,P1_p0054l2Price,weather_noise_delta_noisy_minus_proxy,44.72219883443506,6.876979633291477
M2_WeightedEnsemble,P0_noPrice,weather_noise_delta_noisy_minus_proxy,33.599131718353306,5.3811286337127315
M2_WeightedEnsemble,P1_p0054l2Price,weather_noise_delta_noisy_minus_proxy,44.72219883443506,6.876979633291477
M3_XGBoost,P0_noPrice,weather_noise_delta_noisy_minus_proxy,38.610083035173716,6.089160636008
M3_XGBoost,P1_p0054l2Price,weather_noise_delta_noisy_minus_proxy,41.02153840958215,6.1612979999306745
