model,group,delta_kind,delta_MAE,relative_delta_percent
M1_HorizonBiasCorrectedWeightedEnsemble,W0_weatherProxy,price_delta_with_minus_no_price,25.929262822841565,4.152747154202176
M1_HorizonBiasCorrectedWeightedEnsemble,W1_tempNoise2C,price_delta_with_minus_no_price,37.05232993892332,5.631161676417156
M2_WeightedEnsemble,W0_weatherProxy,price_delta_with_minus_no_price,25.929262822841565,4.152747154202176
M2_WeightedEnsemble,W1_tempNoise2C,price_delta_with_minus_no_price,37.05232993892332,5.631161676417156
M3_XGBoost,W0_weatherProxy,price_delta_with_minus_no_price,31.714868648747483,5.001722725542657
M3_XGBoost,W1_tempNoise2C,price_delta_with_minus_no_price,34.12632402315592,5.07312066515638
