forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE,pred_HGB_with_p0054l2_ensemble_price_forecast_MAE,pred_ExtraTrees_no_price_MAE,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast_MAE,pred_LightGBM_no_price_MAE,pred_LightGBM_with_p0054l2_ensemble_price_forecast_MAE,pred_XGBoost_no_price_MAE,pred_XGBoost_with_p0054l2_ensemble_price_forecast_MAE
2025-06-01T23:00:00Z,168,79.83316827216069,76.4165110008519,95.56331437840873,94.42486007787056,98.68177760087448,89.55932669363929,70.15053415034411,71.60666587337238
2025-06-08T23:00:00Z,168,107.22550427325868,105.20050998071136,120.66797123383891,117.12558475643489,121.38102293333925,114.88020059266852,79.90108777148438,78.43805316489954
2025-06-15T23:00:00Z,168,180.2310516154877,161.64191248370267,150.37628844061115,152.07576699349522,161.69027013948295,170.89226287338604,136.5342836582961,137.39371889104353
2025-06-22T23:00:00Z,168,110.34346092971542,103.05286576084629,107.20125256762599,106.32774637194301,119.98059102823024,121.24674530699319,75.78608351195123,75.3464772740885
2025-06-29T23:00:00Z,168,127.28763051499553,104.01028257632049,85.55331934641708,83.85484396012863,106.50082294757651,104.44472252273269,89.73293032663685,88.28174591438798
2025-07-06T23:00:00Z,168,225.4781296877122,199.6797398779549,148.05918616783748,146.11199169964482,175.73355116014417,179.92340596242724,174.60086268489576,165.11585788257992
2025-07-13T23:00:00Z,168,326.3606875012504,303.1740440990517,240.20453302884596,237.93862654706913,276.3651876356346,285.16515121440216,272.5244541600634,264.7375998248235
2025-07-20T23:00:00Z,168,315.1662245413617,297.05865976199954,227.08326100015663,223.26608815141256,260.0392252084804,279.0579187772725,257.93395212518595,254.18234559268035
2025-07-27T23:00:00Z,168,286.7654195075114,267.45821611354575,209.10314462359605,206.5208787375666,243.37000637279584,253.6489748409116,245.1615660212054,239.60710812965027
2025-08-03T23:00:00Z,168,176.58168563523228,153.85774741767707,120.65604716271135,114.79695791829597,134.6297794064036,143.30794919524584,132.83871720056737,133.89012623084076
2025-08-10T23:00:00Z,168,112.60976887655286,97.57414510996453,103.5723385063106,101.68758919835881,112.8686123285522,107.61068582427907,87.19185249962803,88.85273646721546
2025-08-17T23:00:00Z,168,72.55656970214723,69.8229770676319,101.13636695991107,101.05242288152004,100.88220332811031,84.3621486626531,62.194067946614574,68.94911759305243
2025-08-24T23:00:00Z,168,89.43895322895663,81.16786170244025,117.45459513662311,115.48326879749126,111.29625362578402,83.63220037693587,77.63854622098215,70.01066617410713
2025-08-31T23:00:00Z,168,100.35011133672799,91.88598953542942,127.53031132304056,127.82505047667016,130.13107159951153,98.95508602821698,86.66951580836124,75.08408256245352
2025-09-07T23:00:00Z,168,99.28866210304895,91.3767496078345,121.6238180476351,120.25906502530145,119.88430266449912,96.02475667925525,88.08851442805992,78.21611109095983
2025-09-14T23:00:00Z,168,109.37123011772692,101.2555408633848,129.7008494890146,130.46074675672213,124.6479367382553,96.42042485592471,91.86732901967078,80.20421477241446
2025-09-21T23:00:00Z,168,144.0257276258694,151.54966851362664,151.07451591433113,147.22801043774584,140.61810285288436,126.93705674579455,117.92748425883565,104.81833702734374
2025-09-28T23:00:00Z,168,135.58949269765623,149.5208542009847,152.47882945043244,151.56702806513357,158.8584689640634,139.19759519296633,114.92859868856955,97.60208796930803
2025-10-05T23:00:00Z,168,169.64710510520743,155.49829679983546,168.66580023238228,162.6468944214961,175.08622210937168,148.2314138677281,144.90881800209254,130.0175279962797
