regime,model,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2,mean_actual_mw,median_actual_mw,MAE_percent_of_mean_actual,MAE_percent_of_median_actual
cold_hours,pred_HGB_no_price,2142,476.9353193934377,550.9908755307845,-449.866196939757,481.0766280297232,854.3957409665927,918.2677299967152,0.16782766109134029,-0.9881561127713754,2982.149447400328,3025.303909625,15.993005307269337,15.764873005851369
cold_hours,pred_HGB_with_p0054l2_ensemble_price_forecast,2142,474.1330139500565,548.440819285142,-450.5433069971128,477.8338403160401,852.2541332215673,909.8766581990837,0.1670375306215195,-0.9697958166519722,2982.149447400328,3025.303909625,15.899035991082853,15.672244115429299
cold_hours,pred_ExtraTrees_no_price,2142,396.73189629029866,472.7157471560088,-366.56197654911097,377.6454816086002,756.9954046785584,816.5069110850063,0.13657969692120472,-0.46339581437308386,2982.149447400328,3025.303909625,13.303555146645902,13.113786520028508
cold_hours,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2142,388.56345813919313,464.2104821145341,-361.81377432071866,368.73379431562785,740.138766422339,811.3725702835301,0.13327409354705014,-0.4112097052837502,2982.149447400328,3025.303909625,13.029644053483674,12.843782632977105
cold_hours,pred_LightGBM_no_price,2142,484.44033698843515,555.800296585902,-460.54101315569613,502.42746666760036,850.2313098447623,920.2202355929057,0.17149894561452084,-1.0230155326772996,2982.149447400328,3025.303909625,16.244670011784397,16.01294783797386
cold_hours,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2142,488.15377556355537,562.2569069213484,-469.58142562000006,502.8492311981006,861.6393575020602,922.1248581646702,0.17191253982502955,-1.0702903946969244,2982.149447400328,3025.303909625,16.369192227743675,16.13569380618241
cold_hours,pred_XGBoost_no_price,2142,381.1674432487222,450.83733007755086,-336.5496997701539,376.1669168046874,713.8342737140625,792.1038974054686,0.13319052792559138,-0.3310715690328119,2982.149447400328,3025.303909625,12.781634521402097,12.599310834063266
cold_hours,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2142,363.18885305369406,431.3845832371835,-319.4114525767456,353.18342539843707,683.3741925031252,758.0091462593748,0.12631530112039926,-0.21868343914528743,2982.149447400328,3025.303909625,12.178760972905026,12.005036978209338
very_cold_hours,pred_HGB_no_price,857,610.9690792747792,655.2557611585557,-610.7884141543092,642.0263617837186,899.8926427478582,955.0299604230975,0.20346077107622015,-4.9748485690658,3260.3763385405423,3282.7096192500003,18.739219520537624,18.61173086075055
very_cold_hours,pred_HGB_with_p0054l2_ensemble_price_forecast,857,601.3633256277988,645.8505546595425,-600.97964482606,634.6718646508562,887.0200593793377,943.4266301383157,0.19992178193604557,-4.804559674255586,3260.3763385405423,3282.7096192500003,18.44459851211501,18.31911424944105
very_cold_hours,pred_ExtraTrees_no_price,857,504.302710633492,564.7196367217788,-500.5980694158497,525.2370673598875,818.3280024095802,872.5867492934971,0.1641414017605314,-3.437833309855792,3260.3763385405423,3282.7096192500003,15.467622699630908,15.362391716776639
very_cold_hours,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,857,503.71967561142424,562.738297789567,-500.3665906518078,524.010285326076,815.9878095890072,867.2484696585581,0.16391650299826546,-3.4067473467552603,3260.3763385405423,3282.7096192500003,15.44974025412375,15.344630931032787
very_cold_hours,pred_LightGBM_no_price,857,609.1465780696084,648.4528860002091,-608.8804439318982,636.8035507410141,884.9083328732108,940.6997329348727,0.20313093063222065,-4.8514306402572345,3260.3763385405423,3282.7096192500003,18.683321028586644,18.556212663390554
very_cold_hours,pred_LightGBM_with_p0054l2_ensemble_price_forecast,857,635.6148805882349,675.5265989619543,-635.552155708174,661.1808152725143,918.7044302282516,976.5511730578532,0.21280515384792706,-5.35023964217954,3260.3763385405423,3282.7096192500003,19.49513843155782,19.362507023495233
very_cold_hours,pred_XGBoost_no_price,857,439.4945451788039,496.3651332626747,-431.2774217044747,470.42914800000017,720.7687463156246,781.342145490625,0.1415307747338094,-2.4285283197197614,3260.3763385405423,3282.7096192500003,13.479871632718845,13.388163930235631
very_cold_hours,pred_XGBoost_with_p0054l2_ensemble_price_forecast,857,421.6208732792997,476.9409298695551,-414.55754130774164,450.24061154687524,697.7734459156247,750.8579062968745,0.13533147477189553,-2.1654422504111133,3260.3763385405423,3282.7096192500003,12.931662774489153,12.843684705064693
weekday,pred_HGB_no_price,6120,268.63164966598396,365.181244189994,-186.52280408949682,186.11444726941022,660.5011041634372,791.7644869191353,0.10952054070516908,0.5127372526900573,2380.86087561896,2274.1547597500003,11.28296291551042,11.812373301081534
weekday,pred_HGB_with_p0054l2_ensemble_price_forecast,6120,262.9686863658094,359.83181207320274,-190.9102766906288,177.06076472702387,654.9640169840442,790.1758335939697,0.10699934602574854,0.5269082295861558,2380.86087561896,2274.1547597500003,11.045109315656445,11.563359320133419
weekday,pred_ExtraTrees_no_price,6120,245.22783155640576,326.6718067320143,-187.53057535558756,182.10692732553218,590.8506221071864,706.3538299553932,0.09998243411824537,0.6100853161636071,2380.86087561896,2274.1547597500003,10.299964776087686,10.783251689667939
weekday,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,6120,236.2257830530679,315.3174980741654,-181.01917924980003,173.2881974025895,569.7104027327421,687.1263935934649,0.09603686290087032,0.6367192165227669,2380.86087561896,2274.1547597500003,9.921864207695693,10.387410181312216
weekday,pred_LightGBM_no_price,6120,274.5602756101234,366.0341454114939,-197.91136204280483,185.5894130863553,659.0755749905388,771.7166318334683,0.11263763820057736,0.5104585359578888,2380.86087561896,2274.1547597500003,11.531974775247845,12.073069101080264
weekday,pred_LightGBM_with_p0054l2_ensemble_price_forecast,6120,266.54469476908736,362.85257065050075,-192.3530322972215,176.78615172170123,662.7318372634135,790.7085277450866,0.10821267006630865,0.5189317553157723,2380.86087561896,2274.1547597500003,11.195307441044529,11.720604924811223
weekday,pred_XGBoost_no_price,6120,218.81734815694395,302.5188733300381,-145.8166428827281,141.13748168359382,537.1967064546873,661.2028896765622,0.0890296616065561,0.6656115792517916,2380.86087561896,2274.1547597500003,9.190681841082265,9.621919845991428
weekday,pred_XGBoost_with_p0054l2_ensemble_price_forecast,6120,212.15702046461604,293.12447314515776,-141.97817218439016,139.14392877343744,521.4001566921875,636.5433746960941,0.08617829237647774,0.6860572627229702,2380.86087561896,2274.1547597500003,8.91093732679617,9.329049377797782
weekend,pred_HGB_no_price,2448,239.58850424042097,302.38471148728684,-65.1432614577314,198.05882661234136,503.2601342673372,605.9581172909338,0.10852833359070732,0.6443603556595541,2181.668219168198,2117.9790567500004,10.981894594942974,11.312128109900438
weekend,pred_HGB_with_p0054l2_ensemble_price_forecast,2448,231.71189551326916,296.38166396520273,-81.69571580357795,185.71418986605966,503.12516988686616,607.619884920837,0.10455099188704162,0.6583407587537335,2181.668219168198,2117.9790567500004,10.620858546567344,10.940235446370597
weekend,pred_ExtraTrees_no_price,2448,195.33907966079093,251.16539008156158,-59.82014593256551,152.48841061101837,420.9096518700351,513.8543968594443,0.08879316081156928,0.754636421308278,2181.668219168198,2117.9790567500004,8.953656561732728,9.222899491770004
weekend,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2448,191.50382675507512,246.0908759432284,-61.98634470641525,152.07250766857499,413.3576514889221,499.0289301700247,0.0869095072859829,0.7644508548713717,2181.668219168198,2117.9790567500004,8.7778620540244,9.041818716042178
weekend,pred_LightGBM_no_price,2448,237.07104961525266,308.85362534806075,-102.55488126502856,183.66063256841767,535.4790298066149,645.4647363817571,0.10660685824891435,0.6289812010962728,2181.668219168198,2117.9790567500004,10.866503326781762,11.193266942829633
weekend,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2448,228.51186276336983,300.7430450134551,-98.04537137814651,177.40981243435374,528.2151795858873,627.160136068049,0.1021214622559715,0.6482114552775549,2181.668219168198,2117.9790567500004,10.474180297244935,10.789146475981545
weekend,pred_XGBoost_no_price,2448,200.98823611032924,261.101231449615,-74.5199749960587,155.1706597695312,457.36696151562523,558.9571208273437,0.09158459408703415,0.7348397935884912,2181.668219168198,2117.9790567500004,9.212594029854813,9.489623396878248
weekend,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2448,191.50847673569953,248.28087204191374,-71.94109014825568,147.5282678867186,436.4074393671873,528.9814922218752,0.08695240259905516,0.7602398330358593,2181.668219168198,2117.9790567500004,8.778075192785993,9.04203826404052
holiday,pred_HGB_no_price,384,239.87095098568534,298.44035916560387,-92.02741142051862,201.1360538323039,499.1092575080969,562.9965242106357,0.10710589977079814,0.58553920153925,2239.481498792969,2264.9963765,10.711003913851062,10.590345904056033
holiday,pred_HGB_with_p0054l2_ensemble_price_forecast,384,239.78248053112327,301.06964691815483,-103.6225740162492,196.7825423571618,507.38889961377606,579.9748841875169,0.10682496579472982,0.5782041544564848,2239.481498792969,2264.9963765,10.707053425552331,10.58643991747345
holiday,pred_ExtraTrees_no_price,384,189.32189099389802,232.57438134009652,-71.71835565344308,160.0424398667194,389.178221502732,445.0779681454528,0.08508585324729347,0.7482948507873275,2239.481498792969,2264.9963765,8.453826972713923,8.3585957557446
holiday,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,384,178.7985618096802,219.8177049533301,-62.03682748318689,157.36870768410745,364.60621769137424,407.02424693719144,0.08053173832888405,0.7751495868899205,2239.481498792969,2264.9963765,7.983926721700923,7.893988867477562
holiday,pred_LightGBM_no_price,384,245.298097711943,315.1865221249994,-138.9182614732492,209.79266630237817,552.2770937830513,622.9495655250764,0.10867835273846277,0.5377215722219094,2239.481498792969,2264.9963765,10.953343345062384,10.829955414365449
holiday,pred_LightGBM_with_p0054l2_ensemble_price_forecast,384,232.53938775889034,296.1717385455033,-116.30336119204554,196.46424491684206,505.4487196362113,597.1961561798107,0.10305656279053695,0.591816372651953,2239.481498792969,2264.9963765,10.383626204736405,10.266656060537425
holiday,pred_XGBoost_no_price,384,200.5723988170978,261.7266507643378,-66.88903180281572,155.18074634765617,455.30010246406266,503.63604096093786,0.08947866668595927,0.6812396854494595,2239.481498792969,2264.9963765,8.95619807197344,8.855307712546258
holiday,pred_XGBoost_with_p0054l2_ensemble_price_forecast,384,195.01844311901831,250.82961928946477,-58.28485623518875,153.3026359687501,433.18592469687485,470.053432289844,0.0869090943827468,0.7072303932812842,2239.481498792969,2264.9963765,8.708196215245758,8.610099563177746
morning_ramp,pred_HGB_no_price,1428,297.990104406775,383.58576661113636,-172.70448638430162,241.00378050719974,651.7301853868232,838.7622710771611,0.1235461699640574,0.4676850820976508,2398.5547577536754,2332.6430848749997,12.423735728503962,12.77478352084642
morning_ramp,pred_HGB_with_p0054l2_ensemble_price_forecast,1428,291.0940765548557,376.85977352221005,-180.35528974801454,229.07261267660715,645.0550466507692,832.5055319193029,0.1204788173111024,0.48618919218652623,2398.5547577536754,2332.6430848749997,12.136228102104067,12.479152016111144
morning_ramp,pred_ExtraTrees_no_price,1428,266.34189069333655,335.5263665930844,-184.29771067858005,219.75798945046063,563.8236520314997,729.5130248022678,0.1097816181688362,0.5927163487179482,2398.5547577536754,2332.6430848749997,11.104265592951249,11.418030148731868
morning_ramp,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,1428,257.29691989331593,325.47543254332265,-180.6812467527056,213.58958307263754,541.8837338749934,716.1726300389348,0.10603851712824035,0.616751825116777,2398.5547577536754,2332.6430848749997,10.72716472540668,11.030273836646716
morning_ramp,pred_LightGBM_no_price,1428,306.75297298831265,393.8553886248026,-218.97165486573226,229.9137082067216,681.580352163672,867.9282806039585,0.12695208881534972,0.4388005287782035,2398.5547577536754,2332.6430848749997,12.789075254450175,13.150446160294205
morning_ramp,pred_LightGBM_with_p0054l2_ensemble_price_forecast,1428,298.5285131794878,390.5574656158719,-206.88042512859636,224.7317741417146,683.5358234812716,872.7086727923308,0.12262706952604187,0.44815951664428755,2398.5547577536754,2332.6430848749997,12.446182944727493,12.797865010518109
morning_ramp,pred_XGBoost_no_price,1428,228.5806721801251,306.98121046402974,-103.17903781237975,169.14510115625012,523.2844196703122,673.6092252195309,0.09434124646080902,0.6590683988338918,2398.5547577536754,2332.6430848749997,9.529933450183075,9.799213332817873
morning_ramp,pred_XGBoost_with_p0054l2_ensemble_price_forecast,1428,221.0133433831354,296.4411632244928,-80.35878626205246,163.93025260156264,500.70211515781216,643.9497515453123,0.09148622423632657,0.6820779229099362,2398.5547577536754,2332.6430848749997,9.214438097303294,9.4748032742857
evening_peak,pred_HGB_no_price,1785,343.66011338474453,439.72175104279984,-275.9464223220522,262.740556765792,768.7981598902797,873.7072671300423,0.13741596216040575,0.31283620336241125,2467.9581614135877,2362.0019255,13.924875986872653,14.549527232582458
evening_peak,pred_HGB_with_p0054l2_ensemble_price_forecast,1785,333.9016169353995,430.2122033009133,-276.81586387480246,239.40793518344117,759.9612774052338,866.7326986828363,0.133113238848701,0.3422364191692393,2467.9581614135877,2362.0019255,13.529468293098965,14.136382080413314
evening_peak,pred_ExtraTrees_no_price,1785,329.9120364677782,402.53859845956947,-309.2817094321231,282.44910284845696,679.835153662,764.8590905424073,0.13289456547787143,0.42413665792332855,2467.9581614135877,2362.0019255,13.36781318362433,13.967475339713822
evening_peak,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,1785,315.30891719208637,386.0304050807233,-292.83362697600506,269.5641033253082,662.2630147508766,752.3287488105843,0.1264886232839541,0.4704007051730026,2467.9581614135877,2362.0019255,12.776104640748242,13.349223545841953
evening_peak,pred_LightGBM_no_price,1785,328.0537817425135,424.20519950786786,-289.96344630595553,223.1976555613321,739.461330491556,853.9034756762549,0.13026981757252737,0.36047673545744596,2467.9581614135877,2362.0019255,13.292517955596624,13.888802468823961
evening_peak,pred_LightGBM_with_p0054l2_ensemble_price_forecast,1785,322.9841380327004,422.5326321418587,-269.04034329751323,222.93267367947783,756.100315119917,870.8633031623159,0.1273135244984107,0.3655098516460208,2467.9581614135877,2362.0019255,13.087099412078476,13.674169125172476
evening_peak,pred_XGBoost_no_price,1785,298.9557597975662,381.090295280464,-248.5330272388216,248.1223457343749,647.6583686468755,743.6934339265623,0.12000327918437342,0.4838687538376222,2467.9581614135877,2362.0019255,12.113485733742401,12.656880444086926
evening_peak,pred_XGBoost_with_p0054l2_ensemble_price_forecast,1785,284.99616275690624,363.68942102239214,-231.85510356935387,234.18815592187502,626.2127644781257,719.8487284749999,0.11437045194474102,0.529926563654825,2467.9581614135877,2362.0019255,11.547852277757709,12.065873430504375
summer_low_load,pred_HGB_no_price,2184,169.99063494510352,213.8700436442325,148.1497656392382,143.60082396171254,351.2276611699404,411.3469700707832,0.09343873881473588,0.005417932013232707,1811.5147522744937,1809.91657825,9.383894596037234,9.392180666661814
summer_low_load,pred_HGB_with_p0054l2_ensemble_price_forecast,2184,155.39349791943843,195.93863261069941,125.14703310675657,129.10805710590068,321.6360070157049,378.1021481835666,0.08607200652029777,0.1652030483754625,1811.5147522744937,1809.91657825,8.578097292574082,8.585671836305721
summer_low_load,pred_ExtraTrees_no_price,2184,140.5101245040688,172.31791326965316,68.37556039938424,122.16666784648169,281.3732804907145,324.5415478030578,0.07874487235934885,0.354343448464131,1811.5147522744937,1809.91657825,7.756499047421377,7.763348111874162
summer_low_load,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2184,138.51281739163295,169.02058729864996,66.44688426749151,121.3516263765315,275.8038046975834,321.6165542920166,0.07761850567415773,0.3788164855492657,1811.5147522744937,1809.91657825,7.646242859337448,7.652994566498769
summer_low_load,pred_LightGBM_no_price,2184,155.64763874733939,195.7010245799992,100.69003902168126,133.12407171705956,323.63521979429754,396.3962381041948,0.08683258201053888,0.1672264797759807,1811.5147522744937,1809.91657825,8.592126481548771,8.599713413191362
summer_low_load,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2184,155.2101302187343,193.57273853974718,110.61827386747257,134.36453728072638,312.41501968029,383.1554081894488,0.08641102889404799,0.18524113018026056,1811.5147522744937,1809.91657825,8.56797495156229,8.575540557167903
