forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,target_consumption_se3_mw,split,price_feature_protocol,horizon_h,target_model_cet_hour,target_model_cet_weekday,target_model_cet_day_of_year,target_month,target_hour_sin,target_hour_cos,target_dayofyear_sin,target_dayofyear_cos,is_weekend,is_workday,is_holiday,is_bridge_day,is_holiday_period,holiday_strength,special_day_type,special_day_group,consumption_se3_lag_1h,consumption_se3_lag_2h,consumption_se3_lag_3h,consumption_se3_lag_6h,consumption_se3_lag_12h,consumption_se3_lag_24h,consumption_se3_lag_48h,consumption_se3_lag_72h,consumption_se3_lag_168h,consumption_se3_roll_mean_6h,consumption_se3_roll_mean_12h,consumption_se3_roll_mean_24h,consumption_se3_roll_mean_48h
2025-02-22T23:00:00Z,2025-03-01T22:00:00Z,168,2480.94357425,train_fit,blocked_oof_train_price_before_2025_03,168,23,5,60,3,-0.25881904510252157,0.9659258262890681,0.8573146280763322,0.5147928015098309,1,0,0,0,0,0.0,normal_saturday,normal,2402.55211525,2464.0190615,2537.2078067499997,2793.1627355,2636.0244762499997,2427.7945095,2782.3114662499997,2972.731392,2977.79848,2590.8200226249996,2624.0706470416667,2531.3241965624998,2728.2708281197915
2025-02-23T23:00:00Z,2025-03-01T22:00:00Z,144,2480.94357425,train_fit,blocked_oof_train_price_before_2025_03,144,23,5,60,3,-0.25881904510252157,0.9659258262890681,0.8573146280763322,0.5147928015098309,1,0,0,0,0,0.0,normal_saturday,normal,2422.3341764999996,2523.6992984999997,2637.1164755,2856.00956625,2605.029441,2357.91953875,2427.7945095,2782.3114662499997,2845.2966667500004,2658.254338833334,2646.8014391875,2507.4355576041667,2519.3798770833323
2025-02-23T23:00:00Z,2025-03-02T22:00:00Z,168,2341.8499525,train_fit,blocked_oof_train_price_before_2025_03,168,23,6,61,3,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0.0,normal_sunday,normal,2422.3341764999996,2523.6992984999997,2637.1164755,2856.00956625,2605.029441,2357.91953875,2427.7945095,2782.3114662499997,2845.2966667500004,2658.254338833334,2646.8014391875,2507.4355576041667,2519.3798770833323
2025-02-24T23:00:00Z,2025-03-01T22:00:00Z,120,2480.94357425,train_fit,blocked_oof_train_price_before_2025_03,120,23,5,60,3,-0.25881904510252157,0.9659258262890681,0.8573146280763322,0.5147928015098309,1,0,0,0,0,0.0,normal_saturday,normal,2466.87729125,2575.223891,2714.75029925,2992.308301,2856.786721,2379.541236,2357.91953875,2427.7945095,2919.165217,2753.7606382083327,2814.303047958334,2714.791153020833,2611.1133553124996
2025-02-24T23:00:00Z,2025-03-02T22:00:00Z,144,2341.8499525,train_fit,blocked_oof_train_price_before_2025_03,144,23,6,61,3,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0.0,normal_sunday,normal,2466.87729125,2575.223891,2714.75029925,2992.308301,2856.786721,2379.541236,2357.91953875,2427.7945095,2919.165217,2753.7606382083327,2814.303047958334,2714.791153020833,2611.1133553124996
2025-02-24T23:00:00Z,2025-03-03T22:00:00Z,168,2448.16126775,train_fit,blocked_oof_train_price_before_2025_03,168,23,0,62,3,-0.25881904510252157,0.9659258262890681,0.8744809578310397,0.4850598461951962,0,1,0,0,0,0.0,normal_weekday,normal,2466.87729125,2575.223891,2714.75029925,2992.308301,2856.786721,2379.541236,2357.91953875,2427.7945095,2919.165217,2753.7606382083327,2814.303047958334,2714.791153020833,2611.1133553124996
2025-02-25T23:00:00Z,2025-03-01T22:00:00Z,96,2480.94357425,train_fit,blocked_oof_train_price_before_2025_03,96,23,5,60,3,-0.25881904510252157,0.9659258262890681,0.8573146280763322,0.5147928015098309,1,0,0,0,0,0.0,normal_saturday,normal,2488.1519565,2599.2568175,2706.28448025,2969.003162,2811.779917,2411.75892375,2379.541236,2357.91953875,2921.1266785,2746.363065375,2783.809498354167,2672.981970812499,2693.8865619166663
2025-02-25T23:00:00Z,2025-03-02T22:00:00Z,120,2341.8499525,train_fit,blocked_oof_train_price_before_2025_03,120,23,6,61,3,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0.0,normal_sunday,normal,2488.1519565,2599.2568175,2706.28448025,2969.003162,2811.779917,2411.75892375,2379.541236,2357.91953875,2921.1266785,2746.363065375,2783.809498354167,2672.981970812499,2693.8865619166663
2025-02-25T23:00:00Z,2025-03-03T22:00:00Z,144,2448.16126775,train_fit,blocked_oof_train_price_before_2025_03,144,23,0,62,3,-0.25881904510252157,0.9659258262890681,0.8744809578310397,0.4850598461951962,0,1,0,0,0,0.0,normal_weekday,normal,2488.1519565,2599.2568175,2706.28448025,2969.003162,2811.779917,2411.75892375,2379.541236,2357.91953875,2921.1266785,2746.363065375,2783.809498354167,2672.981970812499,2693.8865619166663
2025-02-25T23:00:00Z,2025-03-04T22:00:00Z,168,2377.642935,train_fit,blocked_oof_train_price_before_2025_03,168,23,1,63,3,-0.25881904510252157,0.9659258262890681,0.8826787983255474,0.46997674302731995,0,1,0,0,0,0.0,normal_weekday,normal,2488.1519565,2599.2568175,2706.28448025,2969.003162,2811.779917,2411.75892375,2379.541236,2357.91953875,2921.1266785,2746.363065375,2783.809498354167,2672.981970812499,2693.8865619166663
