forecast_run_id,model_name,model_version,split_policy_version,package_id,source_model_family,method_name,training_protocol,training_cutoff_utc,prediction_rule,prediction_source_timestamp_utc,anchor_method,anchor_level,anchor_scale,anchor_window_start_utc,anchor_window_end_utc,forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area,predicted_price,prediction_unit,prediction_kind,created_at_utc,quality_flag
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T09:00:00Z,10,SE1,1.30247,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T10:00:00Z,11,SE1,1.36628,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T11:00:00Z,12,SE1,1.503875,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T12:00:00Z,13,SE1,1.3801450000000002,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T13:00:00Z,14,SE1,1.2377099999999999,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T14:00:00Z,15,SE1,1.18981,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T15:00:00Z,16,SE1,1.10282,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T16:00:00Z,17,SE1,1.0608499999999998,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T17:00:00Z,18,SE1,1.07752,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T18:00:00Z,19,SE1,0.8972800000000001,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T19:00:00Z,20,SE1,0.706495,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
P0054H_origin_local_history_baseline_se1_v1,P0054H_origin_local_history_baseline,p0054h_origin_local_history_v1,forecast_period_policy_v1_p0053c,P0054H,P0054H_origin_local_history_baseline,previous_week_same_hour_else_hist48_same_hour_else_hist48_median,origin_local_no_fit_pre_origin_history,2022-06-01T22:00:00Z,hist48_same_hour_mean,,origin_local_48h_history_anchor,1.02424,0.5469532987398074,2022-05-30T23:00:00Z,2022-06-01T22:00:00Z,2022-06-01T23:00:00Z,2022-06-01T22:00:00Z,2022-06-02T20:00:00Z,21,SE1,0.582545,source_hour_price_unit,anchored_absolute_price,2026-06-04T18:46:50Z,forecast_safe_origin_local_baseline_not_m4
