forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se3_mw,weather_proxy_label,price_forecast_source,forecast_se3_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054k_se3_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054k_se3_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054k_se3_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054k_se3_price_forecast
2022-06-07T23:00:00Z,2022-06-09T22:00:00Z,48,train_fit,6898.350407,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.18823,,,,,,,,
2022-06-07T23:00:00Z,2022-06-10T22:00:00Z,72,train_fit,6796.504486,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.50127,,,,,,,,
2022-06-07T23:00:00Z,2022-06-11T22:00:00Z,96,train_fit,6729.375756,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.51336,,,,,,,,
2022-06-07T23:00:00Z,2022-06-12T22:00:00Z,120,train_fit,6894.341421,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-07T23:00:00Z,2022-06-13T22:00:00Z,144,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-07T23:00:00Z,2022-06-14T22:00:00Z,168,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-08T23:00:00Z,2022-06-08T23:00:00Z,1,train_fit,6757.945924,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.27431,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T01:00:00Z,3,train_fit,6556.131226,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.95795,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T04:00:00Z,6,train_fit,7639.549171,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.71482,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T10:00:00Z,12,train_fit,8794.251621,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.6355,,,,,,,,
2022-06-08T23:00:00Z,2022-06-09T22:00:00Z,24,train_fit,6898.350407,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.18823,,,,,,,,
2022-06-08T23:00:00Z,2022-06-10T22:00:00Z,48,train_fit,6796.504486,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.50127,,,,,,,,
2022-06-08T23:00:00Z,2022-06-11T22:00:00Z,72,train_fit,6729.375756,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.51336,,,,,,,,
2022-06-08T23:00:00Z,2022-06-12T22:00:00Z,96,train_fit,6894.341421,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-08T23:00:00Z,2022-06-13T22:00:00Z,120,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-08T23:00:00Z,2022-06-14T22:00:00Z,144,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-08T23:00:00Z,2022-06-15T22:00:00Z,168,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-09T23:00:00Z,2022-06-09T23:00:00Z,1,train_fit,6664.327607,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.12942,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T01:00:00Z,3,train_fit,6423.202749,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.12127,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T04:00:00Z,6,train_fit,7377.047467,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.68087,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T10:00:00Z,12,train_fit,8632.513535,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.6507899999999998,,,,,,,,
2022-06-09T23:00:00Z,2022-06-10T22:00:00Z,24,train_fit,6796.504486,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.50127,,,,,,,,
2022-06-09T23:00:00Z,2022-06-11T22:00:00Z,48,train_fit,6729.375756,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.51336,,,,,,,,
2022-06-09T23:00:00Z,2022-06-12T22:00:00Z,72,train_fit,6894.341421,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-09T23:00:00Z,2022-06-13T22:00:00Z,96,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-09T23:00:00Z,2022-06-14T22:00:00Z,120,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-09T23:00:00Z,2022-06-15T22:00:00Z,144,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
