forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE,pred_HGB_with_p0054k_se3_price_forecast_MAE,pred_ExtraTrees_no_price_MAE,pred_ExtraTrees_with_p0054k_se3_price_forecast_MAE,pred_LightGBM_no_price_MAE,pred_LightGBM_with_p0054k_se3_price_forecast_MAE,pred_XGBoost_no_price_MAE,pred_XGBoost_with_p0054k_se3_price_forecast_MAE
2025-06-01T23:00:00Z,168,111.89355533540746,112.56863208094711,87.91803377929014,89.71411538463941,94.7036053305396,106.60102211705359,82.4403357275855,83.82814720298545
2025-06-08T23:00:00Z,168,123.52717262449076,128.93589513394573,95.9953118303031,95.18786364474002,94.42987022508063,96.16156356707182,75.33527062076823,71.83964710616628
2025-06-15T23:00:00Z,168,121.0510430893956,125.34449706201437,100.21136082572002,103.30182366013729,91.55966616101969,95.49569269404859,87.50975481724326,87.5496368319382
2025-06-22T23:00:00Z,168,139.24948416836995,144.63469502845456,121.16029988811938,120.41366409610559,103.93757263390147,106.77614172983316,96.11980638355655,95.30701471047246
2025-06-29T23:00:00Z,168,87.23463192302737,87.94091397415487,64.78468915767343,66.07727327047364,69.64241452728564,71.88319575879518,63.843733684523784,69.24605020196238
2025-07-06T23:00:00Z,168,89.999052999651,94.36289713416528,72.59351704906918,71.55795983639761,66.0404156096921,70.71067451268785,76.21510222595798,74.2639672858538
2025-07-13T23:00:00Z,168,98.97714198728264,96.27693953268187,60.112239589192434,61.53762823574449,69.26445625583828,71.12731062203572,74.58685154278274,79.53631335481771
2025-07-20T23:00:00Z,168,92.74714237548268,93.2640445444894,67.2259562956906,70.37958037084304,69.6805502433946,74.88756410813403,73.85015310463166,75.68399252287944
2025-07-27T23:00:00Z,168,92.49194748452591,93.32966072972587,73.54315858128157,78.5101988623571,77.39536817197128,74.06822849182204,68.57802752771575,72.03953040057662
2025-08-03T23:00:00Z,168,143.68520018338094,144.70047425587387,127.78599689126733,133.58756643889032,130.03315413477497,122.70840860745322,105.75833817568825,106.96561223135234
2025-08-10T23:00:00Z,168,131.4214588714081,130.9979278185678,99.87345910844662,101.44032278940003,113.3930362020284,108.68668656916655,83.36113016415555,85.97379213304505
2025-08-17T23:00:00Z,168,116.16535717252033,116.31145687291098,96.67402553563238,100.4610355253791,102.2442896117532,107.2033330956729,73.36227724934894,77.76957092778085
2025-08-24T23:00:00Z,168,106.70626492016129,104.14471911989664,80.22574029111522,81.41507023438622,94.59280827295902,89.29553399542867,73.08950684635418,76.20107711444385
2025-08-31T23:00:00Z,168,122.40274410664081,122.33397433622011,85.54217995077249,88.17321911094017,94.61593668191125,92.92771790250515,73.33346746242559,79.24073615327382
2025-09-07T23:00:00Z,168,108.96563451640387,109.1267896239611,84.51675866352367,84.81775151786326,99.7624334323412,96.68556374535346,69.02841419926528,70.26921912881326
2025-09-14T23:00:00Z,168,119.99945058818359,124.18379414042506,103.27136690378228,104.39351772992279,106.67472937863754,101.42025314499354,78.83420370893784,78.66146233933219
2025-09-21T23:00:00Z,168,136.37999057040304,134.6090363993533,129.17708676143144,128.29197928790293,126.72387173622788,123.48165112748327,97.95921945382248,92.04627194447542
2025-09-28T23:00:00Z,168,123.40962329893819,122.66198851479257,118.53367299199957,113.83465320974922,116.88512831579767,119.54256533055232,93.25637721572728,91.17887438513763
2025-10-05T23:00:00Z,168,132.12369342862502,128.5905159667795,123.19937264708753,121.9257788594987,125.61894815107955,130.75483893446602,82.97496390550594,80.29239403524926
2025-10-12T23:00:00Z,168,149.35579889356808,138.84809983617976,110.87225041763642,113.38788055119895,117.94835807469889,119.2103637089717,102.10404962193077,88.1294806862909
2025-10-19T23:00:00Z,168,128.8838744099064,130.88247629843474,135.64158570355178,137.51979593641104,127.72102094473068,127.35354377144913,101.47787616466701,114.50589224855837
2025-10-26T23:00:00Z,168,189.3856467334312,184.88484133336354,166.34206938899936,169.68476871382688,165.73466283803305,162.31891615813643,146.95763793210568,154.27906716541116
2025-11-02T23:00:00Z,168,159.74330414188128,159.02589871191302,138.96849510661727,137.36277612457465,125.2815395591419,131.76561345588476,111.61032303948097,113.10358656854535
2025-11-09T23:00:00Z,168,229.1690514008355,216.77464609545535,187.95793028761213,187.74054987855135,181.94170972804184,181.73033042571348,190.34505080171135,195.3473656282087
2025-11-16T23:00:00Z,168,167.49051722668935,165.95832018492223,219.07890893096135,233.27870513374924,243.91806372437773,225.6939893305736,163.12575393368675,158.19748495386906
2025-11-23T23:00:00Z,168,167.22087348620533,168.36048376711597,205.2309285592375,212.48449403299549,217.89755421103342,205.1613875037403,151.81048654501487,159.35456795265998
2025-11-30T23:00:00Z,168,202.23241060165535,196.05157444088655,187.11378693543205,189.62013397588225,216.6031149679173,184.74891019427392,137.0698161312314,149.51336765950523
2025-12-07T23:00:00Z,168,212.80083030965307,205.27566241627142,199.88889084651123,199.4068315016615,200.7714198215388,177.11945065577416,159.65736790299476,160.90542123372393
2025-12-14T23:00:00Z,168,225.8328503912796,220.64960906151276,230.36325565528742,232.20369412240035,209.14797402465425,218.7335397405301,185.26774967680439,186.61853084188994
2025-12-21T23:00:00Z,168,127.77528880637104,128.34134542575157,120.80238997069989,125.70443215034229,138.23099716847517,138.57136195701028,120.88733046791305,122.34239493619803
2025-12-28T23:00:00Z,168,135.16690449872462,141.28072026682005,150.37562714842142,154.54246186178008,143.03450085915392,163.60853849114184,137.31856731147684,145.29850645851926
2026-01-04T23:00:00Z,168,138.60554505352474,140.4825389889598,145.53573582135218,149.58698002139445,137.8815577730242,154.68752062875512,126.06546689797254,127.19938365429698
2026-01-11T23:00:00Z,168,196.3249902470977,196.76933569334753,190.8077778983305,197.8602147055349,233.17359748380352,227.11271178449428,163.07810744549852,164.3749113321243
2026-01-18T23:00:00Z,168,166.9848700611153,164.32509066089636,207.41004144556015,215.06122191972239,212.72373785738986,228.1381752540077,149.56822323642115,157.2667547779018
2026-01-25T23:00:00Z,168,167.3360115998135,156.87971301316418,184.65816381965007,198.3542154322803,173.44792366598335,187.55453966000215,158.96654009951644,151.19104146233263
2026-02-01T23:00:00Z,168,196.99884730364914,185.5664630671651,225.11807182860005,228.6742485409111,207.23473696946127,151.20039112604917,187.6783580855656,170.0774092365142
2026-02-08T23:00:00Z,168,166.77095566970516,148.06480987060357,189.57475359131388,194.71053741723532,184.1493991787569,151.5623773526501,149.48747343805792,127.69755781184887
2026-02-15T23:00:00Z,168,145.12068291783157,176.95293736484805,191.73289333007574,193.56166617928045,176.0442610164268,160.28281957638814,137.1858684957218,130.86868839313615
2026-02-22T23:00:00Z,168,168.59410074805442,179.56500392121364,184.713491392114,181.97251490485482,256.0406524146341,180.18934385682252,141.92578366908486,147.49837825186023
2026-03-01T23:00:00Z,168,156.32985848550257,168.01998626370474,144.8335156564636,145.84532022956637,139.73912591746506,130.86587122736125,102.9291547717635,111.35177081491825
2026-03-08T23:00:00Z,168,161.99083551991632,157.6515051159289,171.43265132589582,171.44059356599823,168.3912535585233,154.36682480137046,118.2624123337054,125.98265192187498
2026-03-15T23:00:00Z,168,160.0491291372966,160.3543872150339,145.46849691755116,145.60701377075407,114.04176143612163,118.058130699911,114.8252109664249,116.14853548363102
2026-03-22T23:00:00Z,168,129.73557664363165,127.39174651252534,168.01127367382682,165.98258362708162,158.54060206843332,141.22991410491358,110.10659755189742,114.19055794075527
2026-03-29T23:00:00Z,168,106.30086289792283,105.78117548833738,130.1616338090338,131.13403912160769,129.45550801783847,115.81638928765258,85.10369513904391,84.21249468926713
2026-04-05T23:00:00Z,168,97.50239636551608,96.55420620658681,100.26673933253869,99.0030173358329,97.0033213267345,95.97927799135422,67.2306922732515,67.69988388299852
2026-04-12T23:00:00Z,168,111.29897049753237,115.64052838966066,102.60702004114525,103.08698418848925,104.75432481192192,108.67986580306199,84.42049000241808,93.70087332170753
2026-04-19T23:00:00Z,168,96.4227533250162,92.53087172652461,86.67065620718391,91.8499379688919,101.46308003764592,109.70884175419806,68.14749148660715,72.66968129273623
2026-04-26T23:00:00Z,168,113.70082017811616,110.40914732821962,112.11872061281866,113.98299280513262,114.83345608675899,119.56220121230552,93.32657320926339,96.96300794005765
2026-05-03T23:00:00Z,168,93.76208147213613,92.32476976038106,95.83657167080476,97.29419817364149,105.34418461095207,111.19692339463693,66.957355374814,68.54077819549852
2026-05-10T23:00:00Z,168,130.85190987536757,134.75697850517804,124.26960751345294,126.98295051913568,133.7536514168124,139.86186495854204,101.00604387825521,101.21907994112723
2026-05-17T23:00:00Z,168,126.30775245919506,159.84510734359137,83.93808230409574,90.1124190391024,95.41878067309369,94.99803084610997,70.98100777669269,76.43185455040918
