regime,prediction_column,row_count,MAE,RMSE,bias,R2
cold_hours,pred_HGB_no_price,2142,158.83351900403946,209.8459638160442,-73.3714623339272,0.7116214792961606
cold_hours,pred_HGB_with_p0054k_se3_price_forecast,2142,157.77327615118372,204.64580575072836,-55.520870979546764,0.725736909697374
cold_hours,pred_ExtraTrees_no_price,2142,175.75719501006947,227.437940344243,-139.51164091201994,0.6612436097284473
cold_hours,pred_ExtraTrees_with_p0054k_se3_price_forecast,2142,181.47873234090466,236.11333452932504,-149.03111489207146,0.6349076793312286
cold_hours,pred_LightGBM_no_price,2142,179.72572789526924,236.4939690502961,-103.0422799757531,0.6337296115707403
cold_hours,pred_LightGBM_with_p0054k_se3_price_forecast,2142,172.04776046351586,223.54644576251738,-89.38567647579346,0.6727367737613319
cold_hours,pred_XGBoost_no_price,2142,146.02649851218194,193.86934224137835,-100.54718735568402,0.7538612772894994
cold_hours,pred_XGBoost_with_p0054k_se3_price_forecast,2142,142.75800013456305,189.98904771196032,-91.18217831495836,0.763615606247168
very_cold_hours,pred_HGB_no_price,857,167.1546316528515,213.81273605805117,-98.35606886355623,0.3638312253984748
very_cold_hours,pred_HGB_with_p0054k_se3_price_forecast,857,161.1355351636007,202.90872729053947,-63.08688761405458,0.4270632762874492
very_cold_hours,pred_ExtraTrees_no_price,857,189.72157332620006,240.9696675360811,-159.24191708562674,0.19196538908541683
very_cold_hours,pred_ExtraTrees_with_p0054k_se3_price_forecast,857,195.42841192037562,249.36305585736326,-170.0517199373036,0.13469456918186806
very_cold_hours,pred_LightGBM_no_price,857,173.68477523744173,231.35481928174127,-116.13239887743649,0.2551611725528746
very_cold_hours,pred_LightGBM_with_p0054k_se3_price_forecast,857,159.7355233036344,208.34281755622905,-75.81468588973283,0.3959647651659881
very_cold_hours,pred_XGBoost_no_price,857,154.81769699310829,200.52323002663798,-114.26133491689758,0.4404555533843062
very_cold_hours,pred_XGBoost_with_p0054k_se3_price_forecast,857,144.5649691033035,187.65470490394853,-96.41322286176339,0.5099683604617146
weekday,pred_HGB_no_price,6120,145.414997086778,195.90745741118943,-95.59574348369425,0.8597676480629892
weekday,pred_HGB_with_p0054k_se3_price_forecast,6120,143.7396824496903,192.19614736830857,-91.73223745505415,0.8650305005225316
weekday,pred_ExtraTrees_no_price,6120,141.39397276938166,190.35522342000633,-118.0827847234316,0.867603690739445
weekday,pred_ExtraTrees_with_p0054k_se3_price_forecast,6120,144.6741658011595,194.5223447745488,-122.05792769174813,0.8617435907055957
weekday,pred_LightGBM_no_price,6120,143.1095985291819,194.35993058821825,-90.93606367287046,0.8619743655099771
weekday,pred_LightGBM_with_p0054k_se3_price_forecast,6120,139.1763644164846,189.69662407541736,-89.7205426298821,0.8685182469933583
weekday,pred_XGBoost_no_price,6120,107.76377199578125,150.6690691677942,-65.73774718423068,0.9170541824566364
weekday,pred_XGBoost_with_p0054k_se3_price_forecast,6120,108.56278460024397,151.83987981667042,-60.43465290127013,0.9157600725191376
weekend,pred_HGB_no_price,2448,125.39719588126256,165.4388087413576,-20.758084764077676,0.8935451881598613
weekend,pred_HGB_with_p0054k_se3_price_forecast,2448,130.68640003074455,170.67187518072888,-11.451497090686553,0.8867040387674976
weekend,pred_ExtraTrees_no_price,2448,115.25059461761619,153.98014590208587,-41.03652247609896,0.9077810948622042
weekend,pred_ExtraTrees_with_p0054k_se3_price_forecast,2448,115.27956813049714,154.8890049777954,-45.571598792266556,0.9066892483510676
weekend,pred_LightGBM_no_price,2448,121.16765672840364,172.32441001209426,-44.14423091629329,0.8844994349924097
weekend,pred_LightGBM_with_p0054k_se3_price_forecast,2448,117.18067079583332,161.40080964777476,-32.37946411334031,0.8986784263900977
weekend,pred_XGBoost_no_price,2448,110.39694675308621,146.37968307472897,-20.511769058654373,0.9166602653691136
weekend,pred_XGBoost_with_p0054k_se3_price_forecast,2448,112.95990025108195,150.22800050717964,-18.759718197619854,0.9122206658730304
holiday,pred_HGB_no_price,384,111.23438346270551,142.81427704257715,6.380006141587366,0.9050900809856941
holiday,pred_HGB_with_p0054k_se3_price_forecast,384,114.65998355584185,148.66584286896006,4.847991733243076,0.8971532088132462
holiday,pred_ExtraTrees_no_price,384,104.69939523937377,134.00930203826408,-7.643788873496004,0.9164323399339935
holiday,pred_ExtraTrees_with_p0054k_se3_price_forecast,384,105.29258295393345,136.0247197223405,-12.82835878255544,0.9138998256653467
holiday,pred_LightGBM_no_price,384,105.05487513782477,138.39552361499136,-41.794585941728116,0.9108723537147535
holiday,pred_LightGBM_with_p0054k_se3_price_forecast,384,105.8203698594329,138.1469714382498,-37.65563364513934,0.9111922047783013
holiday,pred_XGBoost_no_price,384,95.2487778597819,121.15820489663741,-10.4224695316976,0.9316916159314712
holiday,pred_XGBoost_with_p0054k_se3_price_forecast,384,102.13836674241128,128.94074769956558,-8.28202096144613,0.9226342535879588
