exact_match_count,example_mismatches,feature,max_abs_delta,mean_abs_delta,mismatch_count,rows_compared
0,"[{""delta"": 151.5, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1635.3333333333333, ""static"": 1483.8333333333333}, {""delta"": 151.5, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1635.3333333333333, ""static"": 1483.8333333333333}, {""delta"": 151.5, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1635.3333333333333, ""static"": 1483.8333333333333}]",area_consumption_roll_mean_6h,3929.152777777777,484.57118055555486,432,432
0,"[{""delta"": 261.58333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1628.25, ""static"": 1366.6666666666667}, {""delta"": 261.58333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1628.25, ""static"": 1366.6666666666667}, {""delta"": 261.58333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1628.25, ""static"": 1366.6666666666667}]",area_consumption_roll_mean_12h,2519.520833333333,276.48640046296254,432,432
0,"[{""delta"": 110.70833333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1591.625, ""static"": 1480.9166666666667}, {""delta"": 110.70833333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1591.625, ""static"": 1480.9166666666667}, {""delta"": 110.70833333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1591.625, ""static"": 1480.9166666666667}]",area_consumption_roll_mean_24h,1160.4374999999995,147.4201871141972,432,432
0,"[{""delta"": 152.83333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1516.6458333333333, ""static"": 1363.8125}, {""delta"": 152.83333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1516.6458333333333, ""static"": 1363.8125}, {""delta"": 152.83333333333326, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1516.6458333333333, ""static"": 1363.8125}]",area_consumption_roll_mean_48h,567.479166666667,74.75860821759241,432,432
0,"[{""delta"": 13.815476190476147, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1524.2559523809523, ""static"": 1510.4404761904761}, {""delta"": 13.815476190476147, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1524.2559523809523, ""static"": 1510.4404761904761}, {""delta"": 13.815476190476147, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1524.2559523809523, ""static"": 1510.4404761904761}]",area_consumption_roll_mean_168h,176.64434523809518,22.77072310405638,432,432
192,"[{""delta"": 243.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1365.0, ""static"": 1122.0}, {""delta"": 243.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1365.0, ""static"": 1122.0}, {""delta"": 243.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1365.0, ""static"": 1122.0}]",area_consumption_roll_min_24h,415.75,75.88657407407406,240,432
156,"[{""delta"": -124.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 1791.0, ""static"": 1915.0}, {""delta"": -124.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 1791.0, ""static"": 1915.0}, {""delta"": -124.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 1791.0, ""static"": 1915.0}]",area_consumption_roll_max_24h,4252.0,181.28125,276,432
0,"[{""delta"": -80.64692662838914, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 119.63618895774528, ""static"": 200.28311558613441}, {""delta"": -80.64692662838914, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 119.63618895774528, ""static"": 200.28311558613441}, {""delta"": -80.64692662838914, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 119.63618895774528, ""static"": 200.28311558613441}]",area_consumption_roll_std_24h,1245.1618983397746,145.25577692870087,432,432
0,"[{""delta"": -75.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": -36.0, ""static"": 39.0}, {""delta"": -75.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": -36.0, ""static"": 39.0}, {""delta"": -75.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": -36.0, ""static"": 39.0}]",area_consumption_ramp_1h,5933.25,627.3252314814815,432,432
0,"[{""delta"": 46.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 81.0, ""static"": 35.0}, {""delta"": 46.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 81.0, ""static"": 35.0}, {""delta"": 46.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 81.0, ""static"": 35.0}]",area_consumption_ramp_24h,5021.0,432.9513888888889,432,432
