event,horizon,rows,future_raw_mean,future_residual_mean,residual_lift_vs_non_event,raw_lift_vs_non_event
se3_top4_day,same_hour,2040,0.571434892156863,0.4659214494485292,0.2500518817401952,0.3251048546568629
se3_top4_day,1h,2040,0.5232509718137256,0.43065176905637226,0.20770447631933875,0.2672571214362373
se3_top4_day,3h,2039,0.35028220573810775,0.30918085464688577,0.061879200903504766,0.059625133272918296
se3_top4_day,6h,2036,0.23983744106090385,0.2208650928904712,-0.04416438527926772,-0.07297753565021606
se3_top4_day,12h,2036,0.35223307833988177,0.2996900124631629,0.05023899675231058,0.06167472227630222
se3_top4_day,24h,2036,0.48915505279960764,0.3892817767681725,0.15742754950884036,0.22564356999017704
se3_top4_day,48h,2032,0.4748016744586622,0.38074811054379865,0.14839831034694795,0.20971979650590644
se3_top4_day,72h,2028,0.4706676417652859,0.376911964866864,0.14460603790680437,0.205501076183431
se3_top8_day,same_hour,4080,0.4913133780637247,0.40600469123774535,0.22268971485906858,0.2861987971813723
se3_top8_day,1h,4080,0.46346887683823385,0.38434148177083355,0.19016869075784146,0.24440278479264022
se3_top8_day,3h,4078,0.34245491356056845,0.29904266650318784,0.06213789465614744,0.06278643641876164
se3_top8_day,6h,4075,0.2517064515337431,0.22602909447852787,-0.04745826763692779,-0.07341824174974731
se3_top8_day,12h,4075,0.33261291349693234,0.2852277615030681,0.041112651804184275,0.047672438825032415
se3_top8_day,24h,4072,0.42857180562377156,0.34797927547887997,0.13483068495211137,0.1911795917239684
se3_top8_day,48h,4064,0.41870549643208566,0.34235634584153524,0.12791024088029,0.178005478592519
se3_top8_day,72h,4056,0.4198486470660746,0.34333856746178537,0.13039745127588778,0.1806478531804735
se3_top4_48h,same_hour,1487,0.6078575773369201,0.49747584053463356,0.2731102892814946,0.34984499061693436
se3_top4_48h,1h,1487,0.5784644855413584,0.47404922780766656,0.2464210799514535,0.31636100967640185
se3_top4_48h,3h,1486,0.42410627018842606,0.3654181660497982,0.12270673150882438,0.14058619531166977
se3_top4_48h,6h,1483,0.3107935013486178,0.27639254947741065,0.021294251958574928,0.01152000120909541
se3_top4_48h,12h,1483,0.42544891773432214,0.3678878041975725,0.1252636996024114,0.14182150335554106
se3_top4_48h,24h,1483,0.530343609238031,0.42607958361429515,0.19119858962379846,0.2608973211545501
se3_top4_48h,48h,1482,0.4803705853576251,0.3850073502867748,0.1456260956182402,0.20528938321009904
se3_top4_48h,72h,1482,0.46617094129554554,0.36943655204116105,0.12870525932171467,0.1898806907340625
se3_top8_48h,same_hour,2623,0.5412973818147147,0.44950564644491087,0.24431733024703203,0.3064559000636476
se3_top8_48h,1h,2623,0.5232730842546686,0.43523630856843265,0.22613229337240498,0.2834885623640687
se3_top8_48h,3h,2621,0.40987696966806586,0.353239249427699,0.12169162518165019,0.13907219585358982
se3_top8_48h,6h,2618,0.3119109491978613,0.27783769155844124,0.025646253226493776,0.014301413268159757
se3_top8_48h,12h,2618,0.3991702941176467,0.34675274045072546,0.11316533743303475,0.12513392757238068
se3_top8_48h,24h,2616,0.4804274799311928,0.39131465156727796,0.1695256304735275,0.22817036586869266
se3_top8_48h,48h,2615,0.4429672523900585,0.36091685095602233,0.13218587409740268,0.1819596803424443
se3_top8_48h,72h,2615,0.4301590583173996,0.34973498891013305,0.11887530419067285,0.16653119115525117
se3_bottom4_day,same_hour,2040,0.09988940196078432,0.09554558976715691,-0.1943991498774503,-0.2407497335784317
se3_bottom4_day,1h,2040,0.1093414865196079,0.10536802745098053,-0.1826423923450776,-0.22944237758471664
se3_bottom4_day,3h,2040,0.2075280294117651,0.18444302058823536,-0.08780747127211541,-0.11168243077260362
se3_bottom4_day,6h,2040,0.4019086225490196,0.3293533133578436,0.08601692055325208,0.12149832507010966
se3_bottom4_day,12h,2037,0.28974162616593047,0.24739269207167433,-0.01250669991635514,-0.013301610022864063
se3_bottom4_day,24h,2036,0.14361504420432206,0.13782287862229847,-0.14432312826620752,-0.18900444032416538
se3_bottom4_day,48h,2032,0.1452402559055119,0.1383385992864172,-0.14249310316190913,-0.18575390575787423
se3_bottom4_day,72h,2028,0.15356588017751516,0.14746578235946753,-0.13072938110207097,-0.17502103772189365
se3_bottom8_day,same_hour,4080,0.1283690404411769,0.12088223198529455,-0.2049939740196071,-0.2582177092524509
se3_bottom8_day,1h,4080,0.14528635294117684,0.1357545148897063,-0.1827269934752897,-0.23289049992069413
se3_bottom8_day,3h,4080,0.23801636213235272,0.20524813143382353,-0.07855592045412596,-0.0938752015552789
se3_bottom8_day,6h,4080,0.35974433946078344,0.299244149050246,0.062362150108008885,0.08863331940927388
se3_bottom8_day,12h,4076,0.30376709580471034,0.2573452260794894,-0.0007061080716393442,0.004409560230618059
se3_bottom8_day,24h,4072,0.17369860449410635,0.16367826292362475,-0.1416208338807714,-0.19113020997053198
se3_bottom8_day,48h,4064,0.17825425935039377,0.16599011832554145,-0.1366391003937003,-0.18267137703002054
se3_bottom8_day,72h,4056,0.18163342825443823,0.16930722118466482,-0.1306495681397928,-0.17667497503698232
se3_top4_day_and_cold,same_hour,651,0.6351892665130574,0.5057327411674359,0.26212955426606394,0.3534751108482024
se3_top4_day_and_cold,1h,651,0.5815770276497707,0.4673156706989257,0.2215315366054673,0.29682498955001185
se3_top4_day_and_cold,3h,651,0.39811339093702003,0.34432394047619047,0.09158381081539307,0.10300080462595496
se3_top4_day_and_cold,6h,651,0.2683369623655914,0.2382461384408603,-0.020525657412976517,-0.03415019985490397
se3_top4_day_and_cold,12h,651,0.3408358794162833,0.2987135353302614,0.043197330268501366,0.04225825524767313
se3_top4_day_and_cold,24h,651,0.4829192895545319,0.3656354020737332,0.11359691662193949,0.19203419443996195
se3_top4_day_and_cold,48h,651,0.4576124116743475,0.34568459389400963,0.0935995527363983,0.16646578638191184
se3_top4_day_and_cold,72h,651,0.4415136098310293,0.3269434168586789,0.07452356796139714,0.15012890960527597
se3_top8_day_and_cold,same_hour,1290,0.5480934399224814,0.44404365891472897,0.2084698664489751,0.27674613170330187
