regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
large_forecast_price_ramp,pred_ExtraTrees_no_price,1288,174.47919450556574,251.33969440214736,-122.70557626113697,108.49743128627051,479.52516220564996,565.8761319666772,0.06759438184699398,0.7296681586762725
large_forecast_price_ramp,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,1288,162.99731274304443,236.41107368389407,-106.49424040696577,101.6358093616326,435.58435963325815,543.6826576055997,0.06296495523345313,0.7608278167581821
large_forecast_price_ramp,pred_LightGBM_no_price,1288,182.34238177168413,249.56710818435613,-144.61955490451663,123.57831130932277,452.2714638762984,548.8140466567015,0.07196783786456683,0.7334677714155169
large_forecast_price_ramp,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,1288,169.67879070509792,232.61203241205664,-124.48064971794213,117.57283825546892,415.24693534108354,508.2114844311925,0.06695456242876946,0.7684528771418946
large_forecast_price_ramp,pred_XGBoost_no_price,1288,165.4781208444171,228.77309430494225,-115.31623168682064,112.4800757968751,426.36712966875,507.2651933765626,0.06507432347738518,0.7760325373673727
large_forecast_price_ramp,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1288,163.6845529284317,227.07212765366495,-104.0435047156505,108.35925779296872,393.688576051562,514.6411467523436,0.06438191644656117,0.7793506279902168
forecast_price_spike,pred_HGB_no_price,1431,195.34241189501202,267.2084114149195,-128.8553914549537,136.7882842648628,453.032824175124,589.7671347685082,0.07467584083309092,0.7522433247782756
forecast_price_spike,pred_HGB_with_p0054n_exact_dayahead_advanced_price,1431,189.1960774830839,262.5269952593994,-122.66333828998259,125.16089660546277,449.0513766978852,592.821613129968,0.07212394967374704,0.7608485326364716
forecast_price_spike,pred_ExtraTrees_no_price,1431,223.19747312440455,304.5797473648632,-164.82392784751426,151.4996282097477,557.796482129952,666.8258953955781,0.08453912175147033,0.6780954180971004
forecast_price_spike,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,1431,199.53342587690378,278.18526436027514,-139.4066380093039,131.4977020467693,508.7915117473726,624.4587788079355,0.07521365706942043,0.7314696629312648
forecast_price_spike,pred_LightGBM_no_price,1431,211.50718713838512,285.0957606005617,-153.87219149965495,152.17045790893326,508.89979138929675,604.6267185569877,0.08092545493987074,0.7179626451768207
forecast_price_spike,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,1431,196.53079371535262,264.61043473055236,-135.51881958162934,142.98448656701203,465.19381153397717,576.4817137503217,0.07517137219246098,0.7570376124198501
forecast_price_spike,pred_XGBoost_no_price,1431,199.86661989349668,267.70465507857176,-136.448549840922,143.29446709374952,472.3498237031249,579.5883595078126,0.0766001793676675,0.7513222321739219
forecast_price_spike,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1431,192.76092301377417,262.28808059773326,-124.89135857730071,131.46414645312507,460.6563068906253,573.2447608437499,0.07373858611092418,0.7612836177443677
