cluster_id,mga_count,profiled_mwh
C11,3,5532939.368
C12,5,2439114.556
C13,1,117887.073
C14,0,0.0
C21,2,2447452.997
C22,10,2667301.708
C23,0,0.0
C24,0,0.0
C31,1,1827535.485
C32,8,2239870.97
C33,1,478484.905
C34,0,0.0
C41,0,0.0
C42,119,27311441.401
C43,14,7982322.327
C44,6,282498.981
