area_code,best_week,best_week_MAE_162h,bias_over_period_162h,mean_weekly_MAE_162h,mean_weekly_MAE_168h,mean_weekly_energy_error_percent,median_weekly_MAE_162h,model_id,p90_weekly_MAE_162h,trend_in_error_over_time,weeks,weighted_MAE_percent_of_mean_load,worst_week,worst_week_MAE_162h
SE1,2025-W26,72.5244541521161,7.764847023945142,131.25327435301628,130.1416471407281,4.884586056040546,124.24514289405863,B_weekly_HGB_no_price,179.88198107628665,34.82602123059965,52,10.4532031978439,2026-W13,380.7258948410817
SE2,2025-W28,103.61261566534898,1.2261956865479837,207.75664058517265,205.92163403861912,4.405444022348161,182.8782659055496,B_weekly_HGB_no_price,311.1253777008904,93.9755721888753,52,12.037771392088255,2026-W13,788.2376255978564
SE3,2025-W37,133.9524490713739,-76.8284046686445,282.3645136524908,280.0449768687176,1.5701761915676598,266.4208402700606,B_weekly_HGB_no_price,429.6399119197399,95.97661923255959,52,2.93676333514397,2026-W22,621.7930629984406
FI,2025-W29,147.49014261119433,-256.3926624673366,422.32387456048735,417.2078185076984,3.085209721630635,341.5051507965238,B_weekly_HGB_no_price,742.1790248143785,134.2714179893253,52,4.225441708531526,2026-W12,1332.536861326474
