area_code,cold_MAE_162h,feature_count,forecast_origin_local,forecast_origin_timestamp_utc,forecast_rows_162h,forecast_rows_168h,high_load_MAE_162h,input_data_cutoff_utc,mean_actual_mw_162h,mean_actual_mw_168h,model_id,model_name,p90_absolute_error,p95_absolute_error,ramp_MAE_162h,target_max_utc,target_min_utc,train_rows,training_cutoff_local,weather_protocol,weather_source_package,week_id,week_start_local,weekday_MAE_162h,weekend_MAE_162h,weekly_MAE_162h,weekly_MAE_168h,weekly_RMSE_162h,weekly_RMSE_168h,weekly_bias_162h,weekly_bias_168h,weekly_energy_abs_error_MWh,weekly_energy_error_percent,weekly_energy_signed_error_MWh
SE1,,48,2025-06-02T06:00:00+02:00,2025-06-02T04:00:00Z,161,166,183.5979508293006,2025-06-01T22:00:00Z,1046.44099378882,1044.8493975903614,B_weekly_HGB_no_price,Weekly_HGB_no_price,231.7677550871217,283.81577004769815,128.50272741533303,2025-06-08T21:00:00Z,2025-06-01T22:00:00Z,25914,2025-06-02T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W23,2025-06-02,123.69770543747117,140.51528235998776,128.50272741533303,127.18262302662906,158.78110879196,157.48786934896404,76.36121905807819,75.64939459129171,12557.799502154347,7.240219955694512,12557.799502154347
SE1,,48,2025-06-09T06:00:00+02:00,2025-06-09T04:00:00Z,161,167,260.7700348031296,2025-06-08T22:00:00Z,1034.8260869565217,1037.9281437125749,B_weekly_HGB_no_price,Weekly_HGB_no_price,251.7736597588348,311.04108135748857,112.87622786027022,2025-06-15T21:00:00Z,2025-06-08T22:00:00Z,26080,2025-06-09T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W24,2025-06-09,96.35280191870335,154.18479271418747,112.87622786027022,112.57408731276747,151.5250862695546,150.42270499332483,14.770235369659932,11.627578158419787,1941.805552455975,1.1202681253856572,1941.805552455975
SE1,,48,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,162,168,184.45068225307767,2025-06-15T22:00:00Z,1012.716049382716,1008.0357142857143,B_weekly_HGB_no_price,Weekly_HGB_no_price,208.61703071675572,271.76023126507596,88.25671848089378,2025-06-22T21:00:00Z,2025-06-15T22:00:00Z,26247,2025-06-16T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W25,2025-06-16,86.64090704328106,92.2102996580314,88.25671848089378,88.73673322100524,123.14255682818255,123.19828326180298,7.321238310462773,8.972199274246108,1507.3294780734577,0.8900675985080942,1507.3294780734577
SE1,,48,2025-06-23T06:00:00+02:00,2025-06-23T04:00:00Z,161,167,120.67643699306467,2025-06-22T22:00:00Z,1031.7142857142858,1033.502994011976,B_weekly_HGB_no_price,Weekly_HGB_no_price,153.44289512693967,192.99048376890005,72.5244541521161,2025-06-29T21:00:00Z,2025-06-22T22:00:00Z,26415,2025-06-23T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W26,2025-06-23,79.88115683675588,54.68053700213879,72.5244541521161,74.62143329274171,95.88296902253319,99.43596688025795,19.64697419469646,15.150110729991969,2530.0684919086634,1.4658990653893005,2530.0684919086634
SE1,,48,2025-06-30T06:00:00+02:00,2025-06-30T04:00:00Z,160,166,174.4930891003432,2025-06-29T22:00:00Z,978.56875,973.0120481927711,B_weekly_HGB_no_price,Weekly_HGB_no_price,225.81383145036406,297.88682673698963,110.7230727711797,2025-07-06T21:00:00Z,2025-06-29T22:00:00Z,26582,2025-06-30T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W27,2025-06-30,116.52996242133392,96.33208537731936,110.7230727711797,116.52527554475701,147.48765373010508,155.42906921553626,60.074221290379185,64.22822848703186,10661.885928847245,6.600969495323951,10661.885928847245
SE1,,48,2025-07-07T06:00:00+02:00,2025-07-07T04:00:00Z,162,168,167.85134663206264,2025-07-06T22:00:00Z,1021.0617283950618,1017.2559523809524,B_weekly_HGB_no_price,Weekly_HGB_no_price,175.19762366003405,211.71122140402778,79.75812935780455,2025-07-13T21:00:00Z,2025-07-06T22:00:00Z,26748,2025-07-07T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W28,2025-07-07,76.58010680540175,87.53414198602421,79.75812935780455,80.14102277811395,100.53051951267265,100.69929743003516,-12.64437250907205,-10.173658928817549,1709.174700041418,1.0001080755542266,-1709.174700041418
SE1,,48,2025-07-14T06:00:00+02:00,2025-07-14T04:00:00Z,160,166,157.85795488600857,2025-07-13T22:00:00Z,994.3875,993.9578313253012,B_weekly_HGB_no_price,Weekly_HGB_no_price,203.25910257342352,251.6936690937741,86.88021648223548,2025-07-20T21:00:00Z,2025-07-13T22:00:00Z,26916,2025-07-14T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W29,2025-07-14,89.82674853944998,79.79600111063453,86.88021648223548,85.63591596855626,115.48754059772024,113.90785295504527,27.030425309467415,25.719370313381237,4269.415472021385,2.5875715752537225,4269.415472021385
SE1,,48,2025-07-21T06:00:00+02:00,2025-07-21T04:00:00Z,162,168,178.14042842141788,2025-07-20T22:00:00Z,1036.9135802469136,1036.6130952380952,B_weekly_HGB_no_price,Weekly_HGB_no_price,157.76825030820774,214.79769253362795,75.71215422968987,2025-07-27T21:00:00Z,2025-07-20T22:00:00Z,27082,2025-07-21T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W30,2025-07-21,77.30667941358783,71.81065643930128,75.71215422968987,74.62997703852345,101.181925082772,99.92707433188835,-10.722182982447972,-11.780607630626676,1979.1420819452032,1.1364517470156377,-1979.1420819452032
SE1,,48,2025-07-28T06:00:00+02:00,2025-07-28T04:00:00Z,161,167,159.81207550869948,2025-07-27T22:00:00Z,1028.8136645962734,1028.9281437125749,B_weekly_HGB_no_price,Weekly_HGB_no_price,220.7295989840585,276.3204340864995,90.3756375871523,2025-08-03T21:00:00Z,2025-07-27T22:00:00Z,27250,2025-07-28T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W31,2025-07-28,85.65507828969467,102.17703583079644,90.3756375871523,88.47947644104615,123.2350522842362,121.24178159152092,23.76374678329308,22.517527683141466,3760.4271230847226,2.1884451135620013,3760.4271230847226
SE1,,48,2025-08-04T06:00:00+02:00,2025-08-04T04:00:00Z,162,168,347.810169571113,2025-08-03T22:00:00Z,1081.0925925925926,1074.892857142857,B_weekly_HGB_no_price,Weekly_HGB_no_price,247.55659891492385,328.66421980491526,120.61286355859002,2025-08-10T21:00:00Z,2025-08-03T22:00:00Z,27417,2025-08-04T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W32,2025-08-04,135.9800663340533,83.01226102288223,120.61286355859002,119.50564089242148,159.56611977893576,157.66219863247917,-81.08026638658568,-77.13849652626875,12959.267416413146,7.176389350219371,-12959.267416413146
SE1,,48,2025-08-11T06:00:00+02:00,2025-08-11T04:00:00Z,161,167,289.9316565933504,2025-08-10T22:00:00Z,1083.552795031056,1082.5868263473053,B_weekly_HGB_no_price,Weekly_HGB_no_price,278.56842077661486,323.37619331227665,132.24197412285977,2025-08-17T21:00:00Z,2025-08-10T22:00:00Z,27585,2025-08-11T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W33,2025-08-11,132.41869762639763,131.8133256249169,132.24197412285977,130.15527137271806,163.94321108207373,161.8578087661058,-26.038025487003193,-27.273702400726517,4554.708300921251,2.519308542922945,-4554.708300921251
SE1,,48,2025-08-18T06:00:00+02:00,2025-08-18T04:00:00Z,162,168,256.36910431415663,2025-08-17T22:00:00Z,1131.1296296296296,1125.8869047619048,B_weekly_HGB_no_price,Weekly_HGB_no_price,223.06636834945604,245.53275154597918,108.60018157559998,2025-08-24T21:00:00Z,2025-08-17T22:00:00Z,27752,2025-08-18T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W34,2025-08-18,107.19015767448711,112.0502400570463,108.60018157559998,107.6545992087049,134.78374095804224,133.66643110178717,-76.18285314297565,-72.60572161105405,12197.76123065708,6.448757979506675,-12197.76123065708
SE1,,48,2025-08-25T06:00:00+02:00,2025-08-25T04:00:00Z,162,168,304.6814199184393,2025-08-24T22:00:00Z,1174.8024691358025,1174.3630952380952,B_weekly_HGB_no_price,Weekly_HGB_no_price,208.06213355231037,327.4543782441151,96.83887782950144,2025-08-31T21:00:00Z,2025-08-24T22:00:00Z,27920,2025-08-25T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W35,2025-08-25,108.62512902025136,68.00017810745359,96.83887782950144,97.53336623549443,154.53068545393523,154.08270514584223,-34.649985991459126,-37.565506248810806,6311.00504980018,3.1987982593402604,-6311.00504980018
SE1,,48,2025-09-01T06:00:00+02:00,2025-09-01T04:00:00Z,162,168,316.7124604854696,2025-08-31T22:00:00Z,1228.5185185185185,1234.047619047619,B_weekly_HGB_no_price,Weekly_HGB_no_price,264.0889548072271,332.7364535207935,118.27616461504618,2025-09-07T21:00:00Z,2025-08-31T22:00:00Z,28088,2025-09-01T00:00:00+02:00,actual_weather_proxy,P0056D,2025-W36,2025-09-01,129.11497217148107,91.7556780407906,118.27616461504618,120.91384101550756,153.2471769796553,155.05609678789529,-32.28183324022333,-37.990735761214154,6382.443607883935,3.078546984316002,-6382.443607883935
