area_code,elapsed_seconds,feature_count,forecast_rows,forecast_rows_162h,forecast_rows_168h,model_id,phase,status,timestamp,train_rows,week_id
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:50Z,30598,2025-W51
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:50Z,,2025-W51
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:52Z,30766,2025-W52
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:52Z,,2025-W52
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:55Z,30934,2026-W01
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:55Z,,2026-W01
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:57Z,31102,2026-W02
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:57Z,,2026-W02
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:48:59Z,31270,2026-W03
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:48:59Z,,2026-W03
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:02Z,31438,2026-W04
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:02Z,,2026-W04
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:04Z,31606,2026-W05
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:04Z,,2026-W05
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:06Z,31774,2026-W06
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:06Z,,2026-W06
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:09Z,31942,2026-W07
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:09Z,,2026-W07
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:11Z,32110,2026-W08
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:11Z,,2026-W08
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:14Z,32278,2026-W09
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:14Z,,2026-W09
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:16Z,32446,2026-W10
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:16Z,,2026-W10
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:18Z,32614,2026-W11
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:18Z,,2026-W11
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:21Z,32782,2026-W12
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:21Z,,2026-W12
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:23Z,32950,2026-W13
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:23Z,,2026-W13
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:26Z,33118,2026-W14
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:26Z,,2026-W14
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:28Z,33286,2026-W15
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:28Z,,2026-W15
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:31Z,33454,2026-W16
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:31Z,,2026-W16
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:33Z,33622,2026-W17
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:33Z,,2026-W17
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:35Z,33790,2026-W18
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:35Z,,2026-W18
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:38Z,33958,2026-W19
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:38Z,,2026-W19
SE1,2.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:40Z,34126,2026-W20
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:40Z,,2026-W20
SE1,3.0,48,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:43Z,34294,2026-W21
SE1,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:43Z,,2026-W21
SE1,2.0,48,144,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:45Z,34462,2026-W22
SE1,0.0,,,138,144,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:45Z,,2026-W22
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:49Z,25943,2025-W23
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:49Z,,2025-W23
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:51Z,26110,2025-W24
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:51Z,,2025-W24
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:53Z,26278,2025-W25
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:53Z,,2025-W25
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:55Z,26446,2025-W26
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:55Z,,2025-W26
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:49:57Z,26614,2025-W27
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:49:57Z,,2025-W27
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:00Z,26782,2025-W28
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:00Z,,2025-W28
