regime,start_timestamp_utc,end_timestamp_utc,length_hours,mean_spread,max_abs_spread
spread_spike_positive,2025-01-12T13:00:00+00:00,2025-01-12T20:00:00+00:00,8,1.31322,1.64399
spread_positive,2025-01-12T21:00:00+00:00,2025-01-13T12:00:00+00:00,16,0.37922,0.79582
spread_small_nonzero,2025-01-13T13:00:00+00:00,2025-01-13T18:00:00+00:00,6,0.18913500000000003,0.19972
spread_near_zero,2025-01-13T19:00:00+00:00,2025-01-14T06:00:00+00:00,12,-4.91666666666664e-05,0.02197
spread_small_nonzero,2025-01-14T07:00:00+00:00,2025-01-14T13:00:00+00:00,7,0.1827142857142857,0.18979000000000001
spread_positive,2025-01-14T14:00:00+00:00,2025-01-14T18:00:00+00:00,5,0.223296,0.23961
spread_small_nonzero,2025-01-14T19:00:00+00:00,2025-01-15T01:00:00+00:00,7,0.09600428571428574,0.16587000000000002
spread_positive,2025-01-15T02:00:00+00:00,2025-01-15T04:00:00+00:00,3,0.38734,0.52368
spread_spike_positive,2025-01-15T05:00:00+00:00,2025-01-15T10:00:00+00:00,6,1.8143133333333337,3.45787
spread_positive,2025-01-15T11:00:00+00:00,2025-01-15T20:00:00+00:00,10,0.380402,0.72871
spread_near_zero,2025-01-15T21:00:00+00:00,2025-01-16T04:00:00+00:00,8,0.00298625,0.049389999999999996
spread_positive,2025-01-16T05:00:00+00:00,2025-01-16T20:00:00+00:00,16,0.260965,0.43887
spread_small_nonzero,2025-01-16T21:00:00+00:00,2025-01-16T22:00:00+00:00,2,0.11227000000000001,0.16513
spread_near_zero,2025-01-16T23:00:00+00:00,2025-01-17T04:00:00+00:00,6,0.00015333333333333374,0.0036699999999999997
spread_small_nonzero,2025-01-17T05:00:00+00:00,2025-01-17T05:00:00+00:00,1,0.18502,0.18502
spread_positive,2025-01-17T06:00:00+00:00,2025-01-17T10:00:00+00:00,5,0.24070399999999997,0.27978
spread_small_nonzero,2025-01-17T11:00:00+00:00,2025-01-17T12:00:00+00:00,2,0.200355,0.20053
spread_positive,2025-01-17T13:00:00+00:00,2025-01-17T17:00:00+00:00,5,0.216838,0.2227
spread_small_nonzero,2025-01-17T18:00:00+00:00,2025-01-17T18:00:00+00:00,1,0.13736,0.13736
spread_near_zero,2025-01-17T19:00:00+00:00,2025-01-18T04:00:00+00:00,10,-0.00032000000000000013,0.01943
spread_positive,2025-01-18T05:00:00+00:00,2025-01-18T23:00:00+00:00,19,0.24757157894736845,0.3045
spread_small_nonzero,2025-01-19T00:00:00+00:00,2025-01-19T05:00:00+00:00,6,0.14580166666666666,0.17332
spread_positive,2025-01-19T06:00:00+00:00,2025-01-19T16:00:00+00:00,11,0.31639454545454543,0.7374099999999999
spread_spike_positive,2025-01-19T17:00:00+00:00,2025-01-19T17:00:00+00:00,1,0.84699,0.84699
spread_positive,2025-01-19T18:00:00+00:00,2025-01-20T01:00:00+00:00,8,0.331675,0.76166
spread_small_nonzero,2025-01-20T02:00:00+00:00,2025-01-20T03:00:00+00:00,2,0.149815,0.16327
spread_positive,2025-01-20T04:00:00+00:00,2025-01-20T04:00:00+00:00,1,0.32492000000000004,0.32492000000000004
spread_spike_positive,2025-01-20T05:00:00+00:00,2025-01-20T20:00:00+00:00,16,2.197490625,3.7716499999999997
spread_positive,2025-01-20T21:00:00+00:00,2025-01-21T05:00:00+00:00,9,0.37545777777777783,0.52133
spread_spike_positive,2025-01-21T06:00:00+00:00,2025-01-21T18:00:00+00:00,13,1.302073076923077,1.76365
spread_positive,2025-01-21T19:00:00+00:00,2025-01-21T22:00:00+00:00,4,0.410445,0.58428
spread_small_nonzero,2025-01-21T23:00:00+00:00,2025-01-22T05:00:00+00:00,7,0.0979742857142857,0.18738
spread_positive,2025-01-22T06:00:00+00:00,2025-01-22T08:00:00+00:00,3,0.38870333333333323,0.5007299999999999
spread_near_zero,2025-01-22T09:00:00+00:00,2025-01-23T06:00:00+00:00,22,0.0002549999999999926,0.005499999999999838
