bias_over_period,mean_MAE_0_24h,mean_MAE_0_36h,mean_MAE_24_36h,mean_energy_error_percent,median_MAE_0_36h,monthly_split,origin_count,train_window_name,train_window_variant,weekday_split,weighted_MAE_percent_of_mean_load
-29.89734795030428,257.69778140610697,242.23779235909956,211.31781426508496,8.04336984563,188.73747596862216,"{""1"": {""mean_MAE_0_36h"": 247.57871513752966, ""origin_count"": 6}, ""10"": {""mean_MAE_0_36h"": 198.73405361016103, ""origin_count"": 6}, ""11"": {""mean_MAE_0_36h"": 250.90832891007702, ""origin_count"": 6}, ""12"": {""mean_MAE_0_36h"": 315.27871438514234, ""origin_count"": 6}, ""2"": {""mean_MAE_0_36h"": 273.166904250064, ""origin_count"": 6}, ""3"": {""mean_MAE_0_36h"": 547.7573854091797, ""origin_count"": 6}, ""4"": {""mean_MAE_0_36h"": 199.79510142316997, ""origin_count"": 6}, ""5"": {""mean_MAE_0_36h"": 223.01021929087128, ""origin_count"": 6}, ""6"": {""mean_MAE_0_36h"": 165.74339333461452, ""origin_count"": 6}, ""7"": {""mean_MAE_0_36h"": 152.57226568718326, ""origin_count"": 7}, ""8"": {""mean_MAE_0_36h"": 138.85390705710097, ""origin_count"": 5}, ""9"": {""mean_MAE_0_36h"": 180.9541935790858, ""origin_count"": 5}}",71,rolling_2_years,TW2,"{""0"": {""mean_MAE_0_36h"": 186.77646613622684, ""origin_count"": 10}, ""1"": {""mean_MAE_0_36h"": 274.8485658507036, ""origin_count"": 9}, ""2"": {""mean_MAE_0_36h"": 210.66600158230665, ""origin_count"": 11}, ""3"": {""mean_MAE_0_36h"": 192.50928275065493, ""origin_count"": 10}, ""4"": {""mean_MAE_0_36h"": 226.93790266291825, ""origin_count"": 11}, ""5"": {""mean_MAE_0_36h"": 422.2774336386694, ""origin_count"": 10}, ""6"": {""mean_MAE_0_36h"": 189.59713928867555, ""origin_count"": 10}}",13.70402429545419
-22.222943473671933,236.70798098348058,229.14721647811277,214.02568746737688,7.245669134705563,185.03239447680312,"{""1"": {""mean_MAE_0_36h"": 244.19516540704163, ""origin_count"": 6}, ""10"": {""mean_MAE_0_36h"": 200.08517672032903, ""origin_count"": 6}, ""11"": {""mean_MAE_0_36h"": 243.7544118571087, ""origin_count"": 6}, ""12"": {""mean_MAE_0_36h"": 292.8524233229588, ""origin_count"": 6}, ""2"": {""mean_MAE_0_36h"": 207.66434935926023, ""origin_count"": 6}, ""3"": {""mean_MAE_0_36h"": 543.6198271404077, ""origin_count"": 6}, ""4"": {""mean_MAE_0_36h"": 190.2070107897171, ""origin_count"": 6}, ""5"": {""mean_MAE_0_36h"": 204.06869768589578, ""origin_count"": 6}, ""6"": {""mean_MAE_0_36h"": 162.34834139542426, ""origin_count"": 6}, ""7"": {""mean_MAE_0_36h"": 144.15768752843732, ""origin_count"": 7}, ""8"": {""mean_MAE_0_36h"": 129.53579968207768, ""origin_count"": 5}, ""9"": {""mean_MAE_0_36h"": 175.97942735353882, ""origin_count"": 5}}",71,rolling_3_years,TW3,"{""0"": {""mean_MAE_0_36h"": 167.7126793465428, ""origin_count"": 10}, ""1"": {""mean_MAE_0_36h"": 277.7721677844316, ""origin_count"": 9}, ""2"": {""mean_MAE_0_36h"": 184.7446689428906, ""origin_count"": 11}, ""3"": {""mean_MAE_0_36h"": 196.86788653933846, ""origin_count"": 10}, ""4"": {""mean_MAE_0_36h"": 207.68350661779587, ""origin_count"": 11}, ""5"": {""mean_MAE_0_36h"": 423.80605132082866, ""origin_count"": 10}, ""6"": {""mean_MAE_0_36h"": 156.89267566514692, ""origin_count"": 10}}",12.963456243840705
-23.253387449613186,235.7807024172093,228.54889169194357,214.08527024141205,7.450886891269189,180.07497082325006,"{""1"": {""mean_MAE_0_36h"": 211.98546846134377, ""origin_count"": 6}, ""10"": {""mean_MAE_0_36h"": 202.69263178691725, ""origin_count"": 6}, ""11"": {""mean_MAE_0_36h"": 259.10082188943994, ""origin_count"": 6}, ""12"": {""mean_MAE_0_36h"": 296.6970142588821, ""origin_count"": 6}, ""2"": {""mean_MAE_0_36h"": 219.14440218530686, ""origin_count"": 6}, ""3"": {""mean_MAE_0_36h"": 535.0325955358784, ""origin_count"": 6}, ""4"": {""mean_MAE_0_36h"": 200.19578620163398, ""origin_count"": 6}, ""5"": {""mean_MAE_0_36h"": 188.4241577528544, ""origin_count"": 6}, ""6"": {""mean_MAE_0_36h"": 162.5661853075643, ""origin_count"": 6}, ""7"": {""mean_MAE_0_36h"": 141.43257592529082, ""origin_count"": 7}, ""8"": {""mean_MAE_0_36h"": 136.34790993300436, ""origin_count"": 5}, ""9"": {""mean_MAE_0_36h"": 180.0338697414019, ""origin_count"": 5}}",71,expanding_from_2022_06_01,TWX,"{""0"": {""mean_MAE_0_36h"": 178.8125485395267, ""origin_count"": 10}, ""1"": {""mean_MAE_0_36h"": 267.456537390281, ""origin_count"": 9}, ""2"": {""mean_MAE_0_36h"": 179.50639196299565, ""origin_count"": 11}, ""3"": {""mean_MAE_0_36h"": 209.88000850321515, ""origin_count"": 10}, ""4"": {""mean_MAE_0_36h"": 214.04365020578555, ""origin_count"": 11}, ""5"": {""mean_MAE_0_36h"": 405.9695619142011, ""origin_count"": 10}, ""6"": {""mean_MAE_0_36h"": 154.41908201894412, ""origin_count"": 10}}",12.929607448711
