MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,raw_train_rows,signed_energy_error_MWh_36h,train_end,train_rows,train_start,train_window_name,train_window_variant
89.69528453875142,111.97570535521749,146.0843864524822,115.06880262904595,214.30174864701164,185.2252280932192,1436.6153405808946,SE2,39.90598168280265,2.8361900392491948,2025-06-01T06:00:00+02:00,2025-06-01T04:00:00Z,36,1407.0277777777778,20250601T060000+0200,6,6,323.86278379814746,380.65326587257937,5236,1436.6153405808946,2025-06-01T04:00:00Z,5236,2023-06-01T04:00:00Z,rolling_2_years,TW2
153.3270010591859,153.77874471761447,168.7372045388881,204.29735192514497,198.65412418143538,209.63749758803328,3134.350331585061,SE2,87.0652869884741,6.187886860768486,2025-06-01T06:00:00+02:00,2025-06-01T04:00:00Z,36,1407.0277777777778,20250601T060000+0200,6,6,381.9073457612229,386.79574717353074,7780,3134.350331585061,2025-06-01T04:00:00Z,7780,2022-06-01T04:00:00Z,rolling_3_years,TW3
153.3270010591859,153.77874471761447,168.7372045388881,204.29735192514497,198.65412418143538,209.63749758803328,3134.350331585061,SE2,87.0652869884741,6.187886860768486,2025-06-01T06:00:00+02:00,2025-06-01T04:00:00Z,36,1407.0277777777778,20250601T060000+0200,6,6,381.9073457612229,386.79574717353074,7780,3134.350331585061,2025-06-01T04:00:00Z,7780,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
203.03869931685713,227.11259758868437,211.6450467048647,177.02826951951897,180.70994493722526,242.4924558089861,7523.716084205866,SE2,-208.99211345016298,13.175693193362637,2025-06-06T06:00:00+02:00,2025-06-06T04:00:00Z,36,1586.1944444444443,20250606T060000+0200,6,4,348.75586065670916,411.11602266761037,5236,-7523.716084205866,2025-06-06T04:00:00Z,5236,2023-06-06T04:00:00Z,rolling_2_years,TW2
109.06252712338342,163.26729072799995,157.6201420836987,99.25223097426192,146.3258447950962,189.6892472691883,4926.671191892958,SE2,-136.85197755258187,8.627692401262557,2025-06-06T06:00:00+02:00,2025-06-06T04:00:00Z,36,1586.1944444444443,20250606T060000+0200,6,4,299.64868492954986,339.6245782754949,7816,-4926.671191892958,2025-06-06T04:00:00Z,7816,2022-06-06T04:00:00Z,rolling_3_years,TW3
109.06252712338342,163.26729072799995,157.6201420836987,99.25223097426192,146.3258447950962,189.6892472691883,4926.671191892958,SE2,-136.85197755258187,8.627692401262557,2025-06-06T06:00:00+02:00,2025-06-06T04:00:00Z,36,1586.1944444444443,20250606T060000+0200,6,4,299.64868492954986,339.6245782754949,7816,-4926.671191892958,2025-06-06T04:00:00Z,7816,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
103.02738046567225,114.6722157287619,119.32052340664985,120.41237977909707,128.61713876242578,156.4106271961592,298.4040737538453,SE2,-8.289002048717647,0.5235067345377191,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1583.361111111111,20250611T060000+0200,6,2,274.1067008667419,340.65555550472084,5237,-298.4040737538453,2025-06-11T04:00:00Z,5237,2023-06-11T04:00:00Z,rolling_2_years,TW2
101.67316450675605,111.3413220579821,122.95677781464539,119.58871702104939,146.18768932797192,166.23475416714894,249.70987225382123,SE2,6.936385340383759,0.4380798095714482,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1583.361111111111,20250611T060000+0200,6,2,286.0676591396724,378.5982555920856,7852,249.70987225382123,2025-06-11T04:00:00Z,7852,2022-06-11T04:00:00Z,rolling_3_years,TW3
101.67316450675605,111.3413220579821,122.95677781464539,119.58871702104939,146.18768932797192,166.23475416714894,249.70987225382123,SE2,6.936385340383759,0.4380798095714482,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1583.361111111111,20250611T060000+0200,6,2,286.0676591396724,378.5982555920856,7852,249.70987225382123,2025-06-11T04:00:00Z,7852,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
200.57594616589154,162.2421258461585,161.58932087009026,152.81538033835557,160.2837109179537,202.7089838041625,3430.896459820193,SE2,-95.30267943945039,6.05053692829464,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,36,1575.111111111111,20250616T060000+0200,6,0,307.1419580850104,374.57776344810475,5237,-3430.896459820193,2025-06-16T04:00:00Z,5237,2023-06-16T04:00:00Z,rolling_2_years,TW2
198.1872687878954,158.8674310632629,168.36291085899404,136.7157870457368,187.35387045045618,211.19303449887457,3938.1396331485303,SE2,-109.39276758745854,6.945082592318938,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,36,1575.111111111111,20250616T060000+0200,6,0,317.0028630782581,458.33094496226147,7852,-3938.1396331485303,2025-06-16T04:00:00Z,7852,2022-06-16T04:00:00Z,rolling_3_years,TW3
