forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE_full_36h,pred_HGB_with_p0054n_exact_dayahead_advanced_price_MAE_full_36h,pred_ExtraTrees_no_price_MAE_full_36h,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price_MAE_full_36h,pred_LightGBM_no_price_MAE_full_36h,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price_MAE_full_36h,pred_XGBoost_no_price_MAE_full_36h,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price_MAE_full_36h
2025-06-01T10:00:00Z,36,364.56691643711486,352.55238862628056,357.58127182852274,379.83175600173035,303.5540149046926,387.8889412535307,311.9114990234375,442.43120659722223
2025-06-02T10:00:00Z,36,217.4671301088226,243.14020626027664,235.1517275670575,262.773828016547,274.30409162558107,312.81227712449083,213.95094129774304,292.84532335069446
2025-06-03T10:00:00Z,36,318.0807959482288,439.72555527107454,352.8793073515489,421.90497513793053,365.6730592500427,464.4401700608952,412.45281304253473,555.8638102213541
2025-06-04T10:00:00Z,36,308.257536398856,406.63271201692646,197.52913992836054,244.12034153941062,403.37203620218776,419.36389075717125,287.8730740017361,343.9178059895833
2025-06-05T10:00:00Z,36,336.68220362979145,361.37822388601734,296.73860695974236,388.01960564709145,363.26221527274924,390.0797261940966,382.9309895833333,431.46613226996527
2025-06-06T10:00:00Z,36,274.70963855658323,297.3588303947923,265.09331691820876,306.4223110088219,266.0946520066066,326.22604388892915,280.1033664279514,312.9013943142361
2025-06-07T10:00:00Z,36,271.76262392766625,252.49535795329928,270.1051766857442,250.20697325860127,232.82525560643293,257.41341577933446,238.93756781684027,235.263916015625
2025-06-08T10:00:00Z,36,290.8243929599092,224.81815535991566,222.17591855904445,244.53269699204623,214.77374690515344,213.73396883937662,280.04583062065973,320.2845458984375
2025-06-09T10:00:00Z,36,194.45962965071686,219.05066452891091,208.49434494817575,278.8455005868977,201.53768481131476,229.60450992242755,238.77440049913196,356.6818576388889
2025-06-10T10:00:00Z,36,155.99214943653737,217.14775567343952,187.76000480695734,262.6543100463449,198.45469578220866,203.38324743506303,219.47536892361111,229.997314453125
2025-06-11T10:00:00Z,36,135.62788405346063,244.88096759361815,225.3355852892616,297.85614768023635,329.4371124087442,386.9622301220659,187.23025173611111,257.4963785807292
2025-06-12T10:00:00Z,36,317.70814660770986,360.6875611308569,293.2420674451471,269.2570326540638,302.4526982712691,348.0917522423816,384.95728895399304,430.51109483506946
2025-06-13T10:00:00Z,36,289.19854628250766,233.55359144452737,444.50328614242767,420.7581307705505,333.3062009085726,250.68183336582115,238.52491590711804,259.8560791015625
2025-06-14T10:00:00Z,36,379.76005613562876,427.9036136949832,486.7262061059203,465.9771125650642,491.84107678240656,418.8259949822875,433.49171278211804,426.41163465711804
2025-06-15T10:00:00Z,36,296.5161248929866,324.9259299087889,365.5669384167361,355.08319712637996,323.04501043670876,362.56196965426085,306.0840793185764,417.2860107421875
2025-06-16T10:00:00Z,36,223.3309868007983,275.17861519763545,246.64171713082013,335.70322315745796,225.8802069549341,305.2825184465138,275.5372043185764,456.9350992838542
2025-06-17T10:00:00Z,36,133.54147777166662,232.3973452006891,173.05508275974793,254.4125562662802,162.46059168432845,286.881401750888,228.63202582465277,439.03770616319446
2025-06-18T10:00:00Z,36,239.9559674062903,301.726128923191,260.7845482805083,319.96997905719286,243.513876855663,307.3439177658497,304.5227864583333,406.02845594618054
2025-06-19T10:00:00Z,36,705.9348995547211,714.9774620919591,724.3399311495644,726.1180550073962,702.1719341677968,695.9181180556528,690.5064290364584,664.9780951605903
2025-06-20T10:00:00Z,36,797.2367857873808,783.2085530484062,933.6260717187029,905.5270117291828,865.9198108853766,850.6916482554374,761.522447374132,729.4974365234375
2025-06-21T10:00:00Z,36,533.7038877602192,569.7129936938197,756.7044870747809,755.0461133552476,770.8925366017631,675.0598187063545,655.3421088324653,715.8086886935764
2025-06-22T10:00:00Z,36,297.85494819685346,325.53972674983726,364.48543719783333,456.24252760990544,432.57410890087704,407.18781566421325,346.7025960286458,437.96278211805554
2025-06-23T10:00:00Z,36,180.825179867193,210.01732136596786,233.44069894311846,249.58073069848518,266.8000534125929,263.8552138531332,267.59779188368054,265.72645399305554
2025-06-24T10:00:00Z,36,176.89222519123413,138.19412647008258,202.42384131076784,259.9128783321299,176.46150304344113,162.31077699814665,175.44793023003473,202.28474934895834
2025-06-25T10:00:00Z,36,208.27903343827555,231.87890484724988,180.81707856165744,251.07649283682485,255.1056456277732,282.48500967799123,213.64006890190973,223.40634494357639
2025-06-26T10:00:00Z,36,294.84454329680517,329.11579897693093,330.6147246844826,385.04573517253476,331.17793716821467,374.93948689851993,345.5702853732639,359.1658935546875
2025-06-27T10:00:00Z,36,407.58975274195876,377.9363479489746,382.76385091811727,416.3550808296355,291.92814311334644,322.8775261726121,419.47996690538196,367.75404188368054
2025-06-28T10:00:00Z,36,312.6354097699775,324.70230459588737,437.06971833190255,448.65526639870444,368.75280357528845,379.33534579212744,366.4215087890625,369.15062120225696
2025-06-29T10:00:00Z,36,160.93864474179816,165.13330787950773,186.6780110504904,190.60584641627793,193.52554273041986,189.02024610137445,206.58544921875,197.97428385416666
2025-06-30T10:00:00Z,36,184.69454113777724,205.3475903193167,137.6657959277519,211.8501367280094,199.32440865031413,231.56711611250486,221.3785400390625,358.0609944661458
2025-07-01T10:00:00Z,36,288.7856010615949,350.94994253228145,296.9446210643781,396.95890339258597,327.8514046971511,358.6766172248152,295.96937391493054,432.0542941623264
2025-07-02T10:00:00Z,36,347.07458163364925,356.40376792986916,353.43313268093453,430.1675296216586,393.1880274066165,405.45558612753626,352.6688503689236,363.879150390625
2025-07-03T10:00:00Z,36,314.0232090762299,322.3012727965103,323.48650631124497,280.87045433612064,271.8469762177075,257.11174831526193,354.57158745659723,337.5396321614583
2025-07-04T10:00:00Z,36,228.04617432168854,240.94035474811193,359.4624596592531,356.26437424415485,322.4655430891849,327.8399499497469,245.16901312934027,268.18592664930554
2025-07-05T10:00:00Z,36,277.2088580695386,288.3038528904787,370.0476064918526,389.9328435333781,418.35966247034503,423.9519815363786,385.2894015842014,364.0144449869792
2025-07-06T10:00:00Z,36,411.2732722349813,480.66583199932717,506.2619010907195,432.5063816802801,543.8345506546552,523.1438340087511,424.3711344401042,392.147705078125
2025-07-07T10:00:00Z,36,460.5569316313548,427.5326650515543,396.39813944264785,353.24263527186355,438.5258625243366,402.33694150480113,317.18109809027777,284.2222086588542
2025-07-08T10:00:00Z,36,476.8435308905174,336.03760826940976,430.5796983854625,378.624260352231,399.3526870970592,264.40199363301133,266.16261121961804,237.26349555121527
