regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
morning_ramp,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,1423,686.0587769841444,954.5271090050404,-277.0209474829439,483.8798828125,1617.6035156249998,2201.129296874999,0.06712155274900758,0.8048205147302431
evening_peak,pred_HGB_no_price,3551,761.4256805130411,1014.3444584036961,-490.84679188572534,544.4759324122115,1794.190757908913,2311.8703245053966,0.07162653181690773,0.7810984068048337
evening_peak,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3551,801.9820083368174,1064.1041600464252,-547.3157392288181,560.7259373116995,1952.7094009532211,2382.7315620402887,0.07548670094261858,0.7590947399431149
evening_peak,pred_ExtraTrees_no_price,3551,817.1214857091725,1104.007623848429,-590.3404607801024,561.1462977209758,2018.6557616997234,2483.9527714607966,0.07597558946249938,0.7406882801466137
evening_peak,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3551,775.3863816826286,1061.5804968299142,-522.3676710843123,524.7021851913523,1933.341747858627,2394.3760259647734,0.07192309631430624,0.7602360620677897
evening_peak,pred_LightGBM_no_price,3551,754.1989711778907,988.0322566895006,-506.2638085116602,548.3503582048452,1782.0915733823167,2163.844954536039,0.0710026819873222,0.7923077709265487
evening_peak,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3551,766.934180961557,1002.0620383206643,-506.9574571436994,572.4503440455483,1824.7247832728826,2195.2208729017957,0.07226695212222892,0.786367550418705
evening_peak,pred_XGBoost_no_price,3551,766.4326583932487,1014.5754418524989,-534.2915879678113,551.9208984375,1855.8759765625,2242.2841796875,0.07193636017881129,0.7809987002376773
evening_peak,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3551,788.1734431102153,1049.8690224867576,-542.500920093665,565.099609375,1874.041015625,2369.2080078125,0.07387525433545486,0.7654970859673752
summer_low_load,pred_HGB_no_price,3306,469.3564630957229,591.8580093406188,265.20879103490597,392.01979487730387,997.408983066276,1158.1231303360146,0.061697540826073274,0.5395690185291404
summer_low_load,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3306,471.7840035933443,589.2487585667807,241.15589842325815,405.4167363143479,980.393195089528,1141.2175307383134,0.06199396239481084,0.5436197593782748
summer_low_load,pred_ExtraTrees_no_price,3306,495.3030821123756,629.3606903181111,337.4225792981852,404.55681038868397,1038.2826836242466,1221.2417653816096,0.06546546831762208,0.4793705778608296
summer_low_load,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3306,498.851650786688,618.1300473875564,288.5739254089531,420.37460748356534,1013.8073930737482,1179.490196612804,0.06585080027429596,0.4977855654182737
summer_low_load,pred_LightGBM_no_price,3306,504.51361819737554,625.8445806500978,295.7325392597108,430.99182726138906,1035.351083963495,1205.4609062999305,0.06653829651648388,0.4851716283746059
summer_low_load,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3306,499.6870222971889,620.1816164972951,260.5768039734059,426.94780772201057,1012.7590611632822,1217.8251442453272,0.06575796426199801,0.4944463410924683
summer_low_load,pred_XGBoost_no_price,3306,464.6005605338778,580.7316463004169,210.91074407800212,385.4970703125,955.367431640625,1118.7169189453125,0.06116951629178665,0.5567176222878591
summer_low_load,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3306,468.9532210020607,574.7720574821145,159.23083296704854,405.294677734375,924.023193359375,1086.0968017578125,0.06165353255791239,0.5657690506612694
winter_high_load,pred_HGB_no_price,3240,1131.2130418121942,1365.443531481252,-952.3542127050989,992.4367095698026,2291.160378800886,2543.9145754055644,0.09136083709273152,0.2787079376216577
winter_high_load,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3240,1192.242135846402,1411.4928013412593,-1039.890987077566,1105.2706948149726,2316.0679052412934,2529.5648441532635,0.09715960325096769,0.22923675010036315
winter_high_load,pred_ExtraTrees_no_price,3240,1293.8734505407533,1530.7556177547006,-1155.1399278971048,1191.5918475029912,2483.8939740082483,2721.9201905131863,0.10561707727996686,0.09348417910973594
winter_high_load,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3240,1307.671715456768,1553.461007750168,-1187.9886234846824,1161.2217308077752,2500.392856421355,2797.0608414849016,0.10650583699828267,0.06639240137646463
