forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se3_mw,target_source_table,target_source_column,weather_proxy_label,price_feature_protocol,forecast_se3_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054n_exact_dayahead_advanced_price,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,pred_LightGBM_no_price,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,pred_XGBoost_no_price,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price
2025-03-01T11:00:00Z,2025-03-02T01:00:00Z,15,train_fit,9791.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.36268250533439716,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T02:00:00Z,16,train_fit,9815.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.36356983659898084,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T03:00:00Z,17,train_fit,9673.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.3689283302362455,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T04:00:00Z,18,train_fit,9823.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.4122615369197308,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T05:00:00Z,19,train_fit,9872.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.48084056469343794,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T06:00:00Z,20,train_fit,9972.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5190143992774806,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T07:00:00Z,21,train_fit,10093.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5293826682144834,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T08:00:00Z,22,train_fit,10191.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5333545335404649,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T09:00:00Z,23,train_fit,10221.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5246042650628422,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T10:00:00Z,24,train_fit,9945.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5196956634507459,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T11:00:00Z,25,train_fit,9844.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5008841596897885,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T12:00:00Z,26,train_fit,9733.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.49428302744909675,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T13:00:00Z,27,train_fit,9883.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5016417117716959,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T14:00:00Z,28,train_fit,10300.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5538048193305184,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T15:00:00Z,29,train_fit,10762.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.6515810497769163,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T16:00:00Z,30,train_fit,11323.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.7357433270843617,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T17:00:00Z,31,train_fit,11621.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.7438733348264753,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T18:00:00Z,32,train_fit,11297.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.716404344320446,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T19:00:00Z,33,train_fit,10930.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.6475908527037669,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T20:00:00Z,34,train_fit,10495.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.6036118384924543,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T21:00:00Z,35,train_fit,10022.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.5302239655521361,,,,,,,,
2025-03-01T11:00:00Z,2025-03-02T22:00:00Z,36,train_fit,9597.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.4853443897770375,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T11:00:00Z,1,train_fit,9844.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.20067644223304265,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T12:00:00Z,2,train_fit,9733.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.19726384283261442,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T13:00:00Z,3,train_fit,9883.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.20001507142277344,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T14:00:00Z,4,train_fit,10300.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.23953195706656782,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T15:00:00Z,5,train_fit,10762.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.34742998521305013,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T16:00:00Z,6,train_fit,11323.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.4205599952998311,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T17:00:00Z,7,train_fit,11621.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.4253841220820854,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T18:00:00Z,8,train_fit,11297.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.39016971613203194,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T19:00:00Z,9,train_fit,10930.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.3513277354272797,,,,,,,,
2025-03-02T11:00:00Z,2025-03-02T20:00:00Z,10,train_fit,10495.0,,,weather_actual_as_forecast_proxy,blocked_oof_train_price_before_2025_03,0.3123830922042228,,,,,,,,
