forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area_or_target,predicted_price_or_index,prediction_kind
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T07:00:00Z,31,SE3_consumption,2149.488452025421,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T08:00:00Z,32,SE3_consumption,2167.546315005944,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T09:00:00Z,33,SE3_consumption,2151.3638707562427,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T10:00:00Z,34,SE3_consumption,2116.4243160564265,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T11:00:00Z,35,SE3_consumption,2055.7466173410007,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T12:00:00Z,36,SE3_consumption,2069.1281647973456,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T13:00:00Z,37,SE3_consumption,2072.6026090450287,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T14:00:00Z,38,SE3_consumption,2065.7966591761347,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T15:00:00Z,39,SE3_consumption,2063.2862354653425,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T16:00:00Z,40,SE3_consumption,2044.9248653672862,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T17:00:00Z,41,SE3_consumption,2017.2512380148364,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T18:00:00Z,42,SE3_consumption,2012.980194845943,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T19:00:00Z,43,SE3_consumption,1977.1559204103603,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T20:00:00Z,44,SE3_consumption,1925.7673290993152,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T21:00:00Z,45,SE3_consumption,1853.1265273599558,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T22:00:00Z,46,SE3_consumption,1772.1017448453802,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T23:00:00Z,47,SE3_consumption,1719.4529458350858,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T00:00:00Z,48,SE3_consumption,1691.1455568062468,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T01:00:00Z,49,SE3_consumption,1680.169732804954,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T02:00:00Z,50,SE3_consumption,1689.740684586964,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T03:00:00Z,51,SE3_consumption,1794.6931225452208,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T04:00:00Z,52,SE3_consumption,1909.7732383523455,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T05:00:00Z,53,SE3_consumption,1997.76377465872,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T06:00:00Z,54,SE3_consumption,2064.712949776785,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T07:00:00Z,55,SE3_consumption,2125.6397363276087,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T08:00:00Z,56,SE3_consumption,2146.592670632653,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T09:00:00Z,57,SE3_consumption,2129.0555642680083,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T10:00:00Z,58,SE3_consumption,2084.5107749742538,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T11:00:00Z,59,SE3_consumption,2028.6751132525708,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T12:00:00Z,60,SE3_consumption,2060.759692040044,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T13:00:00Z,61,SE3_consumption,2070.2815026187623,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T14:00:00Z,62,SE3_consumption,2054.5458136698026,LABB_consumption_mw_not_price_or_index_weather_proxy
2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T15:00:00Z,63,SE3_consumption,2047.0255674617936,LABB_consumption_mw_not_price_or_index_weather_proxy
