origin_timestamp_utc,split,model,path_hours,MAE_0_24h,MAE_24_48h,MAE_48_72h,MAE_72_168h,MAE_full_168h,bias_full_168h,peak_hour_error,daily_energy_error_proxy
2025-01-01T05:00:00Z,validate,B1_same_hour_previous_week_path,168,52.62994432291666,48.88174776041668,46.61011304166666,67.24132312760413,59.5838710907738,-59.5838710907738,85.540571,1430.0129061785713
2025-01-01T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,29.12297460460569,46.99873568290107,48.4012064454825,62.1393070147714,53.297163541724956,-52.8777391340437,91.51378715871704,1269.0657392170485
2025-01-02T05:00:00Z,validate,B1_same_hour_previous_week_path,168,48.88174776041668,46.61011304166666,75.2723765,55.71097367708333,56.22973314434524,-56.22973314434524,85.540571,1349.5135954642858
2025-01-02T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,17.934113493493744,19.77258865583126,39.1029719890754,29.465460423961733,27.81021654774961,-27.656085297734165,62.1277077941337,663.74604714562
2025-01-03T05:00:00Z,validate,B1_same_hour_previous_week_path,168,46.61011304166666,75.2723765,66.14753070833332,42.45914213020834,51.12379839583333,-47.78341533035712,85.540571,1217.0360954999999
2025-01-03T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,15.668528453581999,14.49880388703655,17.991311695980027,11.568263258829544,13.490242438845247,-1.2668350045792889,38.311113215591035,199.472961028986
2025-01-04T05:00:00Z,validate,B1_same_hour_previous_week_path,168,75.2723765,66.14753070833332,66.64289772916668,27.060578473958333,45.18644554761903,-40.618731592261874,85.540571,1069.3763015
2025-01-04T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,18.729296509908554,21.32293080294459,8.973185845526912,13.665829315698597,14.812675774453488,-5.313102666781632,41.754032314966935,250.2896705509883
2025-01-05T05:00:00Z,validate,B1_same_hour_previous_week_path,168,66.14753070833332,66.64289772916668,60.90248757291666,12.96203216145833,35.07729209375001,-29.79052400148807,85.540571,813.0998448214285
2025-01-05T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,16.854451286257806,8.730261648261463,8.966280203037059,15.661930942778275,13.885530986952782,1.019562718635014,40.016403830174454,208.63122230896357
2025-01-06T05:00:00Z,validate,B1_same_hour_previous_week_path,168,66.64289772916668,60.90248757291666,29.15097869791668,18.014935317708332,32.679443610119066,-13.289077997023819,85.540571,755.5514812142857
2025-01-06T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,11.215055616497379,10.386817094798815,10.361448032645875,24.326492360647737,18.467041455218997,13.532651541551616,65.06074310768179,369.2540967080407
2025-01-07T05:00:00Z,validate,B1_same_hour_previous_week_path,168,60.90248757291666,29.15097869791668,13.140204520833331,28.086484148437496,30.79137248363095,3.8636787991071384,85.540571,710.2377741785713
2025-01-07T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,8.867280639260978,8.526148662979038,20.81474196231062,30.564752936484037,22.9238832872124,14.633294261789715,82.33697180811407,456.0200795364227
2025-01-08T05:00:00Z,validate,B1_same_hour_previous_week_path,168,29.15097869791668,13.140204520833331,5.048643104166658,43.633381044270834,31.69619292857143,22.169209979166666,97.0275494999999,731.9534648571428
2025-01-08T05:00:00Z,validate,B4_recent_24h_adjusted_path,168,10.296697898097271,25.379166106977284,21.41962377481171,45.90247068212543,34.38648150119829,30.6147698659564,101.27597701121783,780.290538708041
