origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,target_model_cet_date,target_model_cet_hour,target_model_cet_weekday,is_weekend,is_holiday,is_bridge_day,is_holiday_period,is_major_social_holiday,consumption_se1_lag_1h,consumption_se1_lag_2h,consumption_se1_lag_3h,consumption_se1_lag_6h,consumption_se1_lag_12h,consumption_se1_lag_24h,consumption_se1_lag_48h,consumption_se1_lag_72h,consumption_se1_lag_168h,consumption_se1_roll_mean_6h,consumption_se1_roll_mean_12h,consumption_se1_roll_mean_24h,consumption_se1_roll_mean_48h,consumption_se1_roll_mean_168h,consumption_se1_roll_min_24h,consumption_se1_roll_max_24h,consumption_se1_roll_std_24h,weather_normal_temperature_se1,weather_normal_wind_100m_se1,weather_normal_solar_se1,pred_B0_same_hour_previous_day,pred_B1_same_hour_previous_week,pred_B2_calendar_hour_weekday_profile,pred_B3_seasonal_hour_weekday_profile,pred_B4_recent_24h_mean_adjusted_by_hour_profile
2022-06-05T23:00:00Z,2022-06-06T00:00:00Z,1,train,1015.826073,2022-06-06,1,0,0,1,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.22452986725663,17.16823230088499,3.7130309734513114,1008.889595,1005.435566,630.5512289967795,450.1392354221315,1021.5450055600335
2022-06-05T23:00:00Z,2022-06-06T02:00:00Z,3,train,1022.745969,2022-06-06,3,0,0,1,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,10.853836464088413,16.617477348066245,34.964353591160176,1031.048606,1000.560087,631.6352080369221,455.1989708902443,1022.6289846001761
2022-06-05T23:00:00Z,2022-06-06T05:00:00Z,6,train,1048.909741,2022-06-06,6,0,0,1,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,12.878972406181006,14.339149006622527,217.7716997792492,1042.971141,1110.776998,685.7607049194283,507.7833257217747,1076.7544814826824
2022-06-05T23:00:00Z,2022-06-06T11:00:00Z,12,train,1084.036344,2022-06-06,12,0,0,1,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,16.630164277839018,15.958022050716691,518.5229768467462,1071.69538,1058.18954,690.4129265404233,525.5129928120002,1081.4067031036773
2022-06-05T23:00:00Z,2022-06-06T23:00:00Z,24,train,1000.030724,2022-06-07,0,1,0,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1036.269416,910.546136,633.1611649866477,470.47930484325457,1024.1549415499017
2022-06-05T23:00:00Z,2022-06-07T23:00:00Z,48,train,1015.910816,2022-06-08,0,2,0,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1000.030724,965.110296,634.6716670277077,472.38350228149665,1025.6654435909618
2022-06-05T23:00:00Z,2022-06-08T23:00:00Z,72,train,1033.932147,2022-06-09,0,3,0,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1015.910816,994.288553,638.114974875845,468.3285655485614,1029.1087514390988
2022-06-05T23:00:00Z,2022-06-09T23:00:00Z,96,train,1060.862605,2022-06-10,0,4,0,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1033.932147,1012.314508,639.3268823769589,425.71079366472816,1030.320658940213
2022-06-05T23:00:00Z,2022-06-10T23:00:00Z,120,train,1047.2865,2022-06-11,0,5,1,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1060.862605,1005.994468,635.2590607454171,419.7805874076924,1026.2528373086711
2022-06-05T23:00:00Z,2022-06-11T23:00:00Z,144,train,1019.466356,2022-06-12,0,6,1,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1047.2865,999.534282,634.7792120500703,420.78752455725197,1025.7729886133243
