model,count,mean,std,min,max,baseline,delta_vs_baseline,relative_change_percent
HGB_no_price,10,5.6986223739850885,0.13956284522356466,5.438597934201218,5.928710974208695,5.301490849931037,0.3971315240540516,7.490940478737554
LightGBM_no_price,10,6.117354744573401,0.1365448763469019,5.88256483003372,6.33112143755643,6.009106084523393,0.1082486600500081,1.8014103683209275
LightGBM_with_p0054n_exact_dayahead_advanced_price,10,6.296152759096446,0.11486138258666624,6.062373485949357,6.4799607004825,5.902806048069984,0.3933467110264619,6.663724130916902
XGBoost_no_price,10,6.023101275480557,0.09666147346253594,5.785981742669807,6.191828937296948,5.559000857651169,0.46410041782938816,8.348630081440271
