family,hourly_MAE_delivery_day,MAE_full_36h,absolute_daily_energy_error_MWh,price_family_delta_vs_P0_MW,price_family_delta_vs_P0_percent,full36_delta_vs_P0_percent,daily_energy_delta_vs_P0_percent
P0_no_price,252.4272878651775,242.5642604364506,4346.592563127953,0.0,0.0,0.0,0.0
P1_raw_stitched_price,256.04663510449984,245.8432114827116,4450.251808611489,3.6193472393223374,1.4338177421037959,1.3517865494121513,2.3848392500110194
P2_path_shape,259.8673575592203,249.25563397851124,4510.855117402093,7.440069694042791,2.9474110176299813,2.7585982906223334,3.7791109216809358
P3_price_regime,261.73453716369204,250.44625381057784,4559.44383531666,9.307249298514535,3.6871010964098208,3.249445470633229,4.896968581649887
P4_spike_ramp,260.8616538352744,250.2574934606802,4552.415521448939,8.434365970096906,3.341305150258452,3.1716267723806464,4.735271487532036
