area,rows,first_timestamp_utc,last_timestamp_utc,train_fit_rows,train_fit_missing_hours,holdout_rows,holdout_missing_hours
SE1,35001,2022-06-01T00:00:00Z,2026-06-05T10:00:00Z,26178,126,8823,45
SE2,35026,2022-06-01T00:00:00Z,2026-06-05T10:00:00Z,26203,101,8823,45
SE3,35125,2022-06-01T00:00:00Z,2026-06-05T10:00:00Z,26266,38,8859,9
SE4,35023,2022-06-01T00:00:00Z,2026-06-05T10:00:00Z,26178,126,8845,23
