component_id,status,holdout_rows,mean_actual_mw,DayAhead_MAE,full_36h_MAE,holdout_MAE,holdout_RMSE,holdout_bias,p90_abs_error,p95_abs_error,MAE_percent_of_component_mean
C11,full_model,13188,237.34111806983563,6.657354857298513,6.706161165692389,6.647658519182148,9.27526358190752,0.3371239956327174,14.905730858538558,19.68722858658881,2.8008878416196428
C12,full_model,13188,91.55129514247814,10.792571297298037,11.061517315008397,10.871429355281629,14.462716214231698,6.313882608940833,24.82277552970929,28.483596284281354,11.874686576921492
C13,full_model,13188,3.0627128371246743,2.270126411855717,2.369057560366637,2.3090694237531615,3.2105357266783856,2.109219284317147,5.2617657886511235,5.614303298953045,75.39294561879181
C14,zero_forecast,13188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C21,full_model,13188,52.826988444570986,58.879596949601584,61.332214752649605,59.68754365514299,77.07582716204362,57.68355979219805,114.85120977791264,121.25500623586184,112.98683762329264
C22,full_model,13188,112.84003078404633,6.605359517308475,6.619530939923778,6.555789594524902,8.117726726537935,-5.755983826868152,12.91631361435304,15.71703335232148,5.809808406620693
C23,zero_forecast,13188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C24,zero_forecast,13188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C31,full_model,13188,77.03671893812523,7.0604018589090245,6.9391100132808505,6.847304846671772,10.063996865561046,-4.857732806050066,15.122359836606517,19.089161664886564,8.888365108295211
C32,full_model,13188,91.18395585577777,7.395262186699296,7.635674311181919,7.581569714912412,9.365230581029346,-6.9951963579748515,15.309601898348994,18.40860898030479,8.31458741152215
C33,full_model,13188,20.297541488095302,1.3664898864037038,1.428321263551482,1.4286758237292385,1.6977394777332044,-1.284368548266554,2.658522332532217,3.1585186545073283,7.03866438488213
C34,zero_forecast,13188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C41,zero_forecast,13188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C42,full_model,13188,1059.8859324281198,57.116516601875574,55.99939655693424,55.59571766241071,76.51142968650773,1.7230808890639617,107.00122290389072,145.76322345817343,5.245443491739254
C43,full_model,13188,311.2155807256599,30.387952354770366,31.08052321492335,30.487200561967768,40.364424348260144,18.29699641717174,68.86187762798282,78.04318029783336,9.796167817459816
C44,full_model,13188,11.866504626706103,0.5250980953866721,0.5203120945736037,0.5157318119585119,0.7102889113084588,0.035144523613622455,1.0723350432547538,1.465735802877154,4.346113941571591
forecast_residual_metered_non_profiled,full_model,13188,7623.7281639816965,287.9831275491674,286.4433126364816,283.848225647106,382.1847976692195,-101.95370452334598,610.6009003194073,755.3860545583914,3.723220707004572
