MAE,absolute_daily_energy_error_MWh,bias_mw,count,daily_energy_error_percent,mean_actual_load_mw,mean_temperature_2m,p90_absolute_error_mw,slice,slice_type
229.77914507309094,3890.896393505314,-30.031669546531926,34,8.162310808708536,1782.8490604575168,4.047870710784314,,Friday,weekday
217.00949062017207,3310.3158366995212,19.405785294561866,33,8.299816366877707,1798.0703914141413,2.9136369949494947,,Monday,weekday
315.61303173687025,5489.259159473939,-112.95802475415684,36,8.74655106333818,1826.812210648148,3.81709837962963,,Saturday,weekday
228.1287281578383,3713.54752224412,10.605009006638053,33,9.461997011774251,1709.3913089225587,3.308594065656565,,Sunday,weekday
208.97933896852513,3181.1997230221446,34.169966310432585,37,7.977402156536736,1729.2695195195197,4.957212274774776,,Thursday,weekday
193.08046986119035,2732.6546614687586,3.905106330626805,33,6.832212061584786,1812.956544612795,3.1022386363636354,,Tuesday,weekday
231.71357146275957,4018.9232546213275,-26.492696131992776,34,9.266168703510381,1842.598141339869,3.106176470588236,,Wednesday,weekday
213.17107716902788,2491.912117049768,25.002950151645134,30,6.825028656461494,1599.6943287037034,4.254971527777777,,April,month
169.58438105050027,4070.0251452120065,-169.58438105050027,1,11.740344261724426,1444.4583333333333,11.964374999999999,,August,month
320.17546298955097,6222.696762962787,-19.2159519411034,24,12.690057402622346,2010.6828703703704,0.4034001736111111,,December,month
257.79951835943433,3898.1966866603148,-22.32073647951895,28,7.072323535200882,2208.331349206349,-9.854028273809522,,February,month
245.9494934370623,5019.971463843064,-27.98484026060022,31,9.536748408163925,2273.080757168459,-7.706896505376344,,January,month
127.70761004306254,1947.2704045276907,-49.53607277428386,23,5.5928810520107355,1452.710144927536,18.481032608695656,,July,month
145.58341779311465,1666.2659261749566,-21.874791072168545,19,4.732350987554182,1455.5482456140353,13.504328947368421,,June,month
341.3950702454978,5748.302002898474,-113.33532186029079,31,8.542337210023142,1995.2932347670258,1.9420483870967742,,March,month
199.75374228119443,3071.6821512471656,43.074814591808675,30,10.877954121462201,1367.55150462963,9.391609027777777,,May,month
227.6956086763948,3970.9467188094977,165.45611328372908,7,10.659821348266663,1578.065476190476,3.130050595238095,,November,month
211.93871020477098,3500.1667896035106,145.84028290014626,5,11.447989524177112,1466.4416666666666,7.036762499999999,,October,month
165.61299330246788,1925.8535564497795,-31.173401880253014,11,5.266664780451413,1479.064393939394,14.237910984848485,,September,month
194.57851035155502,2890.515221766592,67.1515994262631,23,8.251826506248596,1506.4510869565215,9.291790760869567,,autumn,season
252.42848089139667,3792.3647267995675,-16.165516872147265,91,8.746175130202507,1657.92818986569,5.160449633699634,,spring,season
136.58010116535152,1872.4720243412344,-40.105467098377474,43,5.355611098174436,1453.7722868217058,16.130473837209305,,summer,season
271.4100231609917,4989.317408635311,-23.538476097489376,83,9.617176353031837,2175.363495649263,-6.08608408634538,,winter,season
176.1616829819643,2356.2150369870933,-0.22025932990702737,114,7.186965553896291,1471.9236111111113,11.049340460526322,,summer_half,half_year
283.84001517247117,5060.382285605297,-28.410272113284112,126,9.483307840246917,2069.745453042328,-3.0781532738095225,,winter_half,half_year
