MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,model_name,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,signed_energy_error_MWh_36h,train_rows,weather_protocol,weather_source_package
84.40969990557375,79.35391524510034,128.16920442754963,94.62079194644305,225.79978279244827,179.24312744101098,1543.1772198015606,SE1,42.86603388337644,4.185795480515259,2025-06-11T06:00:00+02:00,2025-06-11T04:00:00Z,36,1024.0833333333333,P0056H2_HGB_no_price_static_style_lags,20250611T060000+0200,6,2,288.3211069907459,350.9461597833492,1543.1772198015606,7726,actual_weather_proxy_LABB,P0056D
92.55205068645164,75.96176195226715,87.73231146924088,89.08311500849051,111.2734105031884,125.22154942626615,1970.344100036673,SE1,54.731780556574435,5.512994124333164,2025-06-16T06:00:00+02:00,2025-06-16T04:00:00Z,36,992.7777777777778,P0056H2_HGB_no_price_static_style_lags,20250616T060000+0200,6,0,246.07375909494147,297.3070710650119,1970.344100036673,7762,actual_weather_proxy_LABB,P0056D
100.36594039641625,86.95475513227625,82.62367590204884,143.18282256891263,73.96151744159401,103.1843183990121,1467.841607117116,SE1,-40.773377975475285,3.8663021391205477,2025-06-21T06:00:00+02:00,2025-06-21T04:00:00Z,36,1054.5833333333333,P0056H2_HGB_no_price_static_style_lags,20250621T060000+0200,6,5,169.78336249956027,206.4257957455601,-1467.841607117116,7798,actual_weather_proxy_LABB,P0056D
72.62275297121566,77.65354273405929,74.89303788405489,88.45435562567052,69.37202818404613,96.61269492736292,560.7001537597971,SE1,15.57500427110576,1.5371334094355267,2025-06-26T06:00:00+02:00,2025-06-26T04:00:00Z,36,1013.25,P0056H2_HGB_no_price_static_style_lags,20250626T060000+0200,6,3,150.07254349542018,177.46561422453667,560.7001537597971,7834,actual_weather_proxy_LABB,P0056D
85.04889319607005,69.03989114484371,76.77678511190952,108.124273608105,92.25057304604115,89.63171581774334,1033.6901803609144,SE1,-28.713616121136575,2.822208153441217,2025-07-11T06:00:00+02:00,2025-07-11T04:00:00Z,36,1017.4166666666666,P0056H2_HGB_no_price_static_style_lags,20250711T060000+0200,7,4,140.8206344110991,150.24963044254056,-1033.6901803609144,7940,actual_weather_proxy_LABB,P0056D
102.3379462824194,89.47340824873505,76.58697379975453,73.18548704330256,50.81410490179346,97.50328183495228,1587.2729306383626,SE1,44.09091473995468,4.344883747504551,2025-07-21T06:00:00+02:00,2025-07-21T04:00:00Z,36,1014.7777777777778,P0056H2_HGB_no_price_static_style_lags,20250721T060000+0200,7,0,153.52815770486393,199.09899337405966,1587.2729306383626,8011,actual_weather_proxy_LABB,P0056D
47.857717623377056,58.09332128711205,63.34604673051412,22.716627726296924,73.85149761731827,82.09174277550197,1165.305726005041,SE1,-32.36960350013986,3.0639332316804904,2025-07-26T06:00:00+02:00,2025-07-26T04:00:00Z,36,1056.4722222222222,P0056H2_HGB_no_price_static_style_lags,20250726T060000+0200,7,5,115.3091719096202,184.5985757088957,-1165.305726005041,8047,actual_weather_proxy_LABB,P0056D
72.26014571050527,101.64196216978694,89.83176099541328,93.94802364436204,66.21135864666599,116.62911948707894,930.9545550758849,SE1,-25.859848752107915,2.515073767596609,2025-07-31T06:00:00+02:00,2025-07-31T04:00:00Z,36,1028.1944444444443,P0056H2_HGB_no_price_static_style_lags,20250731T060000+0200,7,3,181.6153646527481,207.62213546821644,-930.9545550758849,8083,actual_weather_proxy_LABB,P0056D
186.47873623401225,177.7226295913093,204.392915651804,170.2630099799259,257.73348777279335,227.2294026871157,7346.227815414437,SE1,204.06188376151226,20.730388620409283,2025-08-05T06:00:00+02:00,2025-08-05T04:00:00Z,36,984.3611111111111,P0056H2_HGB_no_price_static_style_lags,20250805T060000+0200,8,1,320.8989733755931,365.42290152834084,7346.227815414437,8119,actual_weather_proxy_LABB,P0056D
49.01259941593397,67.82249837060091,99.80957202551663,64.3094545460525,163.78371933534805,134.38484067300223,2427.2871717856033,SE1,-67.42464366071144,6.0974858615996865,2025-08-10T06:00:00+02:00,2025-08-10T04:00:00Z,36,1105.7777777777778,P0056H2_HGB_no_price_static_style_lags,20250810T060000+0200,8,6,210.4134695162556,268.72101005620027,-2427.2871717856033,8155,actual_weather_proxy_LABB,P0056D
107.85964748444586,142.8359658877043,142.83371631824784,133.46058004649117,142.82921717933485,174.74074006326344,1711.6466775140507,SE1,-47.545741042057216,4.3636626577796065,2025-08-15T06:00:00+02:00,2025-08-15T04:00:00Z,36,1089.5833333333333,P0056H2_HGB_no_price_static_style_lags,20250815T060000+0200,8,4,252.37037069350708,330.5471976452219,-1711.6466775140507,8191,actual_weather_proxy_LABB,P0056D
162.50182259624418,105.47709378703628,100.99180582883469,188.1413634646375,92.02122991243151,135.5114191630367,2973.0976174372336,SE1,-82.58604492881233,7.187819107504856,2025-08-20T06:00:00+02:00,2025-08-20T04:00:00Z,36,1148.9722222222222,P0056H2_HGB_no_price_static_style_lags,20250820T060000+0200,8,2,228.14717482318713,258.102787571859,-2973.0976174372336,8227,actual_weather_proxy_LABB,P0056D
