area_code,mean_MAE_0_24h,mean_MAE_0_36h,mean_MAE_24_36h,median_MAE_0_36h,origin_count,weighted_MAE_percent_of_mean_load
SE1,145.02599932935345,142.00951833354023,135.97655634191372,119.15783752871185,67,11.037625077588904
SE2,235.7807024172093,228.54889169194357,214.08527024141205,180.07497082325006,71,12.929607448711
SE3,277.5376223784418,282.42403189303457,292.19685092222016,239.02675815228454,71,2.8952970750628264
FI,312.6096457304296,340.79846445863944,397.176101915059,251.5517915697664,73,3.3820517269911345
