date,MAE,hours
2026-01-18,99.88227570833334,24
2026-01-17,98.8659732604167,24
2026-01-16,89.29973579166665,24
2026-01-03,88.70966342708334,24
2026-01-15,82.03272269791667,24
2026-01-04,78.45069997916666,24
2026-01-02,76.99906627083332,24
2026-01-19,72.79576546874999,24
2026-01-01,70.86007863541668,24
2026-01-05,69.177211125,24
2026-01-20,67.56278675,24
2026-01-06,65.1193101875,24
2026-03-18,63.71139609374999,24
2026-01-24,62.99360713541665,24
2026-01-21,62.296692447916676,24
2026-03-26,59.597730895833315,24
2026-01-07,57.54526148958333,24
2026-01-08,53.162135802083334,24
2026-03-19,50.26667476041664,24
2026-03-23,48.513294572916685,24
