component_id,status,holdout_rows,mean_actual_mw,DayAhead_MAE,full_36h_MAE,holdout_MAE,holdout_RMSE,holdout_bias,p90_abs_error,p95_abs_error,MAE_percent_of_component_mean
C11,full_model,13270,237.13143879886908,7.576528033712056,7.64048404853469,7.637140019190852,10.530114056166832,4.707099462173164,16.650472541804717,22.18900779203676,3.2206358034493037
C12,full_model,13270,91.46390720067818,14.997713933282613,15.182982044630306,15.161647911045954,21.592937482617756,14.225741768524294,37.187325504052495,43.09772400601012,16.57664577764018
C13,full_model,13270,3.074687735418251,2.4193941752955754,2.506847150692221,2.5028802759440127,3.5262313754942,2.4569909968563746,5.778189885663729,6.182780742944777,81.40274692329187
C14,zero_forecast,13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C21,full_model,13270,53.19810554287885,61.79053252762144,63.80140130283436,63.70371959940759,82.4236947233409,63.004768396192695,122.31319667590208,129.25612822711892,119.74809807477259
C22,full_model,13270,112.65093198206505,4.523902543539901,4.374953094452035,4.3765306268154145,6.304425613707287,2.24612576339741,10.36324276200996,13.849544839767283,3.8850372116869787
C23,zero_forecast,13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C24,zero_forecast,13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C31,full_model,13270,76.92465336427996,4.623026587816378,4.345445313415928,4.340310224530228,7.598851407451474,-0.1292075392957916,9.038322269853444,12.605970411910109,5.642287660337583
C32,full_model,13270,91.0041438001504,4.508512886119495,4.292973083192412,4.28898684414819,6.683361646520379,2.5934604429252954,9.786436909033606,14.189523570284083,4.712957745712126
C33,full_model,13270,20.26899770828942,0.8466377683915903,0.8208144571722208,0.8204865896771618,1.165735262896176,0.33894058098902674,1.8204448465726788,2.352589082662405,4.047987973976666
C34,zero_forecast,13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C41,zero_forecast,13270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C42,full_model,13270,1058.1176434240426,91.27241253834964,92.22838627101073,92.12961857255532,121.42392952453578,85.91674398410538,190.6137321265205,227.42539953827043,8.706935296384072
C43,full_model,13270,311.03293338553135,36.27975861139018,37.082447144293354,37.034072187296964,51.718377780538695,34.517264519991244,91.35491278061488,100.42489280923758,11.906800924322864
C44,full_model,13270,11.853267129389614,0.6551238676295058,0.650486632868351,0.649721928315132,0.9361600254787024,0.5347048859163032,1.5712777121464512,2.031432782591504,5.481374217106583
forecast_residual_metered_non_profiled,full_model,13188,7623.7281639816965,384.28432930388993,387.9215204162414,382.2036746036363,508.5606198567129,-292.6753277522104,882.0839292073165,1054.2859530710448,5.01334342440694
