component_id,holdout_rows,MAE,status,share_of_component_mae_sum
C11,13270,7.637140019190852,full_model,0.012421167856344222
C12,13270,15.161647911045954,full_model,0.02465914900193822
C13,13270,2.5028802759440127,full_model,0.004070724898811997
C14,13270,0.0,zero_forecast,0.0
C21,13270,63.70371959940759,full_model,0.10360875828247049
C22,13270,4.3765306268154145,full_model,0.007118060086302467
C23,13270,0.0,zero_forecast,0.0
C24,13270,0.0,zero_forecast,0.0
C31,13270,4.340310224530228,full_model,0.0070591506391169895
C32,13270,4.28898684414819,full_model,0.006975677464462816
C33,13270,0.8204865896771618,full_model,0.0013344526391620647
C34,13270,0.0,zero_forecast,0.0
C41,13270,0.0,zero_forecast,0.0
C42,13270,92.12961857255532,full_model,0.14984109941091814
C43,13270,37.034072187296964,full_model,0.06023281305390049
C44,13270,0.649721928315132,full_model,0.0010567182363123602
forecast_residual_metered_non_profiled,13188,382.2036746036363,full_model,0.6216222284302596
