forecast_origin_timestamp_utc,row_count,pred_HGB_G4_calendar_load_lags_rollups_weather_proxy_MAE,pred_MLP_G4_calendar_load_lags_rollups_weather_proxy_MAE
2025-06-01T00:00:00Z,168,14.372835621948706,32.498349057702605
2025-06-08T00:00:00Z,168,21.383704925469885,22.253662158134432
2025-06-15T00:00:00Z,168,18.677056280433447,17.909479232403307
2025-06-22T00:00:00Z,168,21.573217451647583,21.98128752577109
2025-06-29T00:00:00Z,168,11.473604016465393,14.382798506384612
2025-07-06T00:00:00Z,168,13.94760882167589,20.254320624956332
2025-07-13T00:00:00Z,168,15.681218565998485,30.17127913299467
2025-07-20T00:00:00Z,168,14.534375437767597,20.834479351157995
2025-07-27T00:00:00Z,168,12.282396599367996,16.69418849991811
2025-08-03T00:00:00Z,168,17.197166121921278,15.852131053276898
2025-08-10T00:00:00Z,168,16.412271556350863,16.3144853004455
2025-08-17T00:00:00Z,168,10.745333673916218,15.227312517826524
2025-08-24T00:00:00Z,168,11.600602833554353,16.210372899413514
2025-08-31T00:00:00Z,168,14.702241254532602,14.978821357827494
2025-09-07T00:00:00Z,168,11.330327995539735,14.28246913908495
2025-09-14T00:00:00Z,168,15.66146000380713,13.813473582737924
2025-09-21T00:00:00Z,168,17.066213125151005,14.559046227184426
2025-09-28T00:00:00Z,168,26.0421981809558,17.59395398756239
2025-10-05T00:00:00Z,168,20.962095473682535,19.448117593307195
2025-10-12T00:00:00Z,168,24.53202696404384,13.889940990685878
2025-10-19T00:00:00Z,168,19.958480382823517,29.254508305231905
2025-10-26T00:00:00Z,168,42.52064275956053,22.621052289541105
2025-11-02T00:00:00Z,168,37.81888683115866,22.737144489135787
2025-11-09T00:00:00Z,168,56.141806967435365,19.243871850946846
2025-11-16T00:00:00Z,168,44.185107231212925,28.543305683570473
2025-11-23T00:00:00Z,168,36.75655681750433,25.66740185363603
2025-11-30T00:00:00Z,168,43.355125576393284,16.607654535886613
2025-12-07T00:00:00Z,168,36.98867086641393,20.558340384901086
2025-12-14T00:00:00Z,168,42.09419580086891,31.47736878469392
2025-12-21T00:00:00Z,168,51.01701820807323,68.73196146284556
2025-12-28T00:00:00Z,168,31.741761901263512,74.8891731310442
2026-01-04T00:00:00Z,168,33.41279321511136,129.4376114423179
2026-01-11T00:00:00Z,168,34.97741615902848,29.917400448598308
2026-01-18T00:00:00Z,168,65.59474981779836,40.31608110957453
2026-01-25T00:00:00Z,168,46.74848472124016,22.762270556926303
2026-02-01T00:00:00Z,168,49.641221402368004,29.761435794317155
2026-02-08T00:00:00Z,168,33.32339139541984,28.412777743115548
2026-02-15T00:00:00Z,168,43.73396719067602,31.400274863977714
2026-02-22T00:00:00Z,168,35.52134918601909,25.554439178826513
2026-03-01T00:00:00Z,168,30.539047567238065,23.53053123919948
2026-03-08T00:00:00Z,168,21.940549161414413,42.10325993682408
2026-03-15T00:00:00Z,168,34.890033830382535,37.46011458688603
2026-03-22T00:00:00Z,168,28.497752641656444,35.65548533642652
2026-03-29T00:00:00Z,168,22.645328864596653,28.139105916458703
2026-04-05T00:00:00Z,168,21.05628187352151,36.42574994675804
2026-04-12T00:00:00Z,168,32.30511144030515,27.836810114376597
2026-04-19T00:00:00Z,168,26.250366458722564,31.35842305460703
2026-04-26T00:00:00Z,168,21.1349594137189,32.54288067322915
2026-05-03T00:00:00Z,168,17.24605600725359,25.900380154905882
2026-05-10T00:00:00Z,168,50.19231300930456,42.380874650977496
2026-05-17T00:00:00Z,168,14.425538616735093,22.36092315460697
