area_code,status,model_name,fallback_used,train_fit_rows,holdout_rows,forecast_origins,dayahead_rows,full36_rows,DayAhead_hourly_MAE,DayAhead_RMSE,DayAhead_bias,MAE_percent_of_mean_actual,MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,full_36h_MAE,full_36h_RMSE,full_36h_bias,p90_absolute_error,p95_absolute_error,target_rows,weather_rows,weather_fallback_proxy,weather_proxy_version
SE1,full_model,HorizonBiasCorrected_WeightedEnsemble_no_price,,38892,13002,1448,8184,12024,126.02800737136319,197.143633831793,9.266452712144408,9.993518803818407,10.49358928987204,1733.1491287875326,222.3948650914654,5.562939888268305,124.3606101853504,199.2292335334859,9.03288954500878,268.5866523781269,341.24037250163127,35047,35064,False,P0056D
SE2,full_model,HorizonBiasCorrected_WeightedEnsemble_no_price,,38755,13040,1444,8184,12096,206.5984947980714,348.92016333008985,-1.5281645913884656,11.951494377112033,12.579252290011198,3381.024321434608,-36.67595019332236,7.83635998604847,197.77528776378924,341.1728823564559,-2.568831209502345,423.21773282820186,552.6177664965619,35072,35064,False,P0056D
FI,full_model,HorizonBiasCorrected_WeightedEnsemble_no_price,,39109,13140,1453,8712,13104,334.39532415572035,442.2384515723076,-167.90021444730385,3.353157181398668,3.4997580973537716,7039.7056181655325,-4029.6051467352936,2.8115573382146395,314.2059442511082,421.5625082203723,-165.18370915708476,701.8289902454269,892.0295134147418,35189,35064,False,P0056D
