area_code,weather_stack_id,baseline_name,baseline_DayAhead_MAE,stack_DayAhead_MAE,delta_vs_baseline_DayAhead_MW,delta_vs_baseline_DayAhead_percent,baseline_full36_MAE,stack_full36_MAE,delta_vs_baseline_full36_MW,delta_vs_baseline_full36_percent
SE1,W0,P0056C,126.49750824599175,131.17758903232644,4.680080786334685,3.6997414820485046,124.60891100032913,128.10504053459093,3.4961295342617973,2.8056817977107293
SE1,W0,P0056D,126.02800737136319,131.17758903232644,5.14958166096325,4.08606131952013,124.3606101853504,128.10504053459093,3.744430349240531,3.010945623103434
SE1,W0,P0056E_V2,125.21953299342522,131.17758903232644,5.958056038901219,4.758088372054584,123.509,128.10504053459093,4.5960405345909265,3.7212191294488064
SE1,W1,P0056C,126.49750824599175,127.49562071979803,0.9981124738062732,0.7890372606117321,124.60891100032913,125.1321536329506,0.523242632621475,0.41990787690945547
SE1,W1,P0056D,126.02800737136319,127.49562071979803,1.4676133484348384,1.164513649819332,124.3606101853504,125.1321536329506,0.7715434476002088,0.6204082196527338
SE1,W1,P0056E_V2,125.21953299342522,127.49562071979803,2.2760877263728077,1.8176778590064828,123.509,125.1321536329506,1.6231536329506042,1.3141986680732611
SE1,W2,P0056C,126.49750824599175,127.7764774892083,1.278969243216551,1.0110627955844156,124.60891100032913,125.37264470456056,0.7637337042314272,0.6129045652516857
SE1,W2,P0056D,126.02800737136319,127.7764774892083,1.748470117845116,1.3873663119126753,124.3606101853504,125.37264470456056,1.012034519210161,0.813790248939594
SE1,W2,P0056E_V2,125.21953299342522,127.7764774892083,2.5569444957830854,2.0419693594587516,123.509,125.37264470456056,1.8636447045605564,1.5089140909249985
SE1,W3,P0056C,126.49750824599175,127.36019021825794,0.8626819722661878,0.6819754667329766,124.60891100032913,125.33397763823687,0.7250666379077444,0.5818738259463878
SE1,W3,P0056D,126.02800737136319,127.36019021825794,1.332182846894753,1.057053011216187,124.3606101853504,125.33397763823687,0.9733674528864782,0.7826975530561849
SE1,W3,P0056E_V2,125.21953299342522,127.36019021825794,2.1406572248327222,1.7095234055417852,123.509,125.33397763823687,1.8249776382368736,1.4776070069686207
SE1,W4,P0056C,126.49750824599175,127.76197892181901,1.2644706758272548,0.9996012517245147,124.60891100032913,125.72155616752849,1.1126451671993607,0.8929097913362086
SE1,W4,P0056D,126.02800737136319,127.76197892181901,1.73397155045582,1.375862069568691,124.3606101853504,125.72155616752849,1.3609459821780945,1.0943545389088265
SE1,W4,P0056E_V2,125.21953299342522,127.76197892181901,2.5424459283937892,2.0303908404827564,123.509,125.72155616752849,2.21255616752849,1.7914129071796305
SE1,W5,P0056C,126.49750824599175,127.70556349667548,1.2080552506837279,0.95500319922073,124.60891100032913,125.63790711089963,1.0289961105705032,0.8257805178698538
SE1,W5,P0056D,126.02800737136319,127.70556349667548,1.677556125312293,1.3310978728474898,124.3606101853504,125.63790711089963,1.277296925549237,1.0270912338283957
SE1,W5,P0056E_V2,125.21953299342522,127.70556349667548,2.4860305032502623,1.9853376257047644,123.509,125.63790711089963,2.1289071108996325,1.723685813098343
SE1,W6,P0056C,126.49750824599175,127.1210609086413,0.6235526626495442,0.4929367157469699,124.60891100032913,125.27843557402167,0.6695245736925415,0.5373007181571253
SE1,W6,P0056D,126.02800737136319,127.1210609086413,1.0930535372781094,0.8673100210632063,124.3606101853504,125.27843557402167,0.9178253886712753,0.7380354497322936
SE1,W6,P0056E_V2,125.21953299342522,127.1210609086413,1.9015279152160787,1.5185553481627507,123.509,125.27843557402167,1.7694355740216707,1.4326369527902183
SE1,W7,P0056C,126.49750824599175,126.37836151572553,-0.11914673026622324,-0.09418899385316436,124.60891100032913,124.4772441776639,-0.131666822665224,-0.10566405051471497
SE1,W7,P0056D,126.02800737136319,126.37836151572553,0.3503541443623419,0.2779970513458673,124.3606101853504,124.4772441776639,0.1166339923135098,0.0937869250879964
SE1,W7,P0056E_V2,125.21953299342522,126.37836151572553,1.1588285223003112,0.9254375053140924,123.509,124.4772441776639,0.9682441776639052,0.7839462530373537
SE1,W8,P0056C,126.49750824599175,126.00623702495376,-0.4912712210379908,-0.38836434634162637,124.60891100032913,124.09907315368471,-0.509837846644416,-0.4091503910527469
SE1,W8,P0056D,126.02800737136319,126.00623702495376,-0.021770346409425656,-0.01727421298130628,124.3606101853504,124.09907315368471,-0.2615370316656822,-0.21030536218492368
SE1,W8,P0056E_V2,125.21953299342522,126.00623702495376,0.7867040315285436,0.6282598351248047,123.509,124.09907315368471,0.5900731536847132,0.4777572109601027
SE1,W9,P0056C,126.49750824599175,125.81936359317395,-0.6781446528178066,-0.5360932892836603,124.60891100032913,124.06196528540193,-0.5469457149272046,-0.4389298570515233
SE1,W9,P0056D,126.02800737136319,125.81936359317395,-0.2086437781892414,-0.16555350079799058,124.3606101853504,124.06196528540193,-0.29864489994847077,-0.24014428644517136
SE1,W9,P0056E_V2,125.21953299342522,125.81936359317395,0.5998305997487279,0.4790231886427995,123.509,124.06196528540193,0.5529652854019247,0.44771254354089557
SE1,W10,P0056C,126.49750824599175,125.80376859760797,-0.693739648383783,-0.5484215918583243,124.60891100032913,124.16621835053623,-0.4426926497929031,-0.3552656437160693
SE1,W10,P0056D,126.02800737136319,125.80376859760797,-0.22423877375521784,-0.17792773085307914,124.3606101853504,124.16621835053623,-0.19439183481416933,-0.1563130275128455
SE1,W10,P0056E_V2,125.21953299342522,125.80376859760797,0.5842356041827514,0.4665690649185118,123.509,124.16621835053623,0.6572183505362261,0.5321218296125999
SE1,W11,P0056C,126.49750824599175,126.24391811589884,-0.25359013009291687,-0.20047045480119344,124.60891100032913,124.4923698707749,-0.11654112955423557,-0.09352551805378329
SE1,W11,P0056D,126.02800737136319,126.24391811589884,0.2159107445356483,0.17131965270182378,124.3606101853504,124.4923698707749,0.13175968542449823,0.10594969357911645
SE1,W11,P0056E_V2,125.21953299342522,126.24391811589884,1.0243851224736176,0.8180713487626599,123.509,124.4923698707749,0.9833698707748937,0.7961928853564466
SE1,W12,P0056C,126.49750824599175,126.41094640640287,-0.08656183958888164,-0.06842967959538798,124.60891100032913,124.65679974073663,0.04788874040750102,0.03843123258446142
SE1,W12,P0056D,126.02800737136319,126.41094640640287,0.3829390350396835,0.3038523285631961,124.3606101853504,124.65679974073663,0.2961895553862348,0.23816991163422724
SE1,W12,P0056E_V2,125.21953299342522,126.41094640640287,1.1914134129776528,0.9514597159855318,123.509,124.65679974073663,1.1477997407366303,0.9293247785478227
SE2,W0,P0056C,209.51872783683092,215.09546089115275,5.576733054321835,2.6616871493534866,201.82678388544215,203.75021623537856,1.9234323499364052,0.9530114452144045
SE2,W0,P0056D,206.5984947980714,215.09546089115275,8.49696609308134,4.112791867814063,197.77528776378924,203.75021623537856,5.9749284715893225,3.0210692848165204
SE2,W0,P0056E_V8,206.52148722664296,215.09546089115275,8.573973664509793,4.151613364618304,197.676,203.75021623537856,6.074216235378572,3.072814218913056
SE2,W1,P0056C,209.51872783683092,210.14628929589688,0.6275614590659586,0.29952523363672345,201.82678388544215,200.6675086927346,-1.159275192707554,-0.574391153834946
SE2,W1,P0056D,206.5984947980714,210.14628929589688,3.547794497825464,1.7172412128622065,197.77528776378924,200.6675086927346,2.8922209289453633,1.4623773079271947
SE2,W1,P0056E_V8,206.52148722664296,210.14628929589688,3.624802069253917,1.755169458602605,197.676,200.6675086927346,2.9915086927346124,1.5133393496097718
SE2,W2,P0056C,209.51872783683092,210.05608740031306,0.5373595634821413,0.2564732847655635,201.82678388544215,200.46750897870734,-1.3592749067348109,-0.6734858875352945
SE2,W2,P0056D,206.5984947980714,210.05608740031306,3.4575926022416468,1.6735807323383862,197.77528776378924,200.46750897870734,2.6922212149181064,1.3612525838584706
SE2,W2,P0056E_V8,206.52148722664296,210.05608740031306,3.5346001736701,1.7114926979927867,197.676,200.46750897870734,2.7915089787073555,1.4121638330942328
SE2,W3,P0056C,209.51872783683092,209.90424655227574,0.3855187154448174,0.18400203142940608,201.82678388544215,200.5198527637675,-1.3069311216746655,-0.6475508832447561
SE2,W3,P0056D,206.5984947980714,209.90424655227574,3.305751754204323,1.6000851107048735,197.77528776378924,200.5198527637675,2.7445649999782518,1.3877188758062602
SE2,W3,P0056E_V8,206.52148722664296,209.90424655227574,3.382759325632776,1.637969671369078,197.676,200.5198527637675,2.843852763767501,1.4386434184056238
SE2,W4,P0056C,209.51872783683092,208.3962396598953,-1.122488176935633,-0.535745987255996,201.82678388544215,199.50677295415085,-2.320010931291307,-1.149505970727927
SE2,W4,P0056D,206.5984947980714,208.3962396598953,1.7977448618238725,0.8701635815793245,197.77528776378924,199.50677295415085,1.7314851903616102,0.8754810623406047
SE2,W4,P0056E_V8,206.52148722664296,208.3962396598953,1.8747524332523255,0.9077759696718217,197.676,199.50677295415085,1.8307729541508593,0.9261483205603408
