area_code,method,weather_stack_id,weather_feature_count,weather_features_included,total_feature_count,training_rows,holdout_rows,forecast_origins,DayAhead_hourly_MAE,DayAhead_RMSE,DayAhead_bias,MAE_percent_of_mean_actual,MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,full_36h_MAE,full_36h_RMSE,full_36h_bias,p90_absolute_error,p95_absolute_error,MAE_0_6h,MAE_0_12h,MAE_0_24h,MAE_24_36h
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W0,0,,37,38892,13002,1448,131.17758903232644,201.4062357883385,0.3574764543281181,10.401860110120202,10.922363782874807,1873.8657412356465,8.579434903874839,5.925610522688596,128.10504053459093,201.3982129604641,0.4665823591634176,277.2947419427536,351.76066745240456,112.00611450961736,121.21021798626826,124.94157048621008,134.43198063135208
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W1,1,weather_proxy_temperature_2m_area,38,38892,13002,1448,127.49562071979803,198.55594594062416,5.242637427908643,10.109894694386135,10.61578856950858,1758.9202096419012,125.82329826980757,5.599212082259346,125.1321536329506,199.6573170164306,5.512967978213046,271.25604998837764,344.42202761926853,111.71998271782289,119.70521229179467,123.05631079472043,129.28383930941152
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W2,2,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area",39,38892,13002,1448,127.7764774892083,199.38253680067317,5.508890396878905,10.132165517077242,10.6391738125902,1760.8609789707016,132.2133695250938,5.6112887335817705,125.37264470456056,200.438935539132,5.531988092495754,271.32169030728386,345.2623935412872,112.51097494599655,119.88649118874011,123.20021332945764,129.7175074547659
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W3,3,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area",40,38892,13002,1448,127.36019021825794,198.65278897711548,6.357249757201116,10.099155595260626,10.60451209144529,1747.856424542099,152.57399417282735,5.574428498845932,125.33397763823687,200.19661139456647,6.31029294122415,271.03295217096166,342.8612030082264,113.36467797471396,120.53619252717881,123.2266048734226,129.54872316786486
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W4,5,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area",42,38892,13002,1448,127.76197892181901,198.9494477098716,8.610047625052683,10.13101583845536,10.637966604647712,1768.0781467568195,206.64114300126462,5.655972043901556,125.72155616752849,200.38175244696168,8.319218694530264,271.03497839229533,343.9727218025957,113.23188984678494,120.97220997120473,123.70210888852554,129.76045072553504
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W5,6,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area",43,38892,13002,1448,127.70556349667548,198.92910632281325,8.172794418411442,10.126542320038649,10.633269233694879,1768.6798517893133,196.14706604187475,5.653660700562851,125.63790711089963,200.38387683332428,8.356432001043693,272.53609634851256,342.7970027912871,113.26833442511601,120.67249100364903,123.53815095884632,129.83741941500784
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W6,7,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area",44,38892,13002,1448,127.1210609086413,198.43811345209542,8.188995251420048,10.080193593860761,10.584601241352315,1746.1448739820005,196.53588603408107,5.5845324063780755,125.27843557402167,200.1062198262468,8.496114440887753,269.36396184185173,342.6557732336454,113.03984693785064,120.8780732941372,123.38003034392324,129.07524603421936
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W7,8,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area",45,38892,13002,1448,126.37836151572553,198.23297764557728,8.112231491637994,10.021300491418717,10.522761158678229,1739.0525570307534,194.69355579931155,5.556925532578231,124.4772441776639,199.81611551369227,7.8191551309312635,269.893789789795,344.0736729454078,112.93526481380964,120.02068725184405,122.73767780639918,127.95637692019311
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W8,9,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area,weather_proxy_snow_depth_area",46,38892,13002,1448,126.00623702495376,197.7579970268333,8.302689984016409,9.991792502095908,10.491776604908724,1715.869129934135,199.26455961639388,5.494614295963411,124.09907315368471,199.36752971210802,8.179409953124805,269.05668056872514,341.960889950839,112.23931341662173,119.62925520164085,122.37269368957229,127.55183208190864
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W9,10,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area,weather_proxy_snow_depth_area,weather_proxy_precipitation_area",47,38892,13002,1448,125.81936359317395,197.41548125269742,8.998901766527643,9.97697418358578,10.476216785443293,1715.9282106882756,215.9736423966635,5.505503724408234,124.06196528540193,199.59914445730567,8.749343338762351,267.5412886907744,341.07959876467424,112.33490646165556,119.87016457062911,122.2983030650298,127.5892897261437
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W10,11,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area,weather_proxy_snow_depth_area,weather_proxy_precipitation_area,weather_proxy_humidity_area",48,38892,13002,1448,125.80376859760797,197.32670557491545,10.262607759722648,9.975737562578397,10.474918284563529,1729.8441852362334,246.30258623334362,5.554011756652776,124.16621835053623,199.4340669274398,9.869361926507057,269.2558099953982,341.86936749700436,113.2089372484839,120.25680885791319,122.56043171675596,127.37779161809867
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W11,12,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area,weather_proxy_snow_depth_area,weather_proxy_precipitation_area,weather_proxy_humidity_area,weather_proxy_cloud_cover_area",49,38892,13002,1448,126.24391811589884,197.52069339895152,9.93886979443537,10.010639665525801,10.511566870599404,1733.338851657513,238.53287506644833,5.561188230021677,124.4923698707749,199.5259340411565,9.651895734234701,269.2179662919733,341.750211522422,113.41325651049169,120.25364619033377,122.81329953459007,127.85051054314434
SE1,HorizonBiasCorrected_WeightedEnsemble_no_price,W12,13,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area,weather_proxy_temperature_roll_mean_24h_area,weather_proxy_train_normal_temperature_2m_area,weather_proxy_temperature_delta_from_train_normal_area,weather_proxy_cold_spell_flag_area,weather_proxy_apparent_temperature_area,weather_proxy_wind_speed_area,weather_proxy_snow_depth_area,weather_proxy_precipitation_area,weather_proxy_humidity_area,weather_proxy_cloud_cover_area,weather_proxy_cooling_degree_hours_area",50,38892,13002,1448,126.41094640640287,197.8231503217887,9.743902220609694,10.023884343409211,10.525474305279173,1743.1264093806735,233.8536532946335,5.589765946412003,124.65679974073663,199.6128326411365,9.403567505546201,269.05517658195936,342.1176484344742,113.25709255001091,120.45800964705346,122.93768336335293,128.09503249550463
SE2,HorizonBiasCorrected_WeightedEnsemble_no_price,W0,0,,37,38755,13040,1444,215.09546089115275,357.4204337698479,-3.1375758532644027,12.443034465936151,13.096610755226592,3585.2627822183267,-75.30182047834533,8.324030464247974,203.75021623537856,346.1783070404805,-3.9252246756308646,440.00131757448423,574.9122018736176,163.3655940237938,181.44407340675562,196.85944874956007,217.53175120701175
SE2,HorizonBiasCorrected_WeightedEnsemble_no_price,W1,1,weather_proxy_temperature_2m_area,38,38755,13040,1444,210.14628929589688,352.2493838560317,-3.9707482676942525,12.156730364108709,12.795268394605182,3407.1389271756852,-95.29795842466301,7.910264932672243,200.6675086927346,342.76633706185436,-5.1121484218744975,432.3941979877079,555.6930709155298,163.04747621800126,181.1016160789167,195.2283375385736,211.54585100105743
SE2,HorizonBiasCorrected_WeightedEnsemble_no_price,W2,2,"weather_proxy_temperature_2m_area,weather_proxy_heating_degree_hours_area",39,38755,13040,1444,210.05608740031306,352.59579491124026,-4.309720647256891,12.151512284233885,12.789776232609059,3406.582779445971,-103.43329553416463,7.892361583015983,200.46750897870734,343.29761265671476,-5.084973591251124,429.22127050609345,554.1930821072663,162.2531722419032,180.425768627567,195.1808047890942,211.04091735793403
