forecast_run_id,model_name,model_version,split_policy_version,train_start_utc,train_end_utc,validation_start_utc,validation_end_utc,forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area_or_target,predicted_price_or_index,prediction_unit,prediction_kind,created_at_utc,quality_flag
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T10:00:00Z,34,system_proxy_se1,0.6513897377355105,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T11:00:00Z,35,system_proxy_se1,0.3856757857096647,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T12:00:00Z,36,system_proxy_se1,0.39847935317510724,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T13:00:00Z,37,system_proxy_se1,0.5648920475655732,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T14:00:00Z,38,system_proxy_se1,0.6308913875892443,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T15:00:00Z,39,system_proxy_se1,0.7343191303559735,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T16:00:00Z,40,system_proxy_se1,1.0669598221058567,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T17:00:00Z,41,system_proxy_se1,1.11893893412866,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T18:00:00Z,42,system_proxy_se1,1.0785464170569112,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T19:00:00Z,43,system_proxy_se1,0.6970058566311217,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
