scope,model,metric_name,metric_value
dayahead_daily_energy,ResidualCorrection_XGBoost_no_price,day_count,358
dayahead_daily_energy,HorizonSpecialized_HGB_no_price,absolute_daily_energy_error_MWh,5924.046474784465
dayahead_daily_energy,HorizonSpecialized_HGB_no_price,signed_daily_energy_error_MWh,-1928.0927884307193
dayahead_daily_energy,HorizonSpecialized_HGB_no_price,daily_energy_error_percent_of_actual,2.5355008217292583
dayahead_daily_energy,HorizonSpecialized_HGB_no_price,day_count,358
dayahead_daily_energy,HorizonBiasCorrected_WeightedEnsemble_no_price,absolute_daily_energy_error_MWh,4381.407120291999
dayahead_daily_energy,HorizonBiasCorrected_WeightedEnsemble_no_price,signed_daily_energy_error_MWh,28.879972625696315
dayahead_daily_energy,HorizonBiasCorrected_WeightedEnsemble_no_price,daily_energy_error_percent_of_actual,1.9333789651384488
dayahead_daily_energy,HorizonBiasCorrected_WeightedEnsemble_no_price,day_count,358
dayahead_daily_energy,DayAheadSpecialized_HGB_no_price,absolute_daily_energy_error_MWh,4796.960957536473
dayahead_daily_energy,DayAheadSpecialized_HGB_no_price,signed_daily_energy_error_MWh,-1378.5816116983995
dayahead_daily_energy,DayAheadSpecialized_HGB_no_price,daily_energy_error_percent_of_actual,2.098889864434797
dayahead_daily_energy,DayAheadSpecialized_HGB_no_price,day_count,358
