regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
evening_peak,pred_LightGBM_no_price,3661,257.24421191256016,356.4802440928491,-79.99657500633465,196.46385485875362,535.9623173748114,692.6310913152047,0.025846766606798872,0.9726741355192796
evening_peak,pred_XGBoost_no_price,3661,256.72115801835787,355.2627489500205,-75.58649411306106,199.3154296875,530.681640625,669.515625,0.025830058042417166,0.9728604700803509
evening_peak,pred_WeightedEnsemble_no_price,3661,259.2759748168725,355.2957439023765,-93.1732667221144,200.8934036130231,534.8783070072022,672.2029061287885,0.025859471223773956,0.9728554286900983
evening_peak,pred_MedianEnsemble_no_price,3661,259.13862260609864,355.699135900852,-92.17473966538329,199.75690323348317,535.7850017296496,680.1748917444529,0.025856826262241634,0.9727937554550534
evening_peak,pred_ResidualCorrection_XGBoost_no_price,3661,282.64040113266236,388.069416768228,52.17568334844344,226.45729754967397,564.1364241320352,701.4393450322332,0.028452738378979082,0.967616647075666
evening_peak,pred_HorizonSpecialized_HGB_no_price,3661,298.5594403416952,432.48489602006026,-79.91267186438509,217.35921740226513,617.2789886703449,768.1262771421971,0.02960599485386867,0.9597797406333389
evening_peak,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,3661,246.61702348203167,346.24902454096,-4.512445516543593,189.26625873647936,512.433610821754,641.9874236598007,0.02474991137649281,0.9742201673231098
summer_low_load,pred_HGB_no_price,3437,229.94159107888035,318.1015139620605,12.049092642634099,167.56313687865804,491.6441777576704,622.1176131330935,0.02941495071423794,0.8702939190852028
summer_low_load,pred_ExtraTrees_no_price,3437,189.52560311137884,247.14644411244788,-20.31047514337011,152.29308374965876,400.3113396880892,490.5371076007325,0.02460475146257715,0.9217043565234542
summer_low_load,pred_LightGBM_no_price,3437,199.191612818022,269.7655133567034,12.908438502894102,149.74773569885474,429.5347902035537,559.359402481303,0.02561909104011453,0.9067171678793482
summer_low_load,pred_XGBoost_no_price,3437,198.6064199773755,267.4654861463842,8.611455084754754,153.591796875,429.650390625,553.0628906249998,0.02554953588272759,0.908301050172168
summer_low_load,pred_WeightedEnsemble_no_price,3437,195.02581560908658,261.5527292447151,3.847890446301934,151.13944284876015,421.14244154580376,539.2436693864322,0.02512544152610125,0.9123105436828911
summer_low_load,pred_MedianEnsemble_no_price,3437,195.99463387370608,264.2274628013221,5.402493301763442,149.06623977888376,425.0634139135466,544.0356143682793,0.025233507854927617,0.910507884554455
summer_low_load,pred_ResidualCorrection_XGBoost_no_price,3437,245.9431190477731,323.42495361122377,70.09592087616217,197.2041847246055,494.66688878677746,663.1091340132234,0.03165035356353145,0.865916322077189
summer_low_load,pred_HorizonSpecialized_HGB_no_price,3437,252.5083518860763,414.19089013597403,11.011265848105598,172.49361730760575,493.96153935565667,706.3921486905234,0.03159963978827968,0.7800976095549451
summer_low_load,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,3437,200.36199482401855,270.5602969179729,80.14777501069184,151.31728503162594,430.42010874778316,572.3956479032195,0.025887092369620005,0.9061666981340837
winter_high_load,pred_HGB_no_price,3240,321.64100629775174,402.98198522272503,-174.23814001491863,274.14471069632236,662.0016720051894,777.727551138427,0.026420864470635654,0.9371746483491764
winter_high_load,pred_ExtraTrees_no_price,3240,335.3786918112116,427.5743520902586,-200.93079865143807,279.9552023747865,690.6814396807816,847.6174483105631,0.027153852548922143,0.9292727199629595
winter_high_load,pred_LightGBM_no_price,3240,299.8190782390527,382.36259433826547,-179.22997578769954,246.38970552467345,629.1978036029641,786.8343090279228,0.024856993755473535,0.9434393406718091
winter_high_load,pred_XGBoost_no_price,3240,295.8590146162873,373.94748220744543,-167.00007223749358,246.3466796875,605.0986328125,732.0840820312497,0.024451411092946997,0.9459015414150796
winter_high_load,pred_WeightedEnsemble_no_price,3240,299.2804755513877,378.69598303360067,-179.8621746536698,253.66763393951078,614.2556712440552,750.8100056052251,0.02454008688282269,0.94451890026791
winter_high_load,pred_MedianEnsemble_no_price,3240,299.3582966801244,378.86418636327124,-178.55881475136275,251.27945082645965,611.6751891777387,751.6344379130276,0.02456914010782436,0.9444696038474452
winter_high_load,pred_ResidualCorrection_XGBoost_no_price,3240,307.3471863143703,383.7118503335199,110.88589787629462,260.0971406351118,630.3778575391026,756.5380458509977,0.02481694188337548,0.9430394613051191
winter_high_load,pred_HorizonSpecialized_HGB_no_price,3240,386.14457072554166,486.3115692726206,-235.91642531350917,328.8021773695391,788.9542177107758,946.7307607112108,0.031548720935454876,0.9085059468525498
winter_high_load,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,3240,269.2795903632249,346.7410268481301,-103.45265277992091,215.67824714163908,573.9689107216119,701.4493417908008,0.021947550740554683,0.9534870241517995
high_forecast_price,pred_HGB_no_price,13188,271.467248625831,367.04235034746523,-67.69219491122138,210.75330862051896,570.6053505130978,713.9215816328789,0.028437291655728635,0.9708472741671605
