forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE_full_36h,pred_ExtraTrees_no_price_MAE_full_36h,pred_LightGBM_no_price_MAE_full_36h,pred_XGBoost_no_price_MAE_full_36h,pred_WeightedEnsemble_no_price_MAE_full_36h,pred_MedianEnsemble_no_price_MAE_full_36h,pred_ResidualCorrection_XGBoost_no_price_MAE_full_36h,pred_HorizonSpecialized_HGB_no_price_MAE_full_36h,pred_HorizonBiasCorrected_WeightedEnsemble_no_price_MAE_full_36h
2025-06-01T10:00:00Z,36,253.12136166061111,246.77522034373968,165.7361546960086,263.741455078125,225.5297536774014,225.99612859952333,351.0131609644267,305.4631844255663,158.14851074923095
2025-06-02T10:00:00Z,36,226.8864988538744,197.9890709663663,162.01292461185423,161.89576551649304,177.280316809108,176.45734013430737,311.80299945836947,162.85072045862697,161.2882134313553
2025-06-03T10:00:00Z,36,352.35318877144823,257.7480549238752,249.36061661028427,282.8230929904514,283.92973804926146,272.6144821913019,282.09858058105624,323.0009372901562,232.09229775282782
2025-06-04T10:00:00Z,36,214.67421283501892,154.49918715096433,159.5108435619157,189.51255967881946,172.40575279293142,170.05096492149528,323.63500299748387,149.24768586422752,160.15316885645228
2025-06-05T10:00:00Z,36,125.23921375975162,186.078712710584,134.36885770074855,124.57439507378473,123.92774958655602,119.16387836667599,166.244968393845,145.26748132255227,167.95472953710564
2025-06-06T10:00:00Z,36,261.47800392780965,225.34522092159605,198.59504708973344,190.72018771701389,217.98376326942926,213.7052193278899,254.98074398528894,285.79041129436126,197.19518363896285
2025-06-07T10:00:00Z,36,192.06934681148616,165.3391081007204,109.20840613581123,138.82935926649304,139.8364153569174,143.87895885132832,219.31066004098318,255.13175379356855,98.39421039304392
2025-06-08T10:00:00Z,36,229.94898311188524,250.24206216092404,215.00166301158413,185.29753960503473,206.6566486758965,202.39025449002273,205.98293683027356,244.9854889735128,184.73886841032402
2025-06-09T10:00:00Z,36,227.4472399429462,181.45388439633675,216.51286161061205,184.64988878038196,188.90836949305196,181.92779775528533,283.747242550384,250.43435279521387,167.544433914191
2025-06-10T10:00:00Z,36,228.5454540475001,188.94043534805854,204.1543673133199,189.7882080078125,192.48570322350747,185.3455274852462,174.13835392547585,230.9037795870571,150.90296493057417
2025-06-11T10:00:00Z,36,221.8627325233591,167.778477568914,151.6645305821592,144.2210693359375,157.91765213892782,152.61362413611803,221.84737950805916,205.24317424520768,124.70087152878847
