forecast_run_id,source_shape_run_id,model_name,model_version,split_policy_version,anchor_method,anchor_level,anchor_scale,anchor_history_start_utc,anchor_history_end_utc,forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area,predicted_price,prediction_unit,prediction_kind,source_shape_value,created_at_utc,quality_flag
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T09:00:00Z,10,SE1,0.058854990188445276,source_hour_price_unit,anchored_absolute_price,0.034441291987371475,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T10:00:00Z,11,SE1,0.058147326576670925,source_hour_price_unit,anchored_absolute_price,0.017397224637191053,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T11:00:00Z,12,SE1,0.05794842176187176,source_hour_price_unit,anchored_absolute_price,0.012606605191305145,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T12:00:00Z,13,SE1,0.0579058079620824,source_hour_price_unit,anchored_absolute_price,0.011580252470079502,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T13:00:00Z,14,SE1,0.057872475962744356,source_hour_price_unit,anchored_absolute_price,0.01077745177186444,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T14:00:00Z,15,SE1,0.058580655764457985,source_hour_price_unit,anchored_absolute_price,0.027833951548898714,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T15:00:00Z,16,SE1,0.060309430870985774,source_hour_price_unit,anchored_absolute_price,0.06947147375396906,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T16:00:00Z,17,SE1,0.059027695948188325,source_hour_price_unit,anchored_absolute_price,0.038600907589824,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T17:00:00Z,18,SE1,0.05898106698826831,source_hour_price_unit,anchored_absolute_price,0.03747784979778518,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T18:00:00Z,19,SE1,0.05815898428059011,source_hour_price_unit,anchored_absolute_price,0.017678000259169047,2026-06-04T06:32:20Z,canonical
