MAE_0_12h,MAE_0_24h,MAE_0_6h,MAE_24_36h,MAE_full_36h,MAE_percent_of_mean_actual,RMSE_full_36h,absolute_daily_energy_error_MWh,bias_delivery_day,bias_full_36h,daily_energy_error_percent_of_actual,duration_seconds,evening_peak_MAE,hourly_MAE_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,hourly_RMSE_delivery_day,model,morning_ramp_MAE,noise,offpeak_MAE,p90_absolute_error,p95_absolute_error,peak_hour_error_MW,peak_hour_timing_error_hours,prediction_column,price_mode,seed,signed_daily_energy_error_MWh,weather_mode
222.74192836389636,230.68480893341203,217.38327905193069,269.6603889392958,243.67666893537262,2.5006144365381684,335.36683825907033,4381.407120292003,1.203332192737384,-0.1693687682155441,1.9333789651384479,0.0,269.4706877807404,253.70062353819173,2.638782944935854,2.7640373535054734,347.288526264211,M1_HorizonBiasCorrectedWeightedEnsemble,246.52695229354006,,228.2819172026369,514.781483481373,649.5539517116567,242.88699746529133,2.094972067039106,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,,28.8799726256942,W0_clean
226.7135775085544,235.59037902076588,221.78825242807468,274.5863606417889,248.5890395611058,2.551025273808734,340.7468315842368,4393.740335160897,3.873307962770652,2.4528430196006963,1.9395779699666875,4.76,275.12251044077465,259.07841861254474,2.6947182978949944,2.822627774994019,353.0290901734144,M1_HorizonBiasCorrectedWeightedEnsemble,252.35922986974455,"{'seed': 1000, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9998661239204991, 'max_noise_c': 1.999816672339311, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",234.1982144122273,530.7909401811912,663.9350327185757,238.9638183879571,2.2318435754189943,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1000,92.95939110649068,W1_inferenceTempNoise2C
226.30909597614726,235.15677773078792,219.59800918263548,272.50403110647386,247.60586218935012,2.540935889625047,339.14662914322116,4371.058215701595,3.8734937207147917,2.6618052851618743,1.9302639514890154,4.763,271.4375310740135,257.77387412076644,2.681149510763904,2.808414921851219,351.56922000034336,M1_HorizonBiasCorrectedWeightedEnsemble,255.07528033813983,"{'seed': 1001, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9995275145968683, 'max_noise_c': 1.9996072195174848, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",231.67977111025112,526.3730197106897,661.7752473979572,236.83750923672275,2.346368715083799,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1001,92.96384929715234,W1_inferenceTempNoise2C
226.12820571020967,235.5999100201412,222.43049720126834,273.5900288661988,248.26328296882724,2.5476823536965694,340.0880326977692,4372.807476731098,5.055615339941751,3.749556190876058,1.9324787313133522,4.722,273.0348615413849,258.8841814787124,2.6926980047286557,2.8205115851090157,352.5772435873744,M1_HorizonBiasCorrectedWeightedEnsemble,253.9282922380019,"{'seed': 1002, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9998848720699094, 'max_noise_c': 1.9998455691534605, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",233.75715708834403,527.1954398505413,662.2262440169789,241.80526744301227,2.2458100558659218,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1002,121.33476815860195,W1_inferenceTempNoise2C
225.37681311871373,235.75894490579418,220.77500279990738,273.1840455969216,248.23397846950198,2.547381630388144,340.5739099813739,4438.833180043123,3.2442468358708783,2.087635809469453,1.9580361538672229,4.723,273.60587607037564,259.2264856951006,2.696258368576358,2.8242409478010115,353.39581202790464,M1_HorizonBiasCorrectedWeightedEnsemble,252.85308166924136,"{'seed': 1003, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9999410471637478, 'max_noise_c': 1.9996823757076831, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",235.78463645301233,525.4773558387542,666.8491619675588,236.80737492190326,2.315642458100559,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1003,77.86192406089963,W1_inferenceTempNoise2C
225.61269640235142,234.63984883706848,219.80487632348186,275.1066329184598,248.12877686419927,2.546302049589062,339.4425801073477,4379.2163517694125,3.6135706288330036,2.4965639219496665,1.9341742427560817,4.806,273.01309957631855,258.8729761061675,2.6925814557602274,2.8203895039416853,351.5203056859285,M1_HorizonBiasCorrectedWeightedEnsemble,249.89031625790048,"{'seed': 1004, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9999283386363351, 'max_noise_c': 1.9998646844463281, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",235.57613292520736,523.4323508888165,660.6936910010413,237.76552056352148,2.2402234636871508,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1004,86.72569509199211,W1_inferenceTempNoise2C
227.942629117419,236.59956156415316,223.2289725824211,274.6785586946708,249.2925606076598,2.5582448196647545,341.0080452358075,4404.1321773550635,4.992909854754447,3.6012844084595,1.945560218671186,4.752,272.4964601626667,259.4446576355586,2.6985276117004586,2.8266179044852424,353.28930562824183,M1_HorizonBiasCorrectedWeightedEnsemble,251.0231139710026,"{'seed': 1005, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9999433170276912, 'max_noise_c': 1.9998601629850046, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",236.5313543903015,527.9125940731446,659.9400802040818,238.21550973363532,2.2402234636871508,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1005,119.82983651410669,W1_inferenceTempNoise2C
226.5563078186036,235.55903868967908,222.3691547083258,274.09109105963,248.4030561463301,2.54911670860232,339.84369551185387,4392.7356070077885,4.692435747221052,3.393026547114245,1.9396707154361292,4.766,274.15681084089795,258.87167743770294,2.6925679480906455,2.820375355107142,352.4731142434466,M1_HorizonBiasCorrectedWeightedEnsemble,252.3978671657044,"{'seed': 1006, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9996930368030443, 'max_noise_c': 1.9999474660772933, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",234.58546539274272,524.7921753600513,663.5103653107712,234.69269009630563,2.346368715083799,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1006,112.61845793330365,W1_inferenceTempNoise2C
227.26902244095828,235.21895277022227,221.81081746123255,274.318671983515,248.25219250798608,2.547568543184433,339.24034551954253,4395.2401080747695,3.600311515223446,2.3226753208957356,1.939040377872634,4.767,272.7621658421609,258.2847959091777,2.6864636943975633,2.8139813524267274,351.2730498517803,M1_HorizonBiasCorrectedWeightedEnsemble,253.20035566192468,"{'seed': 1007, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.999934207152716, 'max_noise_c': 1.9999444455791058, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",234.16706492936487,522.4163666168279,656.603681603719,238.1585114580756,2.388268156424581,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1007,86.40747636535635,W1_inferenceTempNoise2C
227.205654573465,235.57465829056162,223.1134420922123,274.8785023909581,248.67593965736202,2.5519170441870154,340.32871735138895,4398.906381323878,3.2040124300992137,1.6411609829815403,1.9412807501026375,4.708,274.0514698322151,258.86895774692266,2.6925396601284546,2.82034572440777,351.8434959534279,M1_HorizonBiasCorrectedWeightedEnsemble,253.08557178274245,"{'seed': 1008, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9998716899092117, 'max_noise_c': 1.999895325780602, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",232.93106965220178,525.9745903999546,664.7293490915786,239.32823701257232,2.38268156424581,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1008,76.89629832238023,W1_inferenceTempNoise2C
227.3928317358366,236.55979518992766,219.41004089772284,274.98259556622344,249.36739531536003,2.559012774804846,340.9593877820463,4396.06527882682,4.158647364873135,2.6522989650629314,1.939484206202333,4.771,272.7230966016009,259.791251709251,2.702132595077008,2.8303940046494,353.05582909211284,M1_HorizonBiasCorrectedWeightedEnsemble,255.04664395667612,"{'seed': 1009, 'columns': ['weather_proxy_apparent_temperature_se3', 'weather_proxy_temperature_2m_se3'], 'changed_values': 26040, 'min_noise_c': -1.9997086871075336, 'max_noise_c': 1.9994423770937173, 'bounds_ok': True, 'touched_splits': ['holdout'], 'train_fit_changed': False}",234.58991139604927,527.4288930170305,667.4957899861315,242.5620856083849,2.3715083798882683,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,P0_noPrice_fullCoverage,1009,99.80753675694996,W1_inferenceTempNoise2C
