area_code,variant_id,model_name,baseline_name,baseline_DayAhead_MAE,variant_DayAhead_MAE,delta_vs_baseline_DayAhead_MW,delta_vs_baseline_DayAhead_percent,baseline_full36_MAE,variant_full36_MAE,delta_vs_baseline_full36_MW,delta_vs_baseline_full36_percent,baseline_daily_energy_percent,variant_daily_energy_percent,delta_vs_baseline_daily_energy_percent,candidate_default
SE1,V0,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,126.02800737136319,126.49750824599175,0.46950087462856516,0.3725369339888872,124.3606101853504,124.60891100032916,0.24830081497876222,0.19966194650274552,5.562939888268305,5.571184151084961,0.008244262816655912,False
SE1,V1,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,126.02800737136319,126.02800737136319,0.0,-0.0,124.3606101853504,124.36061018535038,-1.4210854715202004e-14,-1.1427134921597573e-14,5.562939888268305,5.562939888268306,8.881784197001252e-16,False
SE1,V2,WeightedEnsemble_no_price,P0056D,126.02800737136319,125.21953299342522,-0.8084743779379693,-0.6415037377808097,124.3606101853504,123.50919357040073,-0.8514166149496702,-0.6846352825711421,5.562939888268305,5.517599347180123,-0.04534054108818264,False
SE1,V3,LightGBM_no_price,P0056D,126.02800737136319,126.57007918992579,0.5420718185626043,0.43012012160542734,124.3606101853504,124.65620254021815,0.2955923548677504,0.2376896948536933,5.562939888268305,5.712301115687983,0.1493612274196776,False
SE1,V4,XGBoost_no_price,P0056D,126.02800737136319,127.91277590167762,1.8847685303144317,1.4955156156366396,124.3606101853504,126.0514006031991,1.690790417848703,1.3595867818022955,5.562939888268305,5.6137256637685224,0.050785775500217234,False
SE1,V5,HGB_no_price,P0056D,126.02800737136319,126.29787911374615,0.26987174238296063,0.2141363241487562,124.3606101853504,124.63837163489725,0.27776144954685833,0.2233516296943825,5.562939888268305,5.614338790936966,0.05139890266866054,False
SE1,V6,LagHeavy_WeightedEnsemble_no_price,P0056D,126.02800737136319,127.02893373304444,1.0009263616812518,0.794209463878811,124.3606101853504,124.57468702931939,0.2140768439689964,0.17214200191678902,5.562939888268305,5.591314681709782,0.02837479344147642,False
SE1,V7,WeatherHeavy_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,126.02800737136319,126.02800737136315,-4.263256414560601e-14,-3.382784909070397e-14,124.3606101853504,124.3606101853504,0.0,-0.0,5.562939888268305,5.562939888268303,-1.7763568394002505e-15,False
SE1,V8,RegimeCorrected_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,126.02800737136319,126.06626892975717,0.03826155839398382,0.030359567838948335,124.3606101853504,124.34604583732236,-0.014564348028031304,-0.011711383537218263,5.562939888268305,5.578262481458498,0.015322593190192357,False
SE2,V0,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,206.5984947980714,209.51872783683098,2.9202330387595623,1.4134822432340501,197.77528776378924,201.8267838854422,4.051496121652974,2.048535065964275,7.83635998604847,7.891348406364274,0.05498842031580331,False
SE2,V1,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,206.5984947980714,206.59849479807144,2.842170943040401e-14,1.3756977977106405e-14,197.77528776378924,197.77528776378924,0.0,-0.0,7.83635998604847,7.836359986048473,2.6645352591003757e-15,False
SE2,V2,WeightedEnsemble_no_price,P0056D,206.5984947980714,206.8660124315918,0.2675176335203844,0.12948672921448684,197.77528776378924,198.33707433115447,0.5617865673652318,0.2840529642086505,7.83635998604847,7.836961662771287,0.0006016767228169684,False
SE2,V3,LightGBM_no_price,P0056D,206.5984947980714,206.80809191041493,0.2095971123435163,0.10145142274554117,197.77528776378924,198.1395937718439,0.36430600805465474,0.18420198608926291,7.83635998604847,7.814893720847086,-0.021466265201384616,False
SE2,V4,XGBoost_no_price,P0056D,206.5984947980714,210.832563289022,4.234068490950591,2.0494188474552795,197.77528776378924,202.20848587581094,4.433198112021699,2.241532884187453,7.83635998604847,8.080068875668704,0.24370888962023418,False
SE2,V5,HGB_no_price,P0056D,206.5984947980714,209.10793944528487,2.5094446472134564,1.2146480784703577,197.77528776378924,201.1017388850431,3.3264511212538537,1.6819346637618167,7.83635998604847,7.839884477297798,0.0035244912493279656,False
SE2,V6,LagHeavy_WeightedEnsemble_no_price,P0056D,206.5984947980714,210.22374085318313,3.6252460551117167,1.7547301390820966,197.77528776378924,200.93773504028283,3.1624472764935945,1.5990103274533616,7.83635998604847,7.892518290172224,0.056158304123753666,False
SE2,V7,WeatherHeavy_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,206.5984947980714,206.59849479807144,2.842170943040401e-14,1.3756977977106405e-14,197.77528776378924,197.77528776378924,0.0,-0.0,7.83635998604847,7.836359986048472,1.7763568394002505e-15,False
SE2,V8,RegimeCorrected_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,206.5984947980714,206.52148722664296,-0.07700757142845305,-0.03727402346455619,197.77528776378924,197.6759914763677,-0.09929628742153795,-0.05020662012138311,7.83635998604847,7.816414158844129,-0.01994582720434135,False
