area_code,variant_id,model_name,weather_proxy_version,feature_group,feature_count,feature_groups,model_family,method,training_rows,holdout_rows,forecast_origins,dayahead_rows,full36_rows,DayAhead_hourly_MAE,DayAhead_RMSE,DayAhead_bias,MAE_percent_of_mean_actual,MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,full_36h_MAE,full_36h_RMSE,full_36h_bias,p90_absolute_error,p95_absolute_error,MAE_0_6h,MAE_0_12h,MAE_0_24h,MAE_24_36h
SE1,V0,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056B,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38892,13002,1448,8184,12024,126.49750824599175,198.37986012515714,4.106290447504849,10.030748352367755,10.532681785677916,1745.3769363480633,98.55097074011644,5.571184151084961,124.60891100032916,200.28344938755464,3.831791037504663,270.97211565872846,342.1072347918439,113.58720135006588,120.26907015988512,122.95337064187778,127.91999171723317
SE1,V1,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38892,13002,1448,8184,12024,126.02800737136319,197.143633831793,9.266452712144424,9.993518803818407,10.49358928987204,1733.1491287875326,222.39486509146582,5.562939888268306,124.36061018535038,199.2292335334859,9.032889545008787,268.586652378127,341.24037250163127,113.39752995689716,120.36247952678283,122.73001793277388,127.62179469050201
SE1,V2,WeightedEnsemble_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,weighted_ensemble_no_bias,38892,13002,1448,8184,12024,125.21953299342522,196.63520697392852,4.22330730182726,9.929410007156084,10.426272522350143,1726.153868375936,101.35937524385439,5.517599347180123,123.50919357040073,198.68503340491387,3.49078483799399,267.74748552573595,340.7368113276811,112.35614771887857,119.36506633751296,121.88484140710283,126.75789789699485
SE1,V3,LightGBM_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",LightGBM,single_family,38892,13002,1448,8184,12024,126.57007918992579,197.69756152467622,8.220859273661224,10.036502939050052,10.53872432888641,1778.7814942145235,197.3006225678697,5.712301115687983,124.65620254021815,199.84971472590752,7.633350119278449,267.8079351626976,342.68665429731703,113.07705466553338,120.05316213482982,123.16320975708909,127.64218810647601
SE1,V4,XGBoost_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",XGBoost,single_family,38892,13002,1448,8184,12024,127.91277590167762,199.1547876920213,2.51529165586768,10.142973438081095,10.65052255634285,1761.007939760987,60.366999740824355,5.6137256637685224,126.0514006031991,200.88840197043768,2.1363505323066976,269.9609008789062,345.54855346679665,113.42039367919432,121.63977713213713,124.1161434176122,129.92191497437256
SE1,V5,HGB_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",HGB,single_family,38892,13002,1448,8184,12024,126.29787911374615,198.44014206444658,5.160967274918988,10.014918557638017,10.516059876248638,1759.5452105027878,123.86321459805552,5.614338790936966,124.63837163489725,200.45079219840446,4.748998491062543,268.62739671186836,341.91496406715527,114.12301041409007,120.57376233923254,123.19533301287628,127.52444887893742
SE1,V6,LagHeavy_WeightedEnsemble_no_price,P0056D,lag_heavy,39,"calendar,load_lags,weather",ensemble,weighted_ensemble_no_bias,38892,13002,1448,8184,12024,127.02893373304444,198.90577786022178,2.4870493879471196,10.072888275932842,10.576930369112777,1758.574175884036,59.689185310730636,5.591314681709782,124.57468702931939,199.91332079568585,1.8348950086975666,268.34369923070744,344.9603459392538,111.2041023704861,118.91238374276514,122.52804839293529,128.66796430208737
SE1,V7,WeatherHeavy_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,weather_heavy,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38892,13002,1448,8184,12024,126.02800737136315,197.143633831793,9.266452712144385,9.993518803818404,10.493589289872036,1733.1491287875322,222.3948650914647,5.562939888268303,124.3606101853504,199.2292335334859,9.032889545008755,268.5866523781269,341.2403725016311,113.39752995689722,120.3624795267828,122.73001793277385,127.62179469050197
SE1,V8,RegimeCorrected_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,weather_plus_lags,50,"calendar,load_lags,weather",ensemble,regime_correction,38892,13002,1448,8184,12024,126.06626892975717,197.30614259091845,9.649798184063615,9.99655279293915,10.496775098231238,1737.2112185013998,231.59515641752705,5.578262481458498,124.34604583732236,199.35100810198125,9.349606242488859,269.5741655271223,340.4545809390759,113.11373742687555,120.2763226607437,122.7144567001662,127.6092241116334
SE2,V0,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056B,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38755,13040,1444,8184,12096,209.51872783683098,351.2710404787352,5.958240625252133,12.120426627933627,12.75705778746212,3400.534239568754,142.99777500605077,7.891348406364274,201.8267838854422,343.99782206889046,5.526915543653375,432.88645477589955,560.400729257025,169.37605655772168,185.13280695628697,198.02010460972537,209.44014243687585
SE2,V1,HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38755,13040,1444,8184,12096,206.59849479807144,348.9201633300898,-1.5281645913884179,11.951494377112033,12.579252290011201,3381.0243214346065,-36.67595019332157,7.836359986048473,197.77528776378924,341.17288235645594,-2.5688312095023074,423.2177328282022,552.6177664965624,162.94839989161972,179.26623574288368,193.49079328527185,206.34427672082631
SE2,V2,WeightedEnsemble_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",ensemble,weighted_ensemble_no_bias,38755,13040,1444,8184,12096,206.8660124315918,349.20515431530197,-5.360575599447761,11.966969976273207,12.595540752361172,3384.816604441978,-128.65381438674652,7.836961662771287,198.33707433115447,341.68822148177765,-9.913400463649102,422.5957728775559,553.1643544436856,164.54597525832398,180.424140857421,193.91316224676632,207.18489849993426
SE2,V3,LightGBM_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",LightGBM,single_family,38755,13040,1444,8184,12096,206.80809191041493,349.598771744959,-1.7451988544172141,11.963619338196965,12.592014120430164,3383.2953683019027,-41.88477250601266,7.814893720847086,198.1395937718439,342.22892709639865,-6.294576282979377,425.58302256000087,553.183387852497,163.29464317820344,179.88562265081205,193.77862711286804,206.86152708979347
SE2,V4,XGBoost_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",XGBoost,single_family,38755,13040,1444,8184,12096,210.832563289022,353.0675998296551,-5.6723458596804734,12.196430555429123,12.837053857311636,3481.2370575637287,-136.1363006323314,8.080068875668704,202.20848587581094,344.19657219782675,-9.19394709235566,427.13963623046874,557.3969726562494,166.55130953511227,183.77386383278662,197.7754214831761,211.0746146610805
SE2,V5,HGB_no_price,P0056D,current_best_feature_set,50,"calendar,load_lags,weather",HGB,single_family,38755,13040,1444,8184,12096,209.10793944528487,351.5327229250571,-1.227147072590039,12.096662973912116,12.732045936237757,3389.367914532122,-29.451529742161338,7.839884477297798,201.1017388850431,344.509759277293,-5.535302185446343,429.83630412814614,555.9470274705243,169.9162926570273,184.82076656804585,197.3222627610249,208.66069113307825
SE2,V6,LagHeavy_WeightedEnsemble_no_price,P0056D,lag_heavy,39,"calendar,load_lags,weather",ensemble,weighted_ensemble_no_bias,38755,13040,1444,8184,12096,210.22374085318313,352.8520014409961,-4.566851857601272,12.161210851017918,12.7999842212152,3406.9162021006164,-109.60444458242962,7.892518290172224,200.93773504028283,343.7522582680839,-9.118764946985387,429.43261791502306,556.7042227770328,163.99490032472264,181.51078488088098,195.46105814387917,211.89108883309055
SE2,V7,WeatherHeavy_HorizonBiasCorrected_WeightedEnsemble_no_price,P0056D,weather_heavy,50,"calendar,load_lags,weather",ensemble,horizon_bias_weighted_ensemble,38755,13040,1444,8184,12096,206.59849479807144,348.9201633300898,-1.5281645913884259,11.951494377112033,12.579252290011201,3381.0243214346065,-36.67595019332204,7.836359986048472,197.77528776378924,341.1728823564559,-2.568831209502305,423.21773282820186,552.6177664965622,162.94839989161972,179.26623574288357,193.49079328527185,206.34427672082631
